"","ttdA","ttdB","ttdR","ttdT","pval","z","inv_cof_var"
"T5043",0.098204858,0.088978904,0.098016362,0.092592791,0.353254259267428,0.376549371356197,21.0841548420022
"T6958",0.076114875,0.069126068,0.076051911,0.07145946,0.353881039690515,0.374863374032735,21.0529360949054
"T6962",0.056206413,0.053895429,0.055158107,0.051411111,0.25669722209702,0.653561361801401,26.2134436920707
"T6966",0.067346203,0.075320389,0.072849275,0.068948516,0.383950196177614,0.295122382092854,19.5764130743918
"T6967",0.07101046,0.07628903,0.069844554,0.074090138,0.281168792436839,0.579372901329879,24.8397340469079
"T6970",0.076981456,0.08516289,0.085498823,0.078803309,0.401828619594402,0.248616764776835,18.7152924276601
"T6989",0.052752762,0.056008136,0.053888212,0.052157727,0.171827748327728,0.946967192746999,31.6462888725107
"T6992",0.062234339,0.060229304,0.066474927,0.058237675,0.426385020165104,0.18558522587797,17.548169772944
"T4096",0.076023418,0.081368365,0.070175768,0.07731667,0.449405670078305,0.127163062110325,16.4663965517609
"T4098",0.059511614,0.059354314,0.054863377,0.06293214,0.419383275445002,0.203471459765658,17.879359985694
"T4102",0.099998725,0.111851839,0.098151134,0.106349676,0.445660463000542,0.136632955572352,16.6417457085539
"T4834",0.072195767,0.077772822,0.072404315,0.073990247,0.215498898546532,0.78748535679237,28.6932455705373
"T4838",0.079270233,0.084067004,0.079398521,0.07783951,0.201726928697618,0.835468709920206,29.5817286928453
"T4840",0.080137188,0.084826762,0.079926304,0.080769442,0.125605484997832,1.14741300216387,35.3578410462363
"T4842",0.07972118,0.081833266,0.080319432,0.081100416,3.4895634939558e-05,3.97699623402337,87.7517814608431
"T4844",0.066441385,0.075415361,0.065816224,0.065297798,0.498020335240365,0.00496230402639382,14.2036678341251
"T4849",0.070036713,0.076773831,0.070278241,0.070255262,0.338791426807056,0.415763795795919,21.8102682124641
"T4851",0.086175365,0.086972943,0.091210753,0.08559335,0.136947782854674,1.0941354751363,34.371328423073
"T4853",0.08391636,0.081387055,0.085527984,0.08241015,0.0420001827594147,1.72793228385504,46.1070186325302
"T4855",0.080152743,0.086155558,0.079664499,0.082704009,0.23254003273781,0.730507442349765,27.6382147728419
"T5037",0.048479503,0.046215007,0.049066498,0.044541567,0.324669250119154,0.454681349712637,22.5308845838209
"T5040",0.035053926,0.038103841,0.039678737,0.03489296,0.465839084302045,0.0857336288209398,15.6992689992879
"T5041",0.067905087,0.075903789,0.06800843,0.070169302,0.400377125893073,0.25237107979975,18.7848091520291
