"","cra","phoB","pitB","sbcC","sbcD","pval","z","inv_cof_var"
"T7366",0.085591971,0.083312766,0.078959732,0.085077337,0.082725359,0.340813879201803,0.410242921109203,27.4925741017194
"T7368",0.088652111,0.084702371,0.088417195,0.088208521,0.088410621,3.06947393486898e-25,10.3132499959122,487.54400112791
"T7370",0.076144762,0.088934635,0.083501225,0.086466569,0.079761274,0.417078073339178,0.20937418098132,18.1610700602943
"T7372",0.081608771,0.092464663,0.080665379,0.082489975,0.079299886,0.136584966854722,1.09579171797832,59.3402441996424
"T7376",0.07281267,0.095402002,0.077446418,0.087400303,0.077306888,0.462724960754761,0.0935710322920664,12.7813502028613
"T7382",0.083163816,0.105228527,0.082848615,0.085461328,0.084030862,0.0864609003325411,1.36287534345836,71.7478091048573
"T7408",0.084256162,0.086306956,0.088750336,0.088315203,0.090763535,0.303913217859091,0.513178540374225,32.2745234810335
"T7386",0.082837793,0.15939574,0.084665372,0.086182726,0.0825025,0.190706114494691,0.875297178402128,49.0970093097464
"T7388",0.078111957,0.105926069,0.086679462,0.084466946,0.086615806,0.395075560765124,0.266114378728198,20.7969773908683
"T7390",0.081971169,0.08974715,0.084382998,0.088454384,0.080413108,0.369422125698532,0.333384248808327,23.9220483407793
"T7392",0.079788168,0.090458078,0.089868308,0.09026935,0.080578649,0.444780378327763,0.138860029596181,14.8852836526673
"T7394",0.07514369,0.108818935,0.084910676,0.089612503,0.08560821,0.455355779733092,0.112141062642212,13.644034526721
"T7396",0.079639339,0.083812279,0.077468948,0.079798885,0.077745385,0.115208785055462,1.19928390798814,64.1480494794373
"T7398",0.084621536,0.087358766,0.082745737,0.076152875,0.08193463,0.382822740161279,0.298075578536369,22.2817582730945
"T7400",0.088143016,0.081951637,0.086164589,0.070984376,0.087965415,0.485904136119774,0.0353404459709452,10.0762057824595
"T7402",0.090816065,0.082959474,0.09082192,0.089989418,0.089945721,8.02861910428252e-05,3.77412167390756,183.76401861129
"T7414",0.090159046,0.086687129,0.09014052,0.085300306,0.090253012,0.273421416137632,0.602497792334093,36.4239145715036
"T7416",0.082848512,0.079302809,0.089181045,0.085807968,0.089681092,0.342901712598508,0.40455665492296,27.2284144526681
"T7418",0.077944273,0.07757231,0.082377283,0.090652435,0.082379979,0.437783820296039,0.156590435908807,15.7089626285848
"T7420",0.083487008,0.089150884,0.080616079,0.098964247,0.081109044,0.487541777966404,0.0312332089267298,9.88540108555745
"T7422",0.087012279,0.137928877,0.072727696,0.077114343,0.077740306,0.460029017241076,0.100360617577496,13.0967653465529
"T7424",0.085733733,0.088492698,0.086593492,0.076571457,0.085106128,0.419111619600048,0.204166691798178,17.919152346631
"T7426",0.085520963,0.083501028,0.088875864,0.069944355,0.087460233,0.491290823018175,0.0218324035639261,9.44867980588097
"T7430",0.087251143,0.098847755,0.076023508,0.086072273,0.076416812,0.456910532860829,0.108220144597622,13.461885415038
"T7434",0.086927325,0.086469717,0.092146322,0.087948706,0.091601587,0.287914825614092,0.559486633145822,34.4257997551503
"T7223",0.084345124,0.08061896,0.083861493,0.084928046,0.084335908,3.46849847704988e-05,3.97843637207634,193.255607150506
