"","dgcN","gfcA","ybhL","yfiB","yfiR","yjjQ","pval","z","inv_cof_var"
"T0121",0.059168121,0.058621224,0.046913684,0.049286357,0.047451361,0.059050216,0.0467578439502739,1.67713703642026,8.57493934074932
"T4023",0.065233921,0.111969009,0.126714056,0.16861962,0.144288038,0.248353535,0.404099128465777,0.242751051149009,3.18366108164453
"T4025",0.065336817,0.120119597,0.110901321,0.184079751,0.119368499,0.241613939,0.440707726744769,0.149175117694644,2.83194689816236
"T4026",0.070494462,0.086567994,0.111455464,0.151093835,0.068596664,0.245010371,0.440584417779116,0.149487673050325,2.83312166765338
"T4027",0.084988534,0.086492051,0.111244631,0.160717763,0.080888336,0.204190954,0.408835369211519,0.23054186173965,3.13777166408199
"T4028",0.077527855,0.081347451,0.13437511,0.173157883,0.073734697,0.24992982,0.480655882382399,0.0485075283323467,2.45357804103579
"T4029",0.079822788,0.146575787,0.173997902,0.167402025,0.068910549,0.249344593,0.46836984526001,0.0793682893043323,2.56957119169129
"T4030",0.076449821,0.10739292,0.119078111,0.180536565,0.112697594,0.240500615,0.408719331315011,0.230840569165942,3.13889438479297
"T4031",0.090700863,0.117453373,0.133839224,0.18624586,0.113487538,0.187722082,0.363777921803201,0.348378637608628,3.5806725668995
"T4032",0.096039956,0.098458702,0.10505314,0.167993095,0.09155988,0.225587117,0.369967654507572,0.331939015412087,3.51888265912977
"T4033",0.079900693,0.137724188,0.118452832,0.19535243,0.110922876,0.203021894,0.422934032923619,0.194393133754293,3.00190317869318
"T4034",0.081443307,0.127128669,0.127551472,0.200691954,0.090278136,0.244687326,0.458015588785423,0.105434328604216,2.66754291786641
"T4087",0.088226271,0.136618751,0.122202439,0.179328839,0.114235152,0.213661234,0.340736654457658,0.410453498089204,3.81398692522587
"T4088",0.07186648,0.06895347,0.125027954,0.132243231,0.04433763,0.278087527,0.495627788132403,0.0109597292919065,2.31245101196371
"T4089",0.140979218,0.146625779,0.130508517,0.149658307,0.071826492,0.246097807,0.325339420051219,0.452819334468874,3.97322301296505
"T4090",0.096640883,0.069488906,0.088103018,0.094761286,0.121533485,0.240625702,0.231636332322844,0.733468612662496,5.02807043025392
"T4091",0.075873153,0.067925239,0.143778948,0.120976719,0.080178284,0.234896243,0.426345953627535,0.185684853056232,2.96917226464094
"T4092",0.072328592,0.081957306,0.115880939,0.107908925,0.093660531,0.246656766,0.213179244532771,0.79543847071866,5.26099012682696
"T4093",0.099764304,0.102339341,0.078800578,0.099109824,0.131736892,0.228801872,0.202355471409379,0.833237241740524,5.40306045833018
"T4094",0.087599324,0.074340677,0.139122226,0.06964678,0.123248537,0.254848358,0.401758844814624,0.248797157944568,3.20638595797059
"T4095",0.064059225,0.138123294,0.151222077,0.121389121,0.09063059,0.239809013,0.40446418980741,0.241808722838717,3.18011924967993
"T4099",0.113554221,0.068834265,0.140904936,0.163865174,0.129676124,0.2087698,0.374947119104143,0.318778822652333,3.46941880362656
"T4101",0.0928928,0.161163878,0.140734181,0.097251941,0.090279585,0.218148055,0.362321368220322,0.352260729322674,3.59526378354042
"T5038",0.063118326,0.067681498,0.087926175,0.159667332,0.111729817,0.25355396,0.477424174382725,0.0566194396722446,2.48406744325782
"T5043",0.08645593,0.115565211,0.118301166,0.178534816,0.103999335,0.207529807,0.374856592630667,0.319017575498058,3.47031617925604
"T6962",0.063157246,0.09208267,0.088121152,0.145812991,0.053460622,0.257512997,0.479663353781102,0.05099851036454,2.46294063758364
"T6966",0.085285311,0.145574979,0.103355829,0.161125796,0.109700103,0.261841771,0.33613620038723,0.423031332739794,3.86126193153145
"T6967",0.089416984,0.167267618,0.07505693,0.193090494,0.116469926,0.249868349,0.471545349841196,0.0713858138873109,2.53956828688635
"T6970",0.108485046,0.163189989,0.095534409,0.153875703,0.085698036,0.252076607,0.375568224473903,0.317141219979817,3.46326371582171
"T6981",0.09411097,0.117546793,0.109381585,0.213516729,0.148523248,0.095270505,0.435110937375686,0.163376664873355,2.88532478482357
"T6984",0.103228019,0.117842522,0.132458337,0.190124346,0.212077754,0.232171819,0.403565601630249,0.244128625418052,3.1888388275813
"T6988",0.058033934,0.101895876,0.091661097,0.167149791,0.108679334,0.260841473,0.458320759066909,0.104665147689077,2.66465187710912
"T6989",0.063332792,0.072901832,0.098801002,0.149219714,0.111859552,0.260628948,0.432198690970666,0.170779203615357,2.91314794162497
"T6992",0.066055744,0.101424825,0.079661701,0.149267192,0.101778598,0.240310088,0.407391934674805,0.234259057043363,3.15174310163892
"T6993",0.077401714,0.156661403,0.108379569,0.17576647,0.140204416,0.04786978,0.385633122803711,0.290718991412513,3.36395321788411
"T6996",0.059223085,0.075956225,0.075775454,0.140051072,0.095547254,0.275291887,0.43698017555041,0.158630051247376,2.86748417908084
"T4096",0.077557352,0.068465946,0.146520675,0.145552408,0.10379249,0.23999726,0.428401895495083,0.180444284319542,2.94947508090827
"T4100",0.078675026,0.094415005,0.139764169,0.178584273,0.067912303,0.249868708,0.484514295896896,0.0388266568094535,2.41719155043529
"T4102",0.118254518,0.087592228,0.088234727,0.149409666,0.120159799,0.219889438,0.288382803786066,0.558115367365125,4.36898832213055
"T4834",0.089219846,0.114781197,0.110061795,0.102101561,0.093256941,0.242794338,0.0286132721996838,1.9015764861968,9.41851668916918
"T4836",0.080906956,0.139454616,0.135188124,0.072425683,0.084805628,0.247752503,0.402794428612201,0.246120625512034,3.19632595232254
