"","fis","hns","lrp","rrfH","rrsG","rrsH","pval","z","inv_cof_var"
"T6209",0.070892455,0.157472353,0.182515339,0.088163189,0.08733883,0.08793035,0.498360579622364,0.00410942903882674,206.620517722283
"T6204",0.068312521,0.160072723,0.074931709,0.084211971,0.08350251,0.084021292,0.488878789502467,0.0278803522250063,228.544711238012
"T6193",0.072240684,0.159191605,0.185917847,0.086252143,0.08543551,0.086011617,0.499194165524925,0.00201992885348314,204.693347874657
"T6206",0.066449663,0.158362564,0.074382826,0.084025905,0.083239412,0.083823442,0.4990848157701,0.00229402867924204,204.94615326953
"T7301",0.080392613,0.39314216,0.381237903,0.065875303,0.066278972,0.06599833,0.449780204137436,0.126216679937114,319.241427621325
"T7303",0.077084729,0.397211869,0.377786157,0.057518231,0.05801705,0.057671405,0.490000630088166,0.0250673283655652,225.950227255387
"T7305",0.07298522,0.41840777,0.409256231,0.055956972,0.055942983,0.055949027,1.7824424203207e-17,8.42639135962131,7974.58718203249
"T7306",0.080412625,0.408908181,0.387202022,0.062551531,0.062836116,0.062633251,0.403677055611089,0.243840811375599,427.727505321338
"T7307",0.083669313,0.277855033,0.372799347,0.07151268,0.071640571,0.071549851,0.168633032305583,0.959581140402962,1087.86297240875
"T7308",0.079724504,0.385449202,0.353610954,0.056203271,0.05652761,0.056324082,0.43926947410946,0.152821619349722,343.779466619128
"T7309",0.079211764,0.291059618,0.372516275,0.069130059,0.069025358,0.069091578,0.116160578816079,1.19440096988137,1304.43997879984
"T7310",0.078555826,0.401436854,0.37264032,0.060395843,0.060608425,0.06045753,0.352068229915316,0.379742646715679,553.071317751434
"T7311",0.07149936,0.376263161,0.386417605,0.057931919,0.05805173,0.057966938,0.211684957897851,0.800588490820733,941.222238697327
"T7312",0.081375372,0.395478557,0.363358036,0.061498402,0.06191967,0.061632167,0.463834968024888,0.090776811066092,286.554832438849
"T7313",0.078511479,0.33703696,0.371653243,0.070003822,0.07012978,0.070040544,0.170371956974864,0.952696407782526,1081.51310500595
"T7314",0.080194007,0.407737035,0.371222445,0.069140822,0.069418344,0.069192732,0.386298913772191,0.288978503857117,469.358513804578
"T7315",0.076063044,0.343839874,0.385706502,0.072055092,0.071827023,0.07192608,0.322008363186585,0.462090076279081,629.021291049929
"T7316",0.082954965,0.399674435,0.362233589,0.071515979,0.071688827,0.071568307,0.255976222370522,0.655800577606564,807.682695315535
"T7317",0.084143338,0.25734453,0.384010262,0.070375131,0.070348535,0.070305214,0.0261141613520424,1.9412470168948,1993.26460428598
"T7318",0.087890828,0.39453868,0.364958101,0.074490012,0.074852362,0.074606417,0.413870727762378,0.217599138834432,403.524511501416
"T7319",0.077281798,0.381735359,0.310931728,0.066791119,0.066997584,0.066857892,0.319758830389489,0.468373296556409,634.816376759608
"T7320",0.084323997,0.41883256,0.334608185,0.068811874,0.069108892,0.068894246,0.394528937458488,0.267534213982346,449.580200722686
"T7321",0.074779946,0.405315235,0.385623522,0.066132059,0.066548652,0.066261319,0.453323616481477,0.117268567089934,310.988481106558
"T7322",0.078236358,0.416292518,0.370448075,0.061187774,0.061606649,0.061279628,0.467223778961821,0.0822504476023622,278.69087018967
"T7323",0.080990879,0.318509896,0.370689611,0.075772851,0.075450415,0.075772205,0.412461235015293,0.221218288250545,406.862494277252
"T7324",0.086215617,0.375500336,0.329639594,0.072875348,0.073255948,0.073001696,0.425189365757443,0.18863521395488,376.810753307812
"T7326",0.087543421,0.39716809,0.338211432,0.081080119,0.080995935,0.081020227,0.0353188480824706,1.8077995993256,1870.18452935383
"T7328",0.084346311,0.384057863,0.351319291,0.075336371,0.075573756,0.075394149,0.329688459586027,0.440773584063848,609.360847206712
"T7330",0.079768785,0.382691154,0.331852031,0.067637722,0.067971008,0.067746541,0.415849279651497,0.21252361132408,398.843294602105
"T7332",0.07372214,0.403840988,0.350610192,0.067365311,0.067398427,0.067373798,2.82277698382054e-05,4.0271561576471,3917.12239053598
"T7334",0.089720619,0.39954255,0.349942601,0.085138148,0.085367179,0.085206512,0.285658277590535,0.566113605178671,724.963377939918
"T7336",0.089839133,0.38277971,0.368455639,0.072760627,0.073246304,0.072925483,0.459990798066263,0.100456902991315,295.482891604092
"T7338",0.071350906,0.42958273,0.397672481,0.062868424,0.062855022,0.062864733,3.11488949786466e-22,9.62567295827258,9080.69827594115
"T7340",0.087648408,0.390865579,0.352383601,0.077574541,0.077856376,0.077671644,0.356244008339082,0.368516671152382,542.717472479002
"T7342",0.083843979,0.378492257,0.327938609,0.067421038,0.067800278,0.067537258,0.437530395850743,0.157233545385414,347.848636311277
"T7344",0.085151862,0.413962914,0.372869481,0.074687074,0.074733417,0.074697966,0.00089584676791545,3.12275084396478,3082.97905674433
"T7346",0.079485756,0.395951052,0.34843419,0.067153239,0.067399459,0.067206656,0.365770394901766,0.343076659398,519.253859544113
"T7348",0.087657071,0.396942144,0.325195066,0.081484158,0.081689831,0.081561074,0.26394775582447,0.631221797270309,785.013405938253
"T7350",0.091073317,0.391262676,0.358565772,0.077089022,0.077507467,0.077197092,0.43417977339018,0.165742565621581,355.69660270391
"T7352",0.084702832,0.395516603,0.372430632,0.079632405,0.079580834,0.079639828,0.00682024774436135,2.46659391051398,2477.79803482985
"T7354",0.091780237,0.40215178,0.37777821,0.081737302,0.081973992,0.081825942,0.300774944007996,0.522172993070622,684.436450335501
"T7356",0.076503951,0.401428331,0.385091936,0.060938046,0.061281121,0.061044856,0.437483297143348,0.157353073867073,347.958878792901
"T7358",0.083938553,0.403980121,0.375241849,0.068398669,0.068806085,0.068526861,0.445514407398428,0.137002505358326,329.189317398655
"T7360",0.075800513,0.41357969,0.376330415,0.072244919,0.072168899,0.072227493,0.0403948933777536,1.74612181561438,1813.29840612188
"T7362",0.082193909,0.414201244,0.333919276,0.071106098,0.071413183,0.071202977,0.392771215524372,0.272103509612375,453.794514186185
"T7364",0.081137285,0.409652635,0.391210299,0.079879855,0.079655617,0.079820884,0.30004454844296,0.524272391072033,686.37274905175
"T7366",0.079676691,0.39525227,0.339277028,0.065220765,0.065723233,0.065379434,0.477541981561499,0.0563236696309726,254.778307222213
"T7368",0.085750435,0.366992446,0.327652298,0.075054232,0.075416176,0.075158688,0.413782796035705,0.217824836980617,403.732675475291
"T7370",0.075057445,0.342297107,0.310893761,0.060522898,0.060953316,0.060662055,0.468204500683811,0.0797840610249523,276.416093724986
"T7372",0.072127008,0.382820666,0.294560899,0.060617018,0.060838333,0.06068217,0.359848996092038,0.358862449229665,533.813273512068
"T7374",0.064458853,0.343361097,0.336449032,0.051782111,0.052028867,0.051854939,0.411444644372452,0.223830381378939,409.271657555409
"T7376",0.069753694,0.356550696,0.324952304,0.056926214,0.057408411,0.057082674,0.487267270917336,0.0319216392140594,232.272036311029
"T7378",0.074875211,0.33132571,0.351746323,0.063727893,0.064161143,0.063862346,0.463114435229562,0.0925905261414431,288.227642534736
"T7380",0.068738017,0.339495083,0.342853014,0.057659471,0.057869359,0.057722709,0.358816229091979,0.361624761603658,536.360985713398
"T7382",0.075975511,0.38603716,0.318770969,0.06873332,0.068932122,0.068772457,0.312589452715361,0.48852375277191,653.401372303901
"T7384",0.068216272,0.365410462,0.358435811,0.061012509,0.061135789,0.061054046,0.201662989286635,0.835695942341788,973.602241567355
"T7404",0.077799956,0.396541991,0.411301394,0.063820299,0.064087246,0.063905689,0.38645067328825,0.288581902087205,468.992723469717
"T7406",0.075684313,0.392519277,0.34419652,0.063487644,0.063806787,0.063587369,0.419716916719202,0.202617726762526,389.706984313649
"T7408",0.090834726,0.360781322,0.384995034,0.08270482,0.083104088,0.08283618,0.412274740021954,0.221697366871883,407.304353952671
"T7410",0.078043019,0.403996059,0.374806881,0.067638282,0.067792189,0.067684637,0.238905813250804,0.709826672886587,857.511579054772
"T7386",0.079678744,0.371292415,0.347815243,0.064472528,0.064900598,0.064601689,0.460425381878445,0.0993621124286169,294.473153784159
"T7388",0.078508326,0.375237619,0.339184619,0.063515058,0.063954272,0.063654427,0.464999035157736,0.0878472657464967,283.852879384824
"T7390",0.077647211,0.379311419,0.346692281,0.061044699,0.061574263,0.061209047,0.489951755125854,0.0251898784139012,226.063256562412
"T7394",0.075604186,0.350528772,0.361079698,0.065936016,0.06620566,0.066009873,0.384366034821737,0.294033807925418,474.021078392677
"T7396",0.074255556,0.403500188,0.354417493,0.062028745,0.062476091,0.062162537,0.470545691397153,0.0738982067012384,270.987503165511
"T7398",0.076805308,0.399117096,0.354593377,0.069965368,0.070039964,0.069986195,0.0399051369735369,1.75178796768289,1818.5243627861
"T7400",0.085305772,0.40675216,0.329511056,0.077928612,0.078206444,0.078041852,0.349788481121721,0.38589158609735,558.742554659835
"T7402",0.087986695,0.381053514,0.316271923,0.079348875,0.079747783,0.079446083,0.422871642034613,0.194552509983513,382.268342910265
"T7412",0.075502965,0.376789428,0.381286185,0.065549643,0.065460145,0.065525446,0.0943624962860707,1.31436027380614,1415.07981271205
"T7414",0.091271376,0.373451005,0.363803164,0.078859379,0.079156261,0.078994372,0.360790082970426,0.356347733805612,531.493922801028
"T7416",0.089663449,0.342902701,0.341301734,0.084589577,0.084749653,0.084650781,0.179693381894082,0.916534227531675,1048.1603138013
"T7418",0.081711335,0.367111643,0.351743946,0.077677758,0.077671123,0.077678409,3.31872703845848e-95,20.6686293512916,19265.7428806484
"T7420",0.075635783,0.370885294,0.381005733,0.071435676,0.071307042,0.071393769,0.168595361794156,0.959730788409954,1088.00099447205
"T7422",0.07664108,0.396157337,0.348727242,0.061691796,0.06200858,0.061773006,0.425644767091315,0.187473327898387,375.739132548859
"T7424",0.085088025,0.387215071,0.341533268,0.074700089,0.074798803,0.074746839,0.0776097257220935,1.42133479919971,1513.7436373188
"T7426",0.087935726,0.406560929,0.381184758,0.080261807,0.080385249,0.080252701,0.169531746677386,0.956017301746618,1084.57600337736
"T7428",0.075127697,0.398902687,0.358296989,0.077403642,0.077062386,0.07729981,0.397850353756639,0.258915151494336,441.63074110636
"T7430",0.077226314,0.40607103,0.382097053,0.069663093,0.069715792,0.06969409,0.00423191165696825,2.6329844064748,2631.26188661428
"T7432",0.074809318,0.394789836,0.397534459,0.061762146,0.062032298,0.0618461,0.395374837518835,0.265337245031702,447.553911207351
"T7434",0.092138141,0.393700807,0.369004509,0.082872516,0.08302102,0.08288294,0.193592621723823,0.864733198651632,1000.38363417532
"T7223",0.085252524,0.298463368,0.292470264,0.080563707,0.080791014,0.080632802,0.297846970312513,0.530602964967233,692.211509543168
"T7224",0.079387939,0.352707016,0.365782333,0.071946042,0.071989527,0.071953025,0.000900542642856453,3.12121166318169,3081.55945275672
"T7225",0.088946823,0.329577438,0.300280799,0.075750831,0.076177118,0.075878796,0.437831117427664,0.156470418227929,347.144795431949
"T7226",0.090137289,0.381224152,0.339777908,0.077188615,0.077575939,0.077311104,0.419274099782933,0.203750854458446,390.752080908713
"T7227",0.08069385,0.322918533,0.318960643,0.078391762,0.078269677,0.078298628,0.133234292509803,1.11123180369502,1227.73210844369
"T7228",0.081045039,0.371251455,0.366363525,0.067631705,0.068121389,0.067784886,0.470606409617001,0.0737455934142275,270.846746190644
"T7229",0.084275384,0.373820827,0.371508747,0.080593816,0.080596738,0.080615476,2.68269949338409e-13,7.21570822632165,6857.9603227053
"T7230",0.083821498,0.396515688,0.39214503,0.06651697,0.06702732,0.066697209,0.476196744888224,0.0597013584548649,257.893588140457
"T7231",0.072225813,0.334361828,0.359645423,0.072327127,0.071891903,0.072187258,0.447459143610715,0.132083448710507,324.652415360105
"T7232",0.083960336,0.3773337,0.389081725,0.072204365,0.072515217,0.072318144,0.390188454615842,0.27882789074678,459.996487584927
"T7233",0.079428418,0.343222722,0.361126403,0.066604654,0.066892316,0.066703777,0.391570454748634,0.275228217327551,456.676467743103
"T7234",0.077148934,0.380615372,0.388059611,0.061090242,0.061509843,0.061223892,0.464137561593168,0.0900152161386314,285.852404752745
"T7436",0.087509559,0.342596145,0.088201927,0.075206846,0.075524178,0.075300958,0.389240035118017,0.28130031303151,462.276830851298
"T7438",0.090915725,0.353405948,0.07940841,0.085229293,0.08552251,0.085320123,0.345816673666929,0.396639462963811,568.655444052391
"T7440",0.088766931,0.362174156,0.088791842,0.085624249,0.08568415,0.085643357,0.0024379363215129,2.81512195650115,2799.24942592787
"T7235",0.079337184,0.359646496,0.371316063,0.066422098,0.066508555,0.066444918,0.0825245710089551,1.38828873195316,1483.26487267123
"T7236",0.078945465,0.381779887,0.379245849,0.064759164,0.065031839,0.064845429,0.387892775425665,0.28481542914337,465.518862524324
"T7237",0.073848956,0.318089054,0.355196514,0.068148992,0.067940357,0.068011979,0.317073150126938,0.475899048277861,641.757463388855
"T7238",0.083765497,0.359828383,0.381915733,0.067086483,0.067491119,0.06721085,0.447512260488122,0.131949139134439,324.528540106557
"T7240",0.07821772,0.394632927,0.397027057,0.06474746,0.065178709,0.064879193,0.460703280260271,0.0986621016268934,293.827525839469
