"","araC","araE","araF","araG","crp","ygeA","pval","z","inv_cof_var"
"T6069",0.059255791,0.049450128,0.073166499,0.063314066,0.356206919,0.077919183,0.450773874164377,0.12370639468666,5.24474706632499
"T6030",0.068617753,0.083613202,0.088751653,0.075879924,0.090907441,0.088891848,0.0488910890471162,1.65570201974675,13.7775963035223
"T6041",0.066709057,0.086078886,0.089032681,0.075800329,0.27374317,0.096762906,0.163241193970386,0.981223804181804,10.0209139520542
"T6054",0.061504151,0.047739078,0.075107426,0.062157109,0.384608793,0.072501742,0.455198729244271,0.11253722175067,5.18253744430779
"T6065",0.061339196,0.048791354,0.074775783,0.063606228,0.37971035,0.077421011,0.462704733257409,0.0936219576819974,5.0771839472484
"T6036",0.082809685,0.097832564,0.1072592,0.089361749,0.25622186,0.107011686,0.0984914968172693,1.29019490811148,11.7418091069467
"T6047",0.064132336,0.09495029,0.083523876,0.07551347,0.095296414,0.090774833,0.160155007150076,0.993821012670552,10.0910773905691
"T6060",0.073239966,0.053648162,0.087334187,0.073040117,0.359265942,0.082529722,0.469832098399234,0.0756919296283769,4.97731797916232
"T6071",0.059563712,0.047905421,0.071466514,0.063416794,0.389138138,0.075385245,0.446278721516669,0.13506884432649,5.30803319335822
"T6049",0.062657419,0.09392139,0.081734735,0.073031372,0.094575609,0.09044982,0.2096053874696,0.807791229385478,9.05493598883518
"T6062",0.060009353,0.050689748,0.07349356,0.06232721,0.379718622,0.065713364,0.353232710746505,0.376607354442036,6.65334492798694
"T6073",0.059231442,0.048996434,0.074125409,0.062120856,0.390265549,0.076728448,0.457171641080655,0.107561822882909,5.15482566253827
"T6032",0.07099363,0.064553488,0.089519059,0.076551687,0.318569563,0.087630436,0.336730064989604,0.421403957286094,6.90285129220516
"T6043",0.066071881,0.088529289,0.086403764,0.074661464,0.094176367,0.091936602,0.110200530522137,1.22546236674618,11.3812643330743
"T6056",0.058343761,0.049722748,0.068258117,0.061145117,0.377683127,0.069041853,0.33472230062956,0.426910384897662,6.93352077707605
"T6067",0.060074228,0.053792614,0.073575954,0.062397642,0.396157228,0.077736142,0.386946327038495,0.287286897773224,6.15585134635698
"T6051",0.061858019,0.087438371,0.082252629,0.071729899,0.304831745,0.087982442,0.126352780068365,1.143802482372,10.9264383070114
"T6064",0.060583246,0.050709546,0.071216079,0.063031969,0.398599747,0.063860681,0.309978191950938,0.495912163627922,7.31784418203398
"T6075",0.059669887,0.051880277,0.073626636,0.06394744,0.360699297,0.080220327,0.434884723880274,0.163951343355566,5.46890180536808
"T6077",0.037037959,0.048147564,0.044676993,0.039119231,0.540528919,0.045222069,0.0982754177631133,1.29144090132644,11.7487489911603
"T6079",0.040968384,0.051736689,0.042915182,0.04499253,0.505800103,0.058312045,0.324811112509966,0.454287064714001,7.08600233620496
"T6087",0.039797214,0.053086762,0.03941586,0.040511441,0.522211248,0.052948814,0.386834182313959,0.287579858256451,6.15748306618368
"T6090",0.040731354,0.0523676,0.046835109,0.042369187,0.544253894,0.052918909,0.176046569499906,0.930536955966827,9.73860032983995
"T6092",0.045618488,0.049449761,0.045689939,0.045316871,0.507070533,0.06600096,0.448097953659972,0.130468332052032,5.28240944025495
"T6082",0.057121386,0.045789803,0.059658601,0.058021872,0.555721811,0.058121098,0.234430374185517,0.724333934664627,8.59009881701269
"T6093",0.053632137,0.079054043,0.061303179,0.063659987,0.440184586,0.084755339,0.378350516459679,0.309815803713722,6.28133196439838
"T6106",0.062173616,0.052680468,0.068513817,0.064437498,0.538019808,0.076241747,0.352820689915296,0.377716270178309,6.65952132342803
"T6078",0.056184747,0.046961218,0.059363959,0.058124213,0.536404444,0.060323082,0.210681019868071,0.804060492578909,9.03415667707124
"T6089",0.054323435,0.043461605,0.059892944,0.058255666,0.553422377,0.073512397,0.483769651827475,0.0406946789640414,4.7823916629573
"T6102",0.061462251,0.062223776,0.068585098,0.064922011,0.497018344,0.079065947,0.197132578831894,0.851907997530045,9.30065583636753
"T6113",0.063209373,0.058909457,0.081499305,0.06886143,0.21963919,0.085861885,0.396423075840466,0.262616538268457,6.01844334411586
"T6084",0.058278334,0.045329013,0.059965568,0.05872564,0.580087216,0.060821267,0.286522268303217,0.563573337323263,7.69470073756855
"T6095",0.051326689,0.046951631,0.058534797,0.0602134,0.496852068,0.075023153,0.452193874518305,0.120120429661652,5.2247740987605
"T6108",0.062544786,0.056960213,0.068360036,0.065428435,0.551253762,0.075294698,0.225201370127767,0.754743766969976,8.75947431009206
"T6119",0.062478393,0.052902097,0.082026843,0.068079988,0.085282578,0.083616201,0.467905714518545,0.080535416969045,5.0042950452741
"T6086",0.057612494,0.0477775,0.058830785,0.05936353,0.511722989,0.067556503,0.318113587064668,0.472980383955678,7.19011965365864
"T6097",0.05485865,0.050825083,0.057179624,0.059306222,0.539933928,0.071692739,0.341015759053516,0.409692519595659,6.83762138519456
"T6080",0.056962212,0.049175375,0.057150144,0.057683763,0.549164766,0.055839774,0.0455296125633888,1.68983657112251,13.9677175910144
"T6091",0.056598821,0.042464381,0.060948348,0.058570498,0.554507658,0.071985931,0.482325346017838,0.0443182908158191,4.80257431434322
"T6104",0.061377392,0.053158213,0.069460282,0.065236917,0.529065239,0.074972028,0.324516454298372,0.455106101604856,7.09056417580493
"T6115",0.062219833,0.060609515,0.083599179,0.067990396,0.241340009,0.085723663,0.389296249654707,0.281153720296028,6.12169101462898
"T6088",0.057998505,0.047408468,0.06055463,0.058038367,0.563708439,0.058361443,0.186639197462748,0.890349229190892,9.51476430305542
"T6099",0.05548662,0.061425913,0.060610053,0.060136518,0.510093512,0.073164029,0.154352981246006,1.01794106960774,10.22542033912
"T6130",0.05672831,0.055486116,0.055598333,0.060125082,0.070855142,0.070363526,0.231642750713524,0.733447558751711,8.64085952354965
"T6140",0.059598852,0.064424326,0.060166084,0.061721474,0.071877022,0.072098091,0.0851173757137987,1.37144989900448,12.1943799731543
"T6167",0.055679949,0.0640572,0.05747919,0.056646098,0.061402219,0.070803459,0.190533414475061,0.875932318264084,9.43446555716329
"T6158",0.05868747,0.065805955,0.058986547,0.060611074,0.06825393,0.070069787,0.0734486575862529,1.45057832245676,12.6351063673103
"T6165",0.056261791,0.065278959,0.057505057,0.058035726,0.063595492,0.071615627,0.190496207093437,0.876069202335253,9.4352279687023
"T6132",0.05863143,0.057539913,0.057434695,0.063404604,0.077474099,0.073713715,0.254469246270161,0.660491467028572,8.23451154094085
"T6160",0.056625895,0.065578926,0.057665741,0.057119374,0.065911464,0.064395149,0.047522877588928,1.66936151828159,13.853676443535
"T6134",0.057120735,0.055349234,0.055780771,0.060940196,0.073072111,0.070867671,0.244173827481341,0.692939284451295,8.41523812371639
"T6162",0.058238835,0.063546202,0.05860242,0.05903681,0.066289304,0.065703802,0.00876144288960017,2.37554857616787,17.7869694631983
"T6169",0.057030126,0.062226712,0.058382863,0.057976174,0.064682113,0.071345027,0.161505999033581,0.988287229260979,10.0602555404458
"T6128",0.056325626,0.054868509,0.05494802,0.060329637,0.072138669,0.070334679,0.252678882659516,0.666083445311496,8.26565752259076
"T6138",0.059944702,0.061091849,0.059440621,0.061906327,0.072437371,0.070233495,0.0624304572694942,1.53468625164885,13.1035674175309
"T6136",0.058835455,0.056185733,0.056644256,0.064734015,0.188010059,0.074442481,0.308309852493881,0.500646820492355,7.34421508842119
"T6164",0.05919819,0.063688891,0.059314052,0.060890583,0.072265259,0.070058052,0.0562165851464765,1.58735100079271,13.3968974748812
"T6171",0.057737793,0.05961479,0.058967215,0.058771149,0.063882372,0.072053651,0.181367406294484,0.910166302253082,9.6251406605307
"T6156",0.047854749,0.069163893,0.055208478,0.045690021,0.055190199,0.061061886,0.4084525687488,0.231527353666713,5.84528402122049
"T6166",0.04748935,0.07409272,0.056415536,0.047808864,0.04729364,0.066313613,0.444530048912219,0.139493619152013,5.33267813090055
"T6174",0.048733047,0.067426508,0.053392421,0.050538584,0.04878407,0.060655082,0.289730237154016,0.554172971118236,7.64234294601233
"T6176",0.049153705,0.068436712,0.052113527,0.045726879,0.052365535,0.050233009,0.435328289336836,0.162824549281448,5.46262583186102
"T6178",0.062057864,0.081956302,0.065332694,0.050874616,0.049046427,0.069266866,0.452315932638666,0.119812265748463,5.22305769946499
"T6180",0.057487198,0.073143921,0.058810399,0.055038384,0.055114015,0.059206402,0.283893309143338,0.571314287774541,7.73781598024476
"T6182",0.05413926,0.069142997,0.056483154,0.053188203,0.05300813,0.056607592,0.24720351569408,0.68331624477955,8.36164009420547
"T6185",0.045913476,0.065706302,0.049500421,0.047238408,0.067205598,0.049285471,0.385852438507471,0.290145566923152,6.17177344983844
"T6187",0.04859156,0.069315355,0.051774751,0.044848574,0.046349761,0.048101837,0.475024210136571,0.0626459728163156,4.90465511980988
"T6192",0.048634141,0.067801208,0.050882841,0.049555411,0.080105113,0.074343283,0.47443377072462,0.0641289613876861,4.91291501147863
"T6194",0.048822409,0.067975855,0.050860881,0.050200531,0.069018182,0.067183147,0.398105561592197,0.258253691333459,5.99414333011299
"T6196",0.046256095,0.066744466,0.048902531,0.047764227,0.081777028,0.062642289,0.405730724554181,0.238541090815303,5.88434885972217
"T6205",0.061151458,0.083340401,0.066976137,0.055612352,0.093267333,0.056855942,0.45923230086618,0.102367975779634,5.12589717634134
"T6210",0.050114185,0.080292836,0.056553864,0.05033831,0.09692683,0.061107781,0.482288388418389,0.0444110209915231,4.8030907992444
"T6214",0.058164481,0.07977468,0.061855868,0.050189151,0.088788651,0.053490065,0.494593219852134,0.0135532029116684,4.63122013254199
"T6218",0.062012608,0.083106578,0.06767615,0.057003367,0.089752974,0.066420451,0.374218249650486,0.320701646657436,6.34196350612023
"T6177",0.060859419,0.0742266,0.063232287,0.060472957,0.067235207,0.061930609,0.149040280491523,1.04055836923029,10.3513932888301
"T6189",0.058817044,0.077794073,0.059486158,0.064939768,0.069202535,0.07884341,0.308483701933234,0.500152922901279,7.34146419696019
"T6202",0.057480778,0.071204367,0.054855367,0.061501895,0.071126004,0.070380459,0.251297296584131,0.67041293186196,8.2897717272303
"T6213",0.051938424,0.060069363,0.052632698,0.061192772,0.074283169,0.057031266,0.029338525638644,1.89060530714838,15.0859514345244
"T6173",0.057566252,0.06664524,0.05542869,0.063168923,0.066376973,0.064418185,0.0693108483233642,1.48094324992639,12.8042317511942
"T6186",0.055209176,0.063294186,0.053706845,0.060747439,0.057558301,0.065082353,0.0862402265122236,1.36427683736822,12.1544277353606
"T6198",0.057483662,0.071117095,0.055450413,0.060902015,0.071549564,0.071374519,0.255030068362887,0.65874405674846,8.2247788835939
"T6209",0.056853138,0.063854527,0.053668968,0.061205688,0.080003948,0.0630489,0.0648451872185043,1.51532399575436,12.9957242829049
"T6179",0.054480151,0.065404905,0.054183089,0.058447841,0.063162676,0.062352998,0.0806576546996518,1.40066153791274,12.3570818155736
"T6191",0.05834848,0.077868601,0.059615091,0.064652182,0.08105459,0.077257911,0.290053524986383,0.553228359534343,7.63708168540477
"T6204",0.057339607,0.066326718,0.053861053,0.061257091,0.075116654,0.071693629,0.248628929887537,0.678810626511914,8.33654487802521
"T6215",0.057003775,0.068151691,0.055542444,0.061945071,0.078295911,0.060600211,0.0946488342380204,1.31265962449908,11.8669322045301
"T6181",0.054868201,0.065620349,0.054189877,0.059925556,0.064146249,0.06272239,0.0785155462278955,1.41512758215306,12.4376542222712
"T6193",0.055844653,0.075851246,0.059297184,0.060095613,0.075881683,0.070642769,0.2568997247774,0.652933036758236,8.19241289202067
"T6206",0.057325799,0.069821813,0.055186824,0.05993949,0.074086454,0.071021984,0.249421392887695,0.676311668708039,8.32262628071215
"T6217",0.058806217,0.063513846,0.055517443,0.064022051,0.083339116,0.067624706,0.0829950615353581,1.38520391785171,12.2709865687015
"T6175",0.052789533,0.064022749,0.052791694,0.056836573,0.062370725,0.058003048,0.0777107517253737,1.42063979429451,12.4683559255901
"T6188",0.056978301,0.061497474,0.053200881,0.061174359,0.053788771,0.069166342,0.192418481812426,0.869018588467252,9.395957735693
"T6200",0.055725609,0.070720445,0.053924619,0.059516784,0.072407122,0.068157485,0.260621284566995,0.641431197458694,8.12835039791948
"T6211",0.056768009,0.0674777,0.05439544,0.0609358,0.189648627,0.061591496,0.108937842635649,1.23219651380141,11.4187719216231
"T6183",0.054857242,0.06417855,0.053773664,0.058561387,0.065610021,0.061353788,0.0559464851697626,1.58974200886578,13.4102148180111
"T6195",0.060546874,0.074659104,0.061001778,0.062394947,0.079457343,0.074003311,0.197621298761408,0.850148378435131,9.29085517884201
"T6208",0.056256577,0.069712339,0.055364969,0.059597366,0.071291458,0.06913501,0.216556541491954,0.783875643095844,8.92173189288966
"T6219",0.056860424,0.06470929,0.054621754,0.062252953,0.178960536,0.06509244,0.0723483152630243,1.45852230909207,12.6793524729731
"T3654",0.058329011,0.051434818,0.060618883,0.07305317,0.396030433,0.069920705,0.361577047950688,0.354246582994328,6.52880077885908
"T7306",0.077484709,0.088856253,0.109251998,0.067201133,0.402941455,0.086279497,0.460419712541328,0.0993763936838951,5.10923477953937
"T7307",0.082004118,0.075076701,0.107663205,0.074554706,0.458634124,0.085027113,0.430939920343813,0.173981704432658,5.52476851769118
"T7309",0.0745521,0.070098642,0.10242184,0.082995852,0.47401322,0.082688838,0.374579583337496,0.319748267719556,6.33665341344779
"T7312",0.077428355,0.087453054,0.105581865,0.068558343,0.405557727,0.08995659,0.412298565024827,0.221636161058153,5.79019244398337
"T7313",0.073749137,0.083902872,0.078433619,0.072610568,0.528996164,0.086838185,0.0690952467034672,1.48256322668978,12.8132546343302
"T7314",0.08022608,0.080758942,0.0805471,0.077030123,0.498692532,0.080841809,1.98479354500952e-12,6.93825998006138,43.2001807579349
"T7315",0.070437888,0.07040459,0.08017427,0.070415849,0.534473544,0.093922704,0.32543374760071,0.452557378821688,7.07636839945907
"T7316",0.076806627,0.091234116,0.085679019,0.078392037,0.484299014,0.086137958,0.0186520927955801,2.0824193162206,16.1543095905285
"T7317",0.07499751,0.091626737,0.095781707,0.07211751,0.469018102,0.091688981,0.25330138852566,0.664136771609356,8.25481501563926
"T7318",0.089290621,0.086276723,0.087900024,0.08358737,0.409042653,0.087197675,8.11536682718732e-14,7.3766620221482,45.641975283464
"T7319",0.06887075,0.068694929,0.076470544,0.07045517,0.530895576,0.087624132,0.219462220503024,0.774010738418448,8.86678673314206
"T7320",0.078120347,0.081991815,0.08807976,0.077139811,0.511528283,0.088364898,0.0236748805942196,1.98315820120219,15.6014489193142
"T7321",0.070463214,0.074048975,0.074327552,0.072347216,0.556649551,0.077789372,2.16624599539036e-07,5.05373651842093,32.7038357820748
"T7322",0.068840986,0.0794898,0.08282306,0.070718273,0.519155918,0.080035101,0.0311665950727026,1.86391821651593,14.9373107222265
