"","bacA","cpxR","dsbA","dsbC","ftnB","kbp","ldtC","ldtD","lysS","mzrA","ppiD","prfB","recJ","sbmA","slt","srkA","xerD","yaiW","yccA","yebE","yidQ","yqaE","yqjA","pval","z","inv_cof_var"
"T2770",0.069519836,0.250006947,0.060421241,0.271757358,0.055793419,0.225888023,0.157718564,0.103166565,0.277404695,0.051236156,0.157125814,0.252094839,0.212697928,0.04787388,0.085172677,0.063657545,0.120425997,0.044960582,0.263738439,0.058848642,0.253983404,0.061342998,0.057855109,0.334647686566403,0.427115267576127,1.55528683401447
"T2771",0.054300378,0.119988244,0.083221983,0.258974329,0.085595317,0.227232319,0.142323827,0.123700141,0.278209993,0.075675071,0.213941563,0.250443302,0.253873051,0.051380387,0.072729865,0.091927661,0.05149432,0.064110656,0.287258072,0.093533841,0.253983404,0.095241283,0.09325255,0.223134245033363,0.761650727736744,1.70084063893042
"T2772",0.032842647,0.187275215,0.039848706,0.274816588,0.056494288,0.230416008,0.218445031,0.080495806,0.218933707,0.044579437,0.177270208,0.277374459,0.214968341,0.03108389,0.150328957,0.053739088,0.097025593,0.03309738,0.265422532,0.053198266,0.253983404,0.059475109,0.032396564,0.447373457738941,0.132300116189636,1.42701502985185
"T2773",0.04708258,0.122061252,0.035855152,0.220372553,0.085546439,0.249504103,0.06025551,0.134641673,0.230597143,0.067763778,0.211049539,0.235619099,0.207713393,0.035782426,0.045809681,0.151221042,0.241043559,0.051531527,0.242851976,0.094622985,0.253983404,0.096960052,0.129508428,0.197357826459395,0.851096673905533,1.73975788194234
"T2769",0.085416886,0.238887074,0.095130606,0.254373751,0.08454838,0.20175997,0.095689863,0.110652976,0.268246051,0.078810561,0.144373541,0.258421304,0.197834937,0.06933312,0.078513799,0.068385413,0.081681224,0.073944129,0.28273808,0.089861031,0.253983404,0.091036576,0.081990021,0.160112435285985,0.993995885514451,1.80193222949635
"T5994",0.07419013,0.237127325,0.100785998,0.187807105,0.122007192,0.155513168,0.073870905,0.074384183,0.278087388,0.073740543,0.134606366,0.350210703,0.074698384,0.114850482,0.09281324,0.074413663,0.129593255,0.106862023,0.179046962,0.078513715,0.255917898,0.127588494,0.07474223,0.1654883826521,0.972148322246296,1.79242652280596
"T5996",0.052455855,0.268572302,0.101561892,0.227864285,0.114941503,0.170880832,0.055329038,0.052983686,0.303551789,0.054830816,0.138324816,0.327559954,0.06146022,0.109572416,0.091756427,0.053414127,0.140769294,0.100195615,0.19171079,0.065713713,0.278885954,0.127078187,0.053069874,0.344427475563028,0.400409468927487,1.54366734648761
"T5998",0.109283371,0.229137922,0.106693223,0.223773991,0.099344995,0.154781612,0.070731605,0.076024937,0.275785608,0.071774954,0.130065142,0.347100784,0.110952132,0.092313038,0.1175419,0.080789629,0.130283346,0.101618667,0.19836129,0.075885408,0.255094,0.122721971,0.086349041,0.123288884115749,1.15870177216946,1.87359449358991
"T6000",0.094825081,0.225201848,0.107846088,0.214288616,0.094775743,0.152460252,0.076960666,0.083357791,0.275885708,0.078795325,0.128061617,0.350397645,0.092233256,0.122253255,0.110913321,0.08764437,0.129169522,0.105334231,0.194106137,0.079908601,0.254450344,0.122441024,0.07454603,0.116168037186381,1.19436281897482,1.88911034069119
"T6002",0.082065631,0.239971802,0.1016664,0.214161374,0.109803568,0.146556813,0.076253622,0.079502335,0.282173919,0.077605482,0.123037586,0.344170488,0.073498173,0.134269618,0.117190696,0.081230439,0.125073146,0.096858687,0.151839593,0.075428633,0.264593285,0.113727469,0.089564692,0.150428559820224,1.03459707701103,1.81959749554501
"T6004",0.074065751,0.235105789,0.107269459,0.194965843,0.111050486,0.144369528,0.075716492,0.074642858,0.277019948,0.075489761,0.123641895,0.347105862,0.074120865,0.129266495,0.108544466,0.074624808,0.124777158,0.104745953,0.181518835,0.082658426,0.249755084,0.121851487,0.074152647,0.149243491689558,1.03968346877344,1.8218105454679
"T6006",0.071332874,0.237264279,0.111159707,0.200551959,0.0991977,0.150603584,0.074216894,0.071583759,0.277625512,0.072904305,0.126580125,0.343017253,0.07124876,0.120990339,0.115449085,0.071307659,0.12940875,0.108373563,0.177643863,0.083395509,0.249630701,0.125448115,0.072492884,0.156442379606467,1.0091874188455,1.8085419487703
"T6008",0.078018484,0.230407707,0.105741554,0.205478097,0.105811653,0.142026793,0.076835508,0.077336782,0.270833294,0.076547004,0.132423527,0.336579332,0.078699292,0.125472519,0.115013825,0.07798816,0.12317683,0.101996671,0.158680404,0.080369032,0.24316107,0.121524065,0.078801059,0.115577176017986,1.19739058394167,1.89042769793369
"T6010",0.076795213,0.230374903,0.107308164,0.200243876,0.116173721,0.149480592,0.078002609,0.078453301,0.277179627,0.078219433,0.131741054,0.361961918,0.076643045,0.138052806,0.109844742,0.078906634,0.132950894,0.103784412,0.167440458,0.079509075,0.253294291,0.120698326,0.083260472,0.138990270676209,1.08486705486292,1.84146957614857
"T6012",0.070510058,0.240787574,0.106305533,0.182719654,0.129938923,0.155617113,0.06913137,0.069772429,0.278405629,0.069309419,0.132060527,0.352041871,0.070273269,0.127690816,0.111239039,0.071008976,0.132587742,0.103575678,0.199472252,0.075776936,0.25682064,0.125515584,0.07491286,0.173789622690187,0.939295116198795,1.77813234561588
"T6014",0.053618921,0.267307188,0.101775986,0.177974235,0.101107402,0.158394833,0.05292305,0.052534716,0.303412529,0.052974782,0.139608046,0.342868015,0.053690126,0.105619907,0.091969674,0.053677532,0.129695741,0.096969165,0.223478672,0.059212192,0.277776658,0.126521065,0.066176572,0.383565007412192,0.29613103368546,1.49829660159596
"T6016",0.081324379,0.230591897,0.103165945,0.153253828,0.118353926,0.14061493,0.079059684,0.078950838,0.275014668,0.078573777,0.122399319,0.359732886,0.081114952,0.095638488,0.102575732,0.080416619,0.119371379,0.102665481,0.169828306,0.084687062,0.248716413,0.116445273,0.082667111,0.157793539581448,1.00356759777604,1.80609680785993
"T6018",0.081444863,0.236562659,0.103666106,0.204245773,0.109196628,0.147327999,0.080475694,0.081744235,0.27729644,0.081023076,0.12365569,0.340736168,0.078466439,0.126547323,0.108523132,0.081877068,0.122946971,0.101257174,0.181839894,0.078410056,0.247374053,0.118995306,0.081353755,0.120219989736912,1.1738877756673,1.88020180687597
"T6020",0.067037588,0.245192411,0.103960839,0.199552851,0.124360098,0.163761051,0.064551486,0.062710824,0.281419644,0.063725462,0.138236535,0.352784869,0.067422508,0.109935757,0.070970184,0.062610696,0.135068834,0.105893874,0.19464654,0.073284461,0.260338528,0.130439904,0.064663168,0.257439434698564,0.651259682809875,1.6528103445932
"T6022",0.072167878,0.23748058,0.106261047,0.209475576,0.124191547,0.151425978,0.076168844,0.07391017,0.271396164,0.07553172,0.132750117,0.340362156,0.071615966,0.101454291,0.109316979,0.073130274,0.131481965,0.106937281,0.167060589,0.081486313,0.25772574,0.125181568,0.074389098,0.148082175914271,1.04469414483755,1.82399065207299
"T6024",0.072591462,0.241309745,0.100223399,0.182335521,0.126112484,0.159153451,0.073472844,0.073561233,0.279172368,0.073486206,0.130218431,0.353918914,0.072792495,0.140889467,0.100344325,0.072844876,0.132389757,0.107691686,0.181716466,0.07897979,0.258346297,0.127356673,0.075878407,0.161262783769775,0.989281224650505,1.79988091682742
"T6026",0.068565296,0.243124084,0.103337373,0.202064831,0.111872103,0.159603223,0.069214852,0.069544867,0.286567942,0.069343631,0.107077641,0.33845824,0.068390297,0.117011888,0.104667617,0.07158502,0.133508434,0.104513312,0.202424245,0.072098734,0.25998475,0.127532585,0.076948703,0.201304694991979,0.836970073402669,1.73361150674871
"T6028",0.072887767,0.236860999,0.107103344,0.218610618,0.123453417,0.151320144,0.076045595,0.075512401,0.281090203,0.076270805,0.129205051,0.342982308,0.077881864,0.126610358,0.11116889,0.075252738,0.125661376,0.104183025,0.165974305,0.081039801,0.260442396,0.121968946,0.073232496,0.147658279814395,1.04652965735344,1.82478926944685
"T5993",0.115062559,0.085387328,0.10574662,0.226848673,0.14532514,0.173862596,0.060460482,0.067157847,0.291503812,0.062293062,0.14323909,0.374444719,0.094191018,0.112855643,0.122062143,0.070159214,0.1454383,0.086260062,0.079146608,0.060653605,0.276677679,0.130907339,0.106902484,0.25673798164007,0.653434872412091,1.65375675285397
"T5995",0.091962212,0.121487857,0.103389239,0.24050981,0.142552607,0.165572288,0.046360267,0.053196186,0.299650635,0.047630388,0.142949833,0.37282454,0.086436424,0.122414306,0.119822201,0.059321749,0.136470319,0.072053663,0.044917159,0.049664798,0.293579281,0.126762531,0.117819627,0.387939421430038,0.284693667135718,1.4933202914053
