"","crp","fucA","fucO","fucR","zraR","pval","z","inv_cof_var"
"T5771",0.124303276,0.131991256,0.103431948,0.130461238,0.103966231,0.386287603056487,0.289008064612831,7.38453445005364
"T2410",0.106359006,0.05646506,0.041199375,0.050006522,0.040577505,0.432144334543906,0.170917458084206,6.18833519700086
"T2406",0.070586614,0.036639489,0.032320904,0.031478168,0.031050078,0.204837219247285,0.824466683920342,12.8084645939051
"T2407",0.18384348,0.061425211,0.038150582,0.045399012,0.042976153,0.492048579525345,0.0199325752003772,4.65893324508424
"T2408",0.175109109,0.072193096,0.053556661,0.065017365,0.056141638,0.391912832127848,0.27433698523458,7.23592369506113
"T5662",0.350484591,0.135028274,0.108052113,0.093984021,0.109985666,0.418276770010673,0.206303890118104,6.54678219639781
"T5664",0.431049659,0.054157458,0.054031822,0.077796056,0.050444261,0.490452789791252,0.0239335917840853,4.69946155795833
"T5670",0.058456312,0.062561643,0.062204526,0.091710294,0.064157587,0.483562216043345,0.0412150796231805,4.87451445549558
"T2681",0.322168409,0.066295275,0.063461002,0.090447475,0.075105059,0.436279106833409,0.160409871898194,6.08189856231351
"T2683",0.203632221,0.066868597,0.063086164,0.084993881,0.06593135,0.399505300992132,0.254627778594583,7.03627921059223
"T2650",0.246754232,0.072025471,0.059966204,0.081063821,0.085917057,0.418122601094052,0.206698662278923,6.55078104251927
"T5762",0.127439758,0.092583298,0.101444309,0.108035425,0.148772646,0.496993280353034,0.00753679983294764,4.53337019082103
"T5770",0.108076931,0.112657848,0.10472193,0.129055382,0.082633229,0.456692401789408,0.108770145693695,5.55881375709915
"T5772",0.098032836,0.140523571,0.103577064,0.09483467,0.103640426,0.461406789482578,0.0968902157296462,5.43847596083362
"T5531",0.309067998,0.106354773,0.113881067,0.065841392,0.108453491,0.499681869859226,0.00079743409039236,4.46510375960967
"T0066",0.389794432,0.06258994,0.058248132,0.046493697,0.050748877,0.381160354429813,0.302434695848463,7.52053956279887
"T0067",0.413802008,0.066205703,0.062131581,0.042357165,0.053505354,0.466394278442174,0.0843369227071998,5.31131733087804
"T0069",0.405748387,0.053882262,0.049846668,0.044981682,0.040914901,0.349118417343202,0.387701649876631,8.3842515015961
"T0070",0.400637856,0.08742735,0.082864064,0.056780101,0.062374234,0.486219226456268,0.0345501492063233,4.80700201720218
"T0071",0.096874085,0.081881025,0.084258602,0.072162886,0.070641585,0.249616079773259,0.67569838816082,11.30151556979
"T0064",0.33354934,0.091167006,0.083838737,0.074266961,0.069123948,0.359681147095595,0.359311203277238,8.09667036356717
"T0247",0.8772578,0.032036254,0.04715434,0.047351188,0.042140712,0.444196563056991,0.140337766628259,5.87857809477681
"T1133",0.619764163,0.029118056,0.029588061,0.039044391,0.030771241,0.404987504048504,0.240458272481628,6.89274914391978
"T1134",0.536430979,0.045363778,0.046212409,0.03087951,0.031242202,0.497731671487586,0.00568588702202189,4.51462136238345
"T1096",0.265010492,0.106327798,0.103621287,0.122128993,0.097027924,0.289460997083115,0.554960038602679,10.0784959935355
"T0113",0.259921275,0.062607302,0.059785066,0.080070531,0.049219955,0.481989147458822,0.045161859507223,4.91449337751179
"T0117",0.294511873,0.078956181,0.072576794,0.087670072,0.062900951,0.392122976326242,0.273790073236829,7.23038374787628
"T0100",0.25913509,0.065588154,0.061388017,0.045086138,0.05566521,0.423588467111338,0.192721691917819,6.40920126748577
"T0101",0.275272503,0.054216197,0.053353561,0.058869085,0.053440685,0.052105365939137,1.62477395821135,20.9151802071199
"T0118",0.226526025,0.072277166,0.066974922,0.084785154,0.063186498,0.37737933344744,0.312370895033375,7.6211883306608
"T0119",0.22053508,0.072252817,0.067204119,0.085564101,0.055076071,0.457103355211539,0.10773398480145,5.54831796135569
"T0121",0.196374588,0.066580688,0.058950096,0.078050346,0.051114429,0.457123487465839,0.107683227152457,5.54780381155497
"T4025",0.273889342,0.145143793,0.093655979,0.112468833,0.123008512,0.458183899918051,0.105010093138828,5.52072629028204
"T4026",0.270183141,0.128349178,0.109472957,0.09577661,0.113672786,0.35081243576822,0.383127984026684,8.33792253577702
"T4027",0.237640763,0.130343621,0.08746488,0.09379878,0.08335179,0.494687532096278,0.013316775836847,4.5919184799845
"T4028",0.167720591,0.136878559,0.088687189,0.090920123,0.101035698,0.491369194428649,0.0216359091662959,4.67618717304368
"T4030",0.165388029,0.099080069,0.087389641,0.12550724,0.100228854,0.423223894412887,0.193652753292111,6.41863245725787
"T4032",0.172492245,0.108058772,0.080489921,0.117241107,0.080598891,0.474384787843441,0.0642519964797489,5.10786699340287
"T4087",0.110714126,0.093575652,0.097145835,0.126127337,0.098991531,0.402618909520738,0.246574141207304,6.95469985970046
"T4091",0.152772268,0.078167919,0.099783091,0.130586578,0.115466375,0.489294580531498,0.0268377284902959,4.7288790218943
