"","crp","exuR","lgoR","uxuR","pval","z","inv_cof_var"
"T6186",0.057558301,0.164244694,0.057129692,0.057970098,0.436022242981906,0.161062105487346,96.8434804393925
"T6198",0.071549564,0.182942742,0.0580083,0.058776491,0.424298959228835,0.190907685885887,107.498418564593
"T6209",0.080003948,0.17150473,0.057806287,0.056886296,0.445626463070211,0.136718980505034,88.1529310516096
"T6204",0.075116654,0.176466379,0.05798332,0.056369839,0.487965209354935,0.0301713234218614,50.1151821304394
"T6215",0.078295911,0.171990023,0.058542719,0.059229898,0.409335953117674,0.229253482507911,121.187952656856
"T6206",0.074086454,0.175712532,0.057368187,0.058314893,0.447562022753445,0.13182331407883,86.4051673239063
"T6188",0.053788771,0.168400439,0.057554797,0.057774352,0.176129547990193,0.930216315550459,371.433232339835
"T6200",0.072407122,0.179062125,0.057059216,0.056361523,0.416138010423932,0.211783398473708,114.951094068722
"T6211",0.189648627,0.172611546,0.057511241,0.057960936,0.3451713412517,0.398390061782258,181.570085046695
"T6208",0.071291458,0.168002439,0.057095166,0.058403456,0.474225507418495,0.0646520834304516,62.4248896146129
"T6219",0.178960536,0.168132178,0.059384602,0.057811984,0.485082978785522,0.0374001443586916,52.6958871719083
"T5547",0.304619687,0.077793941,0.087184547,0.088897827,0.46280964104999,0.0933578411234976,72.6729085163114
"T5559",0.289199391,0.120967289,0.084708598,0.08381312,0.396452073446552,0.262541302583231,133.071777949886
