"","fldB","ompN","pgi","ribA","soxS","ydbK","pval","z","inv_cof_var"
"T2409",0.141527244,0.053653294,0.116886756,0.157571991,0.134808222,0.044764718,0.446513020514141,0.134476185777965,2.00978290939215
"T2421",0.085249633,0.058773057,0.164140196,0.141289803,0.116871511,0.074231948,0.377090872142255,0.313130201870331,2.30095945865327
"T2422",0.09537234,0.064759755,0.166796978,0.145293121,0.108855178,0.080910706,0.32241269277126,0.460962673071038,2.54190197858358
"T2411",0.128743391,0.189351687,0.053463414,0.158391294,0.118711336,0.048371765,0.488163801122829,0.0296733047768823,1.83897151701493
"T2827",0.159037207,0.060778469,0.150057315,0.138754233,0.134844638,0.083096407,0.286575656664837,0.563416486596704,2.70888477882257
"T2413",0.104691552,0.107887206,0.142972026,0.157063585,0.101928994,0.174416726,0.0481937183793372,1.6626254334884,4.50041387552866
"T2414",0.123587825,0.078025839,0.057361048,0.168471822,0.149667543,0.169570054,0.370306672846693,0.331041225924886,2.33015147063268
"T2417",0.158386843,0.047706883,0.187398974,0.170579882,0.162248614,0.094992601,0.389029499587454,0.281849388102319,2.24997689688236
"T2418",0.148251118,0.03729032,0.142828167,0.169849599,0.164073411,0.10188499,0.37929919737067,0.307321864793154,2.29149282821265
"T2689",0.149561451,0.077205401,0.227166826,0.071120586,0.136328948,0.084939999,0.490497054404619,0.0238226052168573,1.82943584272161
"T2408",0.134996501,0.183000775,0.189968527,0.142284331,0.130171528,0.05588414,0.301062969564837,0.521345745352121,2.64031641675384
"T2419",0.107429345,0.063979441,0.231324736,0.146995936,0.126813632,0.081633157,0.473588678996764,0.0662517986159488,1.89858842261935
"T2420",0.082232974,0.068019482,0.217155001,0.138738753,0.130290406,0.085558144,0.466736612528392,0.083475792412194,1.92666068871099
"T4080",0.075710107,0.081660611,0.112379885,0.087035659,0.168636778,0.060150865,0.0566791573009483,1.5832771238966,4.37108923182908
"T4082",0.076371306,0.0837043,0.112556615,0.071963852,0.167359052,0.05108143,0.139729310571843,1.08153630314954,3.55333453476682
"T5662",0.185651936,0.087162636,0.101247519,0.155625035,0.104868949,0.125272113,0.18260486956664,0.905482665572401,3.26639617314569
"T5666",0.17920858,0.084548655,0.039423655,0.171054763,0.159988749,0.09232028,0.476113280758177,0.0599109464932932,1.88825388057639
"T5670",0.178954157,0.079225718,0.273481015,0.164052071,0.162675448,0.08414025,0.459754461214908,0.101052326193925,1.95530753677227
"T2671",0.285515112,0.070789055,0.325743962,0.289686154,0.239442895,0.335021539,0.353319197926594,0.376374641085507,2.40403745249533
"T2661",0.118413445,0.127569255,0.193547068,0.210708921,0.417042222,0.068553839,0.337814858385312,0.418434157930417,2.47258752064582
"T2662",0.152405269,0.111364633,0.158412369,0.275413193,0.446443732,0.055896679,0.482093144347895,0.0449009135214475,1.86379000508882
"T5733",0.160594676,0.101646252,0.194713715,0.087050557,0.141929998,0.168280306,0.211360294151393,0.801710244727034,3.09726426068644
"T5735",0.215608761,0.113080013,0.174949255,0.091100575,0.168902815,0.087034545,0.351709156640675,0.380710181236603,2.41110366711503
"T2432",0.118291341,0.053152796,0.141264874,0.134456468,0.128275554,0.060337792,0.347504797767279,0.392065801036349,2.42961145250006
"T2429",0.1660996,0.055412597,0.253508396,0.157262694,0.149248395,0.084444723,0.485782496532129,0.0356455433149174,1.84870527977552
"T2433",0.130873554,0.059458314,0.070526227,0.149783143,0.136952765,0.093320816,0.308514342582551,0.500065886992477,2.60563376107414
"T5529",0.147028867,0.159333517,0.298555762,0.098162496,0.24428913,0.082268603,0.488231754577754,0.029502896148926,1.83869377908697
"T0071",0.122254238,0.079841026,0.221336956,0.140659512,0.125079334,0.074220872,0.412975001842629,0.219898757906255,2.14900759812495
"T0587",0.094873752,0.062256176,0.265779928,0.152698121,0.084196312,0.229996929,0.482384303324247,0.0441703620455269,1.86259932680199
"T0592",0.141511275,0.071572972,0.221923113,0.161108382,0.191467781,0.190396232,0.273618600219524,0.601905263462107,2.77161513035945
"T0593",0.148004116,0.092699143,0.191079718,0.162739126,0.186109088,0.171521761,0.0770465189734774,1.4252220030686,4.1134854808339
"T0594",0.14553418,0.077853881,0.172661826,0.166214043,0.210419857,0.19461947,0.163442241126491,0.980408567712456,3.38851302286788
"T0589",0.149634512,0.071168305,0.206488902,0.15730226,0.242435969,0.334372947,0.475171943138719,0.0622749380388005,1.8921067964848
"T0590",0.144865347,0.067764417,0.194529466,0.161651546,0.246616017,0.336120442,0.488187419540128,0.0296140761664637,1.83887498415899
"T0572",0.162490133,0.25171646,0.247617332,0.121438987,0.137315529,0.258492591,0.171363315615884,0.948791568024008,3.3369825335532
"T1947",0.159709879,0.036916563,0.08609767,0.153789524,0.041158679,0.075280607,0.465156324345922,0.0874514828498707,1.9331404077114
"T1942",0.155127115,0.023252657,0.117751508,0.149995452,0.111579704,0.065446378,0.497482550897928,0.00631035097920165,1.80089375970419
"T1096",0.177335274,0.129934347,0.202660225,0.17422454,0.148137612,0.110781233,0.0670350718609588,1.49824293716389,4.23249754716605
"T1094",0.209841075,0.094637486,0.248639593,0.205666736,0.196059602,0.236999586,0.184232241613364,0.899353341839325,3.25640638745299
"T0113",0.23863874,0.090320707,0.246723328,0.227252252,0.090898432,0.046022976,0.4977189644966,0.00571773924267922,1.7999279004178
"T0116",0.256001483,0.077928305,0.254620023,0.24493389,0.073555253,0.085436637,0.456431952757504,0.109426891459606,1.96895669545876
"T0117",0.260140449,0.101214809,0.303792542,0.250079367,0.056564449,0.068129672,0.479257560114821,0.0520170344882509,1.87538810734569
"T0101",0.230481524,0.067878792,0.277839554,0.222893928,0.172821896,0.091611684,0.467634560881346,0.0812173248885322,1.92297975953547
"T0118",0.189413219,0.084621936,0.258932244,0.21237148,0.253434144,0.07144295,0.450499354125897,0.124399829610777,1.99336011251323
"T0119",0.253219489,0.105682112,0.227906079,0.104652862,0.097574204,0.069015183,0.487497185186044,0.0313450411798962,1.84169617133702
"T0120",0.208250644,0.080639381,0.251856389,0.197894586,0.090321001,0.060961294,0.473006370370604,0.0677147081932774,1.90097272369427
"T0122",0.153532151,0.084281416,0.064412001,0.122873755,0.12290086,0.045512705,0.413827174107999,0.217710928486911,2.14544179739665
"T0123",0.15292644,0.103044265,0.260285401,0.132947435,0.057572965,0.088003259,0.408129680399328,0.232358781039414,2.16931537859909
"T0095",0.266862932,0.06342139,0.345370655,0.257073366,0.189125045,0.350460084,0.399301890437915,0.255154488356387,2.20646861780246
"T0110",0.27781713,0.053662341,0.246527792,0.267537946,0.212722258,0.249657534,0.366480815174976,0.341188566111475,2.34668995974328
"T0111",0.274680933,0.059611264,0.238650257,0.263587473,0.212460836,0.251268706,0.346100499602703,0.395869910915193,2.43581152351866
"T4023",0.083258642,0.15229995,0.140132916,0.132361806,0.058340955,0.06672729,0.218862690402695,0.776039979067054,3.05542596599272
"T4024",0.08118477,0.153656573,0.137989926,0.183243092,0.070587895,0.056547525,0.367790715236368,0.337710408256356,2.3410211367065
