"","baeR","cpxR","spy","pval","z","inv_cof_var"
"T6112",0.064918363,0.410466942,0.067739571,0.496717153858507,0.00822896783059483,33.2493473397203
"T6130",0.183195305,0.553077577,0.182713193,0.0553302799555178,1.59523112974072,536.672765310925
"T6145",0.183850191,0.662400937,0.191412509,0.494404252609667,0.0140269185891557,35.0885535223952
"T6158",0.208991756,0.496118374,0.209208111,1.26497519548051e-05,4.21211110826116,1366.79051488068
"T6132",0.178691519,0.408790526,0.17769012,0.242991297215051,0.696712723741946,251.647818329437
"T6149",0.072777978,0.42326501,0.075669382,0.492876468391215,0.0178569947171301,36.3035172204371
"T6169",0.19213779,0.424104298,0.195691116,0.441681000115552,0.146708638019972,77.1773964372423
"T6128",0.072176823,0.600907277,0.072644095,0.276164432126141,0.594274001918855,219.15255606041
"T6136",0.07575169,0.514032041,0.072351934,0.499792840566884,0.000519271715740443,30.803703809539
"T6180",0.347492554,0.341700252,0.363605254,0.499286184265759,0.00178927165704824,31.2065688632998
"T6182",0.375623592,0.397546151,0.380341878,0.397215963865976,0.260559885847202,113.292901316256
"T3654",0.0625747,0.380463536,0.061714414,0.410810674580445,0.225460116354386,102.158672042865
"T7464",0.076760043,0.297820107,0.077111708,0.189765875605368,0.878759386812333,309.396040450848
"T5545",0.074151341,0.258329237,0.072385327,0.464789503476367,0.088374526524649,58.6728483665939
"T5553",0.0768904,0.267043597,0.073646063,0.497270196800907,0.00684265528037153,32.8095859965034
"T5573",0.100903041,0.204833557,0.102662542,0.435925152030555,0.161308658512206,81.8087651871146
