"","amn","mipA","phnC","phnD","phnE_1","phnF","phnG","phnH","phnI","phnJ","phnK","phnL","phnM","phnN","phnO","phnP","phoA","phoB","phoE","phoH","psiF","ydfH","yegH","yhjC","ytfK","pval","z","inv_cof_var"
"T0346",0.357839354,0.25905836,0.138139176,0.070228401,0.146419421,0.123239921,0.096577225,0.09614923,0.078204666,0.071485846,0.090270078,0.114117047,0.144907514,0.107228957,0.084290914,0.091147691,0.09348951,0.07446411,0.16707031,0.086918204,0.043781519,0.046673411,0.043776843,0.088726986,0.044014548,0.360149273883073,0.358059819286123,1.58734891568281
"T0875",0.08764636,0.049053915,0.052905784,0.052869169,0.053021934,0.049801093,0.049069853,0.049343136,0.049456222,0.050687692,0.049224661,0.049399999,0.052499125,0.049178212,0.063501421,0.052655568,0.049160483,0.049452532,0.05735405,0.052289387,0.100702657,0.080203944,0.095555685,0.049194624,0.097932865,0.000604600657958813,3.23670077374826,3.44253041261563
"T0876",0.075502648,0.088652785,0.067661172,0.061837362,0.069417951,0.063773125,0.060990058,0.060813743,0.060698594,0.061749245,0.063692552,0.062601887,0.068602591,0.062627796,0.084290914,0.091147691,0.063318173,0.060625336,0.075625679,0.086918204,0.078871014,0.067481128,0.075017614,0.062556799,0.078363132,9.89653337331717e-20,9.01441128989026,7.16605891573303
"T0877",0.046077597,0.058255906,0.045186258,0.034500071,0.044057596,0.04868711,0.051089461,0.088661091,0.056850275,0.059931662,0.054607093,0.049265383,0.085818871,0.048335868,0.051413355,0.057676586,0.096071098,0.05712336,0.042143932,0.057229805,0.083604308,0.071199919,0.079540965,0.048063937,0.032750109,0.000663536903444077,3.21005975652702,3.42536122653437
"T1082",0.065636286,0.289678433,0.088597903,0.068524024,0.092194539,0.0837274,0.074806995,0.074551081,0.069097814,0.068659845,0.073201476,0.080348766,0.091353447,0.078424727,0.06553285,0.072729248,0.076762645,0.069755359,0.100784589,0.076569074,0.080246774,0.068741913,0.074708257,0.075041692,0.076337034,0.171892893943042,0.946711541058366,1.96671397011127
"T2296",0.05604016,0.109956976,0.066779681,0.030179412,0.071076112,0.064286787,0.039285515,0.04135395,0.029951046,0.030038368,0.036894195,0.054498264,0.072317177,0.052173242,0.084290914,0.091147691,0.038071296,0.029946404,0.087500184,0.086918204,0.085996785,0.057977025,0.082468708,0.040971049,0.085235355,0.0298444123680033,1.88308518409548,2.5701734095684
"T2297",0.065339428,0.101109356,0.075291844,0.042714718,0.079194546,0.072712469,0.051927858,0.053584567,0.042980556,0.042416881,0.049894164,0.065318739,0.080225127,0.06330487,0.084290914,0.091147691,0.050679764,0.043024898,0.092373619,0.086918204,0.091126055,0.051206697,0.089616421,0.053841451,0.092963501,0.000344455414452752,3.39395471727297,3.54387497449806
"T2298",0.115387544,0.144878742,0.10026,0.054942432,0.10383697,0.098098093,0.074846088,0.076939876,0.059041758,0.05743026,0.072226768,0.090120732,0.104773212,0.088075814,0.084290914,0.091147691,0.07328665,0.059128971,0.116871971,0.086918204,0.073379912,0.051597536,0.070899527,0.077261046,0.073276117,8.54949926193259e-05,3.75841956841021,3.77875958109135
"T2389",0.138888339,0.081284644,0.065883336,0.078500143,0.071175751,0.067255196,0.053700006,0.057268085,0.057175596,0.090755333,0.053141955,0.064143476,0.070657032,0.063581623,0.080644165,0.059285152,0.052726705,0.05543113,0.077940322,0.052706337,0.119297392,0.087567443,0.076095747,0.056381828,0.121141986,0.00179948795070092,2.91132661503835,3.23283836405257
"T2390",0.150617436,0.058044679,0.05456964,0.031831697,0.065471261,0.058019755,0.030803146,0.038261011,0.031923572,0.054754448,0.030013548,0.048048673,0.061825102,0.050565973,0.059082551,0.042484559,0.028781615,0.028616085,0.079858143,0.029494057,0.111932658,0.067927511,0.070774786,0.037510877,0.115575467,0.205014598839131,0.823842249786382,1.88752909109546
"T2391",0.152131268,0.048829343,0.053839585,0.111335903,0.059387169,0.055161609,0.046376954,0.047795356,0.051725826,0.110895092,0.046472963,0.052294814,0.058967915,0.051691283,0.079878825,0.048710144,0.04680865,0.049960247,0.066543183,0.04645853,0.123875295,0.086441055,0.070796148,0.047233108,0.126023151,0.0805770674585017,1.40120046629818,2.25961588389764
"T2063",0.253127557,0.150431852,0.063591258,0.050051296,0.065298027,0.066511561,0.054348816,0.055860437,0.050343927,0.050402168,0.053879961,0.061366436,0.066683709,0.060845084,0.05776244,0.057860789,0.052319074,0.050488029,0.0712233,0.052438034,0.0820852,0.058781087,0.051920894,0.055832016,0.087211274,0.32196534025418,0.462210072849756,1.65447004206456
"T2064",0.285315695,0.095729941,0.064344967,0.040500558,0.067246209,0.068591808,0.049828447,0.052164336,0.041238001,0.041238245,0.049038379,0.060333641,0.069427045,0.059427548,0.044301677,0.054630142,0.046261999,0.041614137,0.077676286,0.04645582,0.064647312,0.039128961,0.061894837,0.05210393,0.074789564,0.485931357665423,0.0352721691334407,1.37932377969861
