"","ykgM","znuA","znuB","znuC","zur","pval","z","inv_cof_var"
"T2647",0.071900006,0.072844727,0.080744816,0.073548016,0.350887064,0.4272088837523,0.18348464278503,18.4727670043068
"T2665",0.057106676,0.053897668,0.046237326,0.055151279,0.442293342,0.494341882002888,0.0141832740687537,11.1533728363116
"T2666",0.069697024,0.06192652,0.069509579,0.066230406,0.400355286,0.428320000567087,0.180652937718083,18.3503440982804
"T5740",0.08394116,0.082887715,0.096516484,0.0850482,0.104263243,0.470526865516763,0.0739455252937243,13.7370700408828
"T5750",0.09062934,0.098564198,0.097126804,0.098245788,0.123197517,0.362039542886011,0.353012478207287,25.801951991476
"T5758",0.075662678,0.089188561,0.082686227,0.092790533,0.144359622,0.493194978692311,0.017058486096892,11.2776766757316
"T8378",0.291058756,0.286485226,0.300746301,0.270990905,0.102678199,0.38514989430949,0.291982781989738,23.1634594266707
"T8379",0.246846316,0.244468411,0.251476112,0.250387643,0.160308036,0.0622762836645201,1.53594215773252,76.9434676396781
"T2421",0.068631975,0.06210659,0.067818053,0.073625391,0.12115615,0.464245607244861,0.0897432897186343,14.4200536793247
"T2422",0.074157479,0.075815456,0.070672515,0.079783358,0.116874439,0.414722608681525,0.215413151380991,19.8531299711397
"T2818",0.057886246,0.052920247,0.057509295,0.055725623,0.497684277,0.371420283518478,0.328094030954923,24.724654513745
"T2822",0.075477054,0.070115143,0.073598767,0.079107421,0.575780283,0.41444756637102,0.216118816631148,19.8836379472755
"T2411",0.047675511,0.049487116,0.05770122,0.049724115,0.111643319,0.491540608793604,0.0212061384780824,11.4569918394539
"T2819",0.106407048,0.104598942,0.108388599,0.104162838,0.02200851,0.152427929538348,1.02607579396329,54.9004509899806
"T2823",0.087552964,0.083039724,0.087632289,0.079762025,0.082453038,0.394266918998385,0.268214989021014,22.1359081046673
"T2827",0.069968437,0.068843131,0.074570805,0.067183934,0.107458142,0.394136226317374,0.268554600534649,22.1505905053539
"T2425",0.083965836,0.083664651,0.085540339,0.090684927,0.152167371,0.356643372914843,0.367445488782923,26.4259333227254
"T2426",0.084172978,0.083929353,0.086325318,0.092230992,0.156151917,0.39165835120989,0.274999395905344,22.4292178904003
"T2406",0.073770099,0.064079647,0.075392321,0.080202022,0.14321981,0.497173179633096,0.00708584715435862,10.8465302776312
"T2688",0.055356604,0.05059768,0.056814069,0.055155122,0.089344681,0.411271770893154,0.224274725054789,20.2362417626099
"T2408",0.052815928,0.054672051,0.061211013,0.055337623,0.117279466,0.454914281388866,0.113254785117524,15.436524506515
"T2260",0.061695771,0.056689031,0.060396417,0.050035524,0.113900373,0.496307944579768,0.00925474261801356,10.940297982689
"T5662",0.091019184,0.092555351,0.090628075,0.092051722,0.09174831,0.0166956330960575,2.12734695336168,102.51162957998
"T5668",0.079654962,0.082043984,0.083620986,0.084188909,0.109041521,0.243439214766018,0.695282259938209,40.5992773957417
"T5670",0.069183927,0.075733678,0.077907937,0.074084272,0.115359867,0.413288633441505,0.219093432141789,20.0122392904643
"T2670",0.079095108,0.082340411,0.084387396,0.07464246,0.144039874,0.423791896263215,0.192202238497343,18.8496542066931
"T2671",0.076757202,0.079528312,0.080604439,0.071986797,0.137472567,0.412714831701334,0.220566916531837,20.0759423374799
"T2672",0.062517952,0.065713321,0.066655195,0.059085665,0.130651492,0.42688479735863,0.18431086013921,18.5084868010783
"T2673",0.054065765,0.057074102,0.059028885,0.050487095,0.121768296,0.460734212135773,0.0985841889231075,14.8022716529165
"T2679",0.079271312,0.081090878,0.08309415,0.077283981,0.11148126,0.307696847769861,0.502389312325327,32.2599501563311
"T2680",0.098397498,0.102136184,0.106703904,0.092704549,0.150582494,0.441735735479389,0.146569953726303,16.8768368481685
"T2681",0.060652984,0.062392995,0.063657669,0.058203565,0.107201823,0.361010889316375,0.355758035282309,25.9206504674257
"T2682",0.095031683,0.094998279,0.098757583,0.09195431,0.099755443,0.2922183317874,0.546915678806055,34.1849554271818
"T2683",0.059267051,0.060055676,0.06138315,0.059126402,0.056962115,0.136316019895295,1.09702139443698,57.9676371461793
"T2684",0.082695552,0.083696912,0.085211167,0.080684526,0.080714953,0.221086106715344,0.768530271457919,43.7660035267814
"T2685",0.085789062,0.084350824,0.085017924,0.082626421,0.072369375,0.114046771298722,1.2052843668039,62.6481626171828
"T2686",0.07619575,0.075688428,0.077516883,0.073489832,0.071507456,0.211543641571963,0.801076632532331,45.1730780663662
"T2687",0.09168747,0.090109614,0.091367063,0.087085276,0.076989781,0.226928028176761,0.749001906461012,42.9217350961559
