"","folE","metA","metC","metF","metJ","yeiB","pval","z","inv_cof_var"
"T2687",0.115386368,0.099639107,0.095918842,0.078011526,0.28152245,0.07799195,0.000134346217626645,3.64375189691422,5.89797556674881
"T2649",0.055666245,0.055214189,0.069622313,0.089011889,0.316605407,0.056707204,0.00963412215287656,2.34030021465652,4.47759833383103
"T2650",0.059504083,0.07543354,0.090364773,0.071108759,0.28551736,0.058534322,0.00064182926212358,3.21960832338588,5.43578438350177
"T2651",0.07641027,0.056302815,0.057213884,0.083430606,0.286117076,0.063755387,0.000366617985501868,3.3768403433912,5.60712083159657
"T2652",0.048908707,0.044648595,0.060264471,0.105086483,0.322666476,0.044399252,0.344154092556588,0.401152044707404,2.36449974387854
"T5731",0.175216891,0.094631599,0.197449001,0.110871802,0.141834972,0.161501981,0.089022382855936,1.3467996555548,3.39497625105849
"T5733",0.130519756,0.107387995,0.264477528,0.087112869,0.295930413,0.128766049,0.452580123785155,0.119145293111035,2.05719570265564
"T5735",0.162831842,0.150008195,0.245638123,0.091562412,0.089828152,0.156167302,0.179301506322988,0.918030281576316,2.92774431199913
"T5762",0.11568349,0.122540612,0.060453862,0.052009541,0.233034348,0.062063982,0.315449002369198,0.480463283813493,2.45092556224541
"T5764",0.116711109,0.070376908,0.070366151,0.077811261,0.23432943,0.088639618,0.0121834441214995,2.25129454244041,4.38060844756433
"T5766",0.117340777,0.120994904,0.059475562,0.060416654,0.210347514,0.06709038,0.234082913550211,0.725466601470864,2.71790679302421
"T5768",0.076148299,0.150012276,0.069714266,0.128365881,0.126565707,0.140810836,0.158598743053265,1.00023357155599,3.01732161137077
"T5770",0.106318768,0.144228083,0.057903502,0.06125488,0.186298882,0.086744661,0.279143037254368,0.585389162050166,2.56526376949919
"T5772",0.076513187,0.13763626,0.047716859,0.061074519,0.199180468,0.079354807,0.352865290271695,0.377596210072205,2.33883084362421
"T5533",0.139987371,0.102292855,0.054826029,0.068687596,0.062486419,0.192486208,0.474383963937846,0.0642540659723022,1.99738048251665
"T5529",0.220228526,0.137133617,0.05365012,0.09766061,0.083586543,0.18117193,0.439306543124225,0.152727610397498,2.09379050670675
"T5531",0.186240181,0.089869446,0.071128544,0.093966029,0.067524798,0.170902659,0.351568485442123,0.381089321449165,2.34263730299621
"T0070",0.061011447,0.083465766,0.073746896,0.074128691,0.228462164,0.092092431,9.26935016389346e-06,4.28180068210449,6.59326023307827
"T0247",0.08830604,0.075299849,0.047719826,0.077646716,0.246860395,0.042249442,0.104879354132442,1.25422920289758,3.29410180731428
"T0248",0.088232813,0.092824055,0.030302789,0.077058934,0.089891843,0.055074792,0.254361727324536,0.660826705059719,2.64746840359229
"T0249",0.05352065,0.072024899,0.112163479,0.097635645,0.111464801,0.04448679,0.25397473792121,0.662033931623224,2.64878392387518
"T0588",0.175100892,0.086324729,0.09056295,0.076490849,0.199228286,0.07863668,0.319248818144355,0.469800389243783,2.43930615748344
"T0589",0.138098548,0.094005188,0.098536403,0.066380325,0.157855915,0.054102901,0.220111153683444,0.771817868066564,2.76841597927605
"T0590",0.147041476,0.091420049,0.095446613,0.06321491,0.145870759,0.05135435,0.325665682269613,0.451913408458575,2.41981463308037
"T0591",0.136176908,0.091302838,0.094840804,0.058017813,0.147934312,0.062266615,0.206074108325796,0.82011909679818,2.8210500481458
"T0596",0.089298548,0.073344025,0.079259628,0.021121965,0.244358168,0.044528792,0.403698787387294,0.243784694510485,2.19301582585778
"T0597",0.08556635,0.067311771,0.074122059,0.024953286,0.260780927,0.038345938,0.371747423802061,0.327228789469728,2.28394523606518
"T0569",0.124896047,0.064250517,0.075298971,0.045356246,0.217406887,0.058376802,0.330710371116352,0.437952464943962,2.40460132936676
"T0570",0.065615892,0.074603347,0.08942934,0.048747677,0.226823678,0.065894598,0.00635531378265277,2.49177570571448,4.64266186612177
"T1945",0.064583555,0.054418797,0.060751308,0.040838362,0.226201324,0.092092431,0.100321857151385,1.27971975503036,3.32187897803471
"T1946",0.092282836,0.067770215,0.072175646,0.026824718,0.243816,0.092092431,0.260341289264533,0.642293585249006,2.62727277855119
"T1947",0.086770726,0.071919899,0.077777874,0.028434945,0.232389429,0.092092431,0.204504702194003,0.825638119692533,2.82706415252251
"T1948",0.070331466,0.047194157,0.071262699,0.02615216,0.230555232,0.092092431,0.323705322883679,0.457362315927062,2.42575233235827
"T1941",0.090206648,0.061934186,0.069475678,0.021426759,0.249446518,0.092092431,0.351853274349381,0.38032180865644,2.34180094081141
"T1942",0.10766478,0.061888653,0.065762967,0.030884082,0.234951316,0.092092431,0.325549268650451,0.452236609314545,2.42016682652469
"T1943",0.091989592,0.063129832,0.066679892,0.028418796,0.241122867,0.092092431,0.264771914808248,0.628702517572676,2.61246253022264
"T1944",0.106319609,0.06484146,0.071155319,0.031566285,0.241339299,0.092092431,0.279711873852839,0.583697651325448,2.56342052256083
"T0118",0.146252009,0.069185306,0.152811796,0.081409972,0.155803331,0.092092431,0.208367165897843,0.812099862999755,2.81231145256319
"T0119",0.158433873,0.065018703,0.057768355,0.097906104,0.174289856,0.092092431,0.34216134718411,0.406571552541064,2.37040540624051
"T0121",0.167744059,0.047600739,0.129175659,0.07902678,0.159987848,0.092092431,0.394490208999526,0.267634830252457,2.21900542736815
"T0122",0.165304544,0.051832256,0.055043331,0.081730862,0.134375361,0.092092431,0.49379526652737,0.015553587441593,1.944311349323
"T4023",0.1986765,0.134455473,0.075535883,0.066499474,0.233653692,0.100090362,0.421000587416813,0.199334396079843,2.14457813327072
"T4024",0.198552033,0.13593592,0.062708164,0.07325269,0.218991634,0.127384606,0.405503384810423,0.239127433858515,2.1879407877203
"T4025",0.204819534,0.146082325,0.078576106,0.075000134,0.228653582,0.120075274,0.355845283043715,0.369586560832047,2.33010269237838
"T4026",0.195049797,0.149462425,0.080072383,0.091052557,0.23152641,0.120157608,0.230617657155954,0.736814253104627,2.73027238067665
"T4027",0.202165865,0.133504031,0.083437563,0.080915711,0.205939231,0.097569089,0.347265538190889,0.392713530055811,2.3553042560412
