"","crp","gntR","idnK","idnR","pval","z","inv_cof_var"
"T7253",0.35523863,0.146696216,0.069245186,0.070041346,0.499135456249801,0.00216709150511597,123.706857045263
"T7255",0.47356286,0.157409264,0.072745438,0.072623923,0.169220488333373,0.957250215889853,845.917466484506
"T7257",0.479435302,0.16785933,0.063142697,0.063322947,0.310421510925009,0.494655920041336,496.11492071856
"T7448",0.527153358,0.155113691,0.078351259,0.077534884,0.493166441769463,0.0171300280065877,135.021465390678
"T7450",0.541712257,0.157429337,0.073429375,0.073545126,0.152463735174519,1.02592386976871,897.846811851401
"T7259",0.508291951,0.114456584,0.077294149,0.077789577,0.447773456071489,0.131288723219405,221.345491789479
"T7267",0.443672408,0.153505536,0.075174054,0.074615157,0.464465851896897,0.0891890043694778,189.510709212399
"T7269",0.46526929,0.154419999,0.076118221,0.076066723,0.00463448523000576,2.60197094520822,2089.61524519207
"T7454",0.450274738,0.163439608,0.079076528,0.07980804,0.48337785167712,0.041677609656876,153.583749082304
"T7456",0.313890401,0.158462473,0.070366558,0.071090224,0.491479323470517,0.0213597927979468,138.219910562369
"T7468",0.507327617,0.15701316,0.080315731,0.080615779,0.366883127429458,0.340119875165139,379.258525394576
"T7277",0.468296229,0.136285934,0.082421669,0.081628168,0.487276753184559,0.0318978585909149,146.188539390936
"T7278",0.458625816,0.148006306,0.068757906,0.069243599,0.458478633958385,0.104267248759885,200.912510576532
"T7279",0.482423415,0.135502797,0.077025587,0.07622451,0.493033695523644,0.0174628232780922,135.273117073883
"T7280",0.483464405,0.135963291,0.069717138,0.07032027,0.477794868726991,0.0556887805540524,164.178655446215
"T7288",0.479799622,0.152400963,0.071488886,0.071599213,0.146547272063075,1.0513572460376,917.078911871057
"T7478",0.503951485,0.14983814,0.075014541,0.075192373,0.264865235522235,0.628417507512641,597.262177057576
"T7482",0.489316042,0.155566771,0.078132856,0.077926541,0.292567119765487,0.545900638373054,534.864929290572
"T7486",0.536209947,0.11326482,0.078355328,0.078944407,0.464830775212541,0.0882706693239062,188.816286605614
"T7488",0.500314511,0.127992253,0.079292154,0.08010002,0.490797626137352,0.0230689764868968,139.512353661953
"T7289",0.501057319,0.151022044,0.06351493,0.063125772,0.443193625368714,0.142877092167974,230.108334297187
"T7290",0.50016718,0.151952524,0.064856576,0.065275027,0.448530162253513,0.129375763384609,219.89895812885
"T7292",0.399399793,0.145123962,0.073816922,0.073831234,1.20587289571585e-21,9.4855212907219,7294.78845285575
"T7293",0.378400293,0.132530535,0.082770736,0.083065989,0.358003419422063,0.363800701401419,397.165389741222
"T7299",0.4419213,0.139815041,0.082856564,0.083789375,0.497754686065895,0.00562819710620342,126.324060848445
"T7300",0.434358377,0.158456019,0.069372278,0.070173348,0.499414826549691,0.00146681284209327,123.177323366899
"T7148",0.647629973,0.050374062,0.066162296,0.066371313,0.333050173187675,0.431506198777348,448.362638728064
"T7152",0.472990998,0.045598879,0.05347938,0.053672874,0.360765902508307,0.356412319106961,391.578474902697
"T7156",0.465381649,0.060032987,0.059569889,0.05991066,0.433906105016828,0.166438077859748,247.92457814131
"T7160",0.300023358,0.053712711,0.058902936,0.059012206,0.198312527888445,0.847664116540875,763.051125769001
"T5545",0.304851632,0.088153738,0.093377496,0.09279286,0.445773863038537,0.136346043742735,225.169714460816
"T1711",0.898642156,0.036174914,0.062617328,0.062389772,0.362317641497108,0.352270668790169,388.446659751736
"T0152",0.36450115,0.176288171,0.033398743,0.033436002,0.0647648314830531,1.51595922549377,1268.39961910885
"T1088",0.432018058,0.164082035,0.041342102,0.041361024,4.32407581452844e-05,3.92568988466098,3090.57928442614
