"","argP","dapB","lysC","pval","z","inv_cof_var"
"T4803",0.104889663,0.09321811,0.094680795,0.257898511057737,0.649837764787905,90.836092462169
"T5757",0.162596166,0.196956859,0.198861752,0.119103792034399,1.17947877363068,146.93005011722
"T6893",0.1307598,0.113927004,0.117460612,0.409297504300146,0.22935242674187,46.3027456232238
"T0867",0.090209816,0.124356813,0.131387397,0.48602975661484,0.0350253671370668,25.7216847334726
"T1651",0.106439069,0.703020449,0.701341823,3.76931644864939e-08,5.37783625714202,591.575542005031
"T2460",0.089210748,0.152981291,0.145200407,0.480849965346795,0.0480204675285955,27.0979879254747
"T8318",0.090428113,0.159036311,0.152427577,0.457466200565643,0.106819217768553,33.3253278615128
"T2144",0.130291516,0.079980254,0.076722114,0.454907369037827,0.113272223308086,34.0087617600194
"T6045",0.109029067,0.07198778,0.069001127,0.457261769568319,0.107334596367057,33.3799112959488
"T6130",0.091502744,0.070570947,0.068773265,0.378402266483779,0.309679711150199,54.8101595411737
"T6140",0.09521618,0.205966122,0.203434028,0.191699522386765,0.871650549952009,114.328149856912
"T6145",0.098025475,0.070135007,0.069917452,2.15484340327283e-05,4.09021759122925,455.20463092438
"T6126",0.090579434,0.068983231,0.066794585,0.418257050747401,0.20635438239433,43.8670367105047
"T6141",0.098392286,0.072967647,0.069049077,0.486386401144625,0.0341308572462444,25.6269477340709
"T6158",0.095650971,0.190393464,0.19311665,0.231954642499995,0.732424867831864,99.5828423996844
"T6160",0.090650891,0.207301105,0.208464259,0.0146784185728895,2.17866132086757,252.752867003762
"T6134",0.091507375,0.07219962,0.070418289,0.371947376187326,0.326700063291582,56.6127747019197
"T6169",0.092908593,0.178990684,0.178203344,0.00239287149639293,2.82111240998042,320.794471763328
"T6128",0.092092097,0.071866473,0.069302272,0.43654775477926,0.159727788907086,38.9288425053631
"T6138",0.095183376,0.199293215,0.196343596,0.245823143590489,0.687692748931847,94.8452908477745
"T6143",0.096979971,0.071403848,0.069142736,0.417942067959837,0.207160984847415,43.9524634865519
"T6136",0.094878633,0.075691699,0.074488565,0.265804257215973,0.625552482342025,88.2640529440498
"T6164",0.095789295,0.194804062,0.2004541,0.397729569091033,0.259228246584466,49.4668755625238
"T6171",0.092423356,0.180796152,0.178629862,0.18408283816546,0.899914644098668,117.321582906376
"T6125",0.119698296,0.068637166,0.06718691,0.338173916119714,0.417451992291681,66.2242563988683
"T6137",0.119698296,0.065889291,0.062244451,0.489280708529107,0.0268725129847007,24.858220900508
"T6178",0.119698296,0.414658305,0.411374624,0.0705526946126131,1.47168711288746,177.877657902607
"T6182",0.119698296,0.375662232,0.374871734,4.36228146718127e-10,6.13115085115183,671.358633253281
"T6205",0.119698296,0.462345102,0.480549962,0.44513538148093,0.137961603891278,36.6235990664979
"T6210",0.119698296,0.051691309,0.050626282,0.332297822778881,0.433576991930961,67.9320453197636
"T6218",0.119698296,0.492915937,0.486344784,0.215604592074923,0.787124165904554,105.376011845824
"T6202",0.093848238,0.075851599,0.071451428,0.493749570375547,0.0156681446657568,23.6715730550028
"T6213",0.096545495,0.071956693,0.073247477,0.293488205544327,0.543222798731332,79.5445661424096
"T6186",0.096711097,0.075870936,0.071268853,0.497755907746923,0.00562513475751955,22.6079239736132
"T6198",0.094492866,0.076104401,0.073531428,0.428401373934774,0.180445613135591,41.1230546897967
"T6204",0.095354059,0.072879954,0.073283041,0.0134443760802135,2.21312901619848,256.4033196879
