"","csgD","pepD","yhbS","yhbT","pval","z","inv_cof_var"
"T7227",0.07944116,0.167429297,0.094711755,0.102684198,0.496444241584093,0.00891308259539559,3.04922393500384
"T7231",0.068895458,0.170270608,0.11579497,0.102236519,0.471254816803505,0.0721159492509709,3.5944506202724
"T7233",0.077019925,0.165000437,0.108349912,0.100256194,0.474216217096881,0.0646754195511619,3.53026404837248
"T7235",0.076321865,0.166821573,0.104449496,0.099408468,0.485289452184412,0.0368822351969106,3.29050299669256
"T7237",0.07214536,0.168647956,0.09298995,0.108313455,0.494879699557099,0.0128350422599347,3.08305716410888
"T7238",0.083456631,0.150338081,0.086371665,0.097863788,0.486218297748449,0.0345524785215471,3.2704050869488
"T7442",0.079692195,0.14057801,0.082426086,0.093719323,0.479130750836841,0.0523353311746588,3.42381087880175
"T7446",0.072696283,0.14556405,0.080867291,0.090754581,0.497160144611238,0.00711852193277472,3.03374295426089
"T7241",0.07283087,0.170373405,0.107256125,0.103639449,0.480854437654534,0.0480092441857224,3.38649139957599
"T7247",0.077166503,0.157017212,0.086998372,0.098905469,0.496357438032443,0.00913067568796838,3.05110102645362
"T7254",0.083021651,0.147183717,0.079081303,0.096059424,0.497293701230394,0.00678373704536562,3.03085489452406
"T7255",0.080161332,0.148597658,0.076339325,0.113153391,0.493213631078799,0.0170117247130659,3.11908778819038
"T7256",0.076563668,0.088102144,0.064612482,0.106833629,0.448476124867599,0.129512354588915,4.08958720955521
"T7448",0.076487546,0.141256609,0.092690182,0.092302621,0.458888429688248,0.103234499701194,3.86289831908956
"T7450",0.077090688,0.149303515,0.082920259,0.09974395,0.489175691484448,0.027135847676639,3.2064246812266
"T7270",0.086762354,0.146161214,0.07954262,0.098315986,0.492049111216702,0.0199312421830222,3.14427333620361
"T7460",0.077089019,0.133955255,0.073128396,0.088139997,0.493834997782589,0.0154539839838433,3.10564976141653
"T7462",0.073918007,0.147158392,0.082696665,0.096807429,0.488856538388626,0.0279361492211937,3.21332857311382
"T7275",0.080655995,0.156590353,0.089852394,0.10249204,0.48572973337155,0.0357778853079096,3.28097619733648
"T7278",0.078254338,0.161458495,0.099360746,0.09400908,0.491569451522075,0.0211338242767177,3.1546475467957
"T7279",0.075751606,0.158103906,0.092961813,0.100078022,0.485977555205999,0.0351562972512054,3.2756139975868
