"","aaeR","amiB","ampD","ampE","arfB","comR","crp","cyaA","hflC","hflK","hflX","hfq","miaA","mutL","narQ","nlpE","rof","sohB","speC","spf","trxA","tsaE","yaeP","yaeQ","yjeF","pval","z","inv_cof_var"
"T5568",0.116139134,0.096037175,0.22464744,0.094878928,0.120874643,0.118589292,0.219278513,0.148913474,0.265232513,0.23837259,0.228713521,0.097483475,0.221121457,0.166036505,0.131711265,0.094931486,0.099163282,0.107970875,0.179178283,0.118083765,0.264864961,0.154535497,0.186317491,0.215609594,0.105125293,0.00221821040726453,2.84533880020375,2.70241989191006
"T5570",0.159907837,0.089273749,0.233827898,0.102398201,0.174386846,0.140336197,0.224920522,0.100654109,0.116036725,0.223358715,0.223047512,0.142103016,0.214460984,0.166893596,0.122700882,0.112112014,0.089083021,0.138979357,0.168776956,0.164562015,0.256650684,0.127384486,0.186317491,0.210247642,0.112626497,5.92848416827106e-05,3.84906471210696,3.18600873136274
"T5572",0.099311028,0.100835156,0.243646788,0.112705983,0.166114462,0.137556088,0.228867612,0.083888698,0.26740985,0.242941343,0.228894172,0.132247302,0.224119898,0.17598416,0.101860465,0.135803293,0.102142938,0.130553436,0.19650939,0.087184878,0.269290975,0.105603619,0.186317491,0.217836157,0.125093329,0.00330618366555084,2.71576080031034,2.63999002550536
"T5574",0.15932269,0.089296171,0.257097428,0.093016217,0.160754411,0.106002295,0.244675066,0.115622284,0.286699202,0.255257116,0.23555109,0.292791267,0.230546344,0.156059469,0.126004353,0.115095347,0.08968694,0.100039354,0.178575467,0.089448574,0.294638215,0.131854003,0.186317491,0.221628412,0.098253975,0.0168956995917802,2.1225521391387,2.35418581879187
"T5576",0.210048835,0.092054745,0.251503454,0.109155929,0.203571629,0.133327683,0.24450597,0.065208563,0.252169659,0.247824962,0.241374315,0.193644752,0.225175944,0.181975497,0.070920307,0.122752479,0.091393739,0.065448379,0.201795348,0.170801772,0.254083964,0.070651328,0.186317491,0.2285182,0.12241164,0.0100372147944338,2.32495382120797,2.45170167782709
"T5578",0.114002928,0.100051218,0.221425992,0.102446623,0.201327229,0.113917282,0.145163587,0.104751752,0.244565671,0.220958567,0.211792107,0.21375973,0.20355614,0.151416361,0.113908254,0.113702715,0.100039626,0.100542081,0.164485613,0.107713258,0.272633771,0.130781049,0.186317491,0.178948142,0.105839576,0.000744962793220805,3.17663863495012,2.86203807123162
"T8499",0.071904868,0.05625026,0.190992208,0.069837216,0.256875042,0.157425106,0.319426257,0.066366232,0.477061861,0.361373953,0.058882492,0.281073184,0.184042711,0.052809769,0.059635155,0.115703224,0.315378212,0.104227044,0.06281812,0.231537327,0.260055262,0.223327894,0.300854398,0.149664615,0.05366313,0.384288847795361,0.294235840222853,1.47331451053935
"T8138",0.040204683,0.058877767,0.067728059,0.066423568,0.050412809,0.127771822,0.263986731,0.154588979,0.232902314,0.218828057,0.21455782,0.196332929,0.348154643,0.069429906,0.04097867,0.059036598,0.049264701,0.133792563,0.029898607,0.072864387,0.0768203,0.075634994,0.254354345,0.103349719,0.312866998,0.464502350422194,0.0890971519057482,1.37447997908643
"T8139",0.053458743,0.052668594,0.073063496,0.072692955,0.090734532,0.1156888,0.213313077,0.151184569,0.172671027,0.167502445,0.101700817,0.067575345,0.282085485,0.074033714,0.073870627,0.066891145,0.052999288,0.109523432,0.066749572,0.154487801,0.072995462,0.061699449,0.158981909,0.10478161,0.316443561,0.264731878777032,0.62882480695645,1.63451737299168
"T8141",0.041328338,0.085531876,0.068204433,0.06542361,0.090846737,0.108682579,0.438149629,0.167565516,0.091298718,0.0772186,0.269524587,0.323367651,0.387008058,0.060926964,0.074692397,0.061770782,0.058312763,0.093196583,0.069093131,0.244640209,0.296417333,0.063228123,0.222346731,0.119328342,0.181698753,0.446684924185904,0.134041386052527,1.39613382878123
"T8402",0.043351217,0.064400993,0.090567361,0.04513834,0.093761739,0.086217634,0.294791735,0.206375814,0.012872509,0.284648043,0.25691423,0.28354898,0.293051183,0.297345357,0.214830986,0.079812217,0.099163396,0.167387558,0.297779325,0.231537327,0.286438416,0.091577069,0.097470587,0.08527549,0.270202951,0.248743084046792,0.678450390995831,1.65842666765885
"T8407",0.048424709,0.082170873,0.070522709,0.04893969,0.072636842,0.068041604,0.309699433,0.290269292,0.084240024,0.08219572,0.226571087,0.305798888,0.309666783,0.305469555,0.255563561,0.064557401,0.076318787,0.197448889,0.2933825,0.231537327,0.307802321,0.071243953,0.075174985,0.0675117,0.301270372,0.347177139751406,0.392952886015853,1.5208757631115
"T5535",0.081121645,0.061252522,0.313146817,0.094511647,0.103096727,0.062073834,0.088177183,0.097965957,0.101152714,0.08156997,0.283143165,0.340285129,0.081127152,0.196849902,0.060751314,0.179316996,0.072195843,0.096077509,0.255082305,0.069298476,0.335416766,0.067257091,0.07053109,0.279351142,0.078977064,0.400820300370537,0.251224426063017,1.45259188137326
"T5543",0.135142293,0.069967874,0.33733668,0.088390299,0.093129468,0.088207728,0.340893625,0.132801962,0.104496234,0.081161699,0.298338929,0.352146346,0.082412683,0.086300286,0.068780284,0.175205873,0.073528437,0.071280807,0.242375443,0.086620011,0.068807412,0.075287943,0.08577752,0.306290365,0.074106436,0.406020235852627,0.237794516748967,1.44612143542569
"T5537",0.127241652,0.100960125,0.295472241,0.081830294,0.083161902,0.114354588,0.235175066,0.084606621,0.131777382,0.138441396,0.255806219,0.363704058,0.111637032,0.147793029,0.109139962,0.134743362,0.085610799,0.132132803,0.205979957,0.111352186,0.128560075,0.141993926,0.140457468,0.249228546,0.147674795,0.0555576937860156,1.59319974881209,2.09914716225848
"T5539",0.083631577,0.073397739,0.32074551,0.085013398,0.089560343,0.090350527,0.314886066,0.099378371,0.137354499,0.08966183,0.276390422,0.305835573,0.075357781,0.083636891,0.075432811,0.153916315,0.07637616,0.139780384,0.243651639,0.08782786,0.284116367,0.07409835,0.091500518,0.286848075,0.084512345,0.284470475891886,0.569611905471136,1.60598896900178
"T5541",0.110541146,0.091684033,0.305315725,0.092298381,0.093310125,0.10632216,0.31003211,0.114320104,0.074098738,0.099902192,0.283829911,0.327963207,0.195345577,0.106268623,0.09817509,0.151404325,0.091107317,0.110829091,0.226329285,0.105910882,0.10030046,0.100878292,0.110337398,0.260728013,0.108380613,0.12777112581349,1.1369905130282,1.87934841813519
