"","allA","allB","allR","allS","gcl","glxK","glxR","hyi","ybbW","ybbY","pval","z","inv_cof_var"
"T7243",0.071685401,0.077821488,0.443857018,0.079774313,0.081429495,0.080019298,0.076274965,0.09096452,0.093936815,0.071772472,0.112363222384423,1.21405572684729,10.4850779711312
"T7244",0.072502713,0.084553842,0.24987986,0.086106028,0.086375189,0.104292415,0.08112546,0.075543664,0.069339798,0.073480189,0.271928578046743,0.606990591378222,7.67111231400446
"T7247",0.068983581,0.077833202,0.461470141,0.083451061,0.089361787,0.084582648,0.077595488,0.057533651,0.084942986,0.091714181,0.289405408603874,0.5551225827977,7.43068540374158
"T7249",0.079045571,0.08190534,0.420665164,0.082397575,0.082466033,0.080909259,0.080107681,0.094512167,0.073907534,0.095874015,0.0708730367563556,1.46931978273639,11.6683188538674
"T7251",0.068874139,0.079336864,0.20943932,0.086764463,0.094665739,0.086342358,0.07773693,0.069848485,0.08565519,0.053320538,0.380992673490018,0.302874707620236,6.2614256054761
"T7255",0.07742339,0.083226856,0.320796174,0.08646427,0.090214595,0.088132463,0.080443645,0.077224394,0.078257237,0.062805228,0.140766308335818,1.07688282560317,9.84923214399249
"T7257",0.082628148,0.080507305,0.399489262,0.08244482,0.093514649,0.077142134,0.073915544,0.102950116,0.080438092,0.080017314,0.166705537060281,0.967266003473616,9.34111867330603
"T7448",0.096228591,0.079067759,0.366466037,0.079545827,0.101788606,0.076362696,0.076719488,0.05595444,0.100804304,0.078611893,0.430528524375067,0.175028742734142,5.66881348929235
"T7452",0.077921244,0.080759906,0.227290964,0.080643002,0.090659506,0.079512725,0.074505834,0.067534989,0.070308498,0.07024751,0.100754358993854,1.27726496546966,10.7780755694186
"T7259",0.082230944,0.084067941,0.428529939,0.082914402,0.108790416,0.082649423,0.082565462,0.081158846,0.077340498,0.086146762,0.165482620140016,0.972171492272776,9.36385738156934
"T7260",0.081492894,0.088955548,0.294506077,0.088414085,0.108060917,0.094078777,0.085340663,0.063259117,0.065499746,0.070758108,0.424704845024012,0.189871673354455,5.73761582132613
"T7261",0.083979097,0.08834041,0.254305906,0.089202864,0.090056076,0.090812404,0.086500748,0.057969122,0.053513498,0.071915781,0.447618266776629,0.131681102258705,5.46788155548741
"T7263",0.084795136,0.083858597,0.099179024,0.088493819,0.096375312,0.089123414,0.083087025,0.058236075,0.060345533,0.057109349,0.472951901640874,0.0678515550656785,5.17200860344852
"T7267",0.079358641,0.085099178,0.129785131,0.088689283,0.105000004,0.108035034,0.080718816,0.05633304,0.06680132,0.087714094,0.475948005914574,0.0603259784253781,5.13712484390018
