"","argA","argB","argC","argE","argF","argH","argI","argR","artI","artJ","artM","artP","artQ","lysO","pval","z","inv_cof_var"
"T5298",0.12118127,0.088469914,0.162782675,0.145376713,0.109305537,0.141059791,0.08413173,0.084288725,0.241310334,0.076797457,0.118662775,0.132089524,0.230091529,0.085871993,0.118738428645403,1.18131689704615,2.50107853976839
"T5300",0.159735438,0.14491805,0.158843181,0.138610648,0.144833462,0.147238504,0.078793306,0.082316821,0.240966268,0.069604999,0.104067297,0.12618164,0.185975875,0.079557093,0.0570362181162201,1.58015036196348,2.7854124272173
"T5302",0.145529375,0.115072691,0.168055987,0.14851026,0.1873742,0.175610683,0.069569712,0.079356282,0.238972437,0.088735439,0.115910434,0.137478142,0.230293863,0.079369332,0.0935163845033771,1.31940793916633,2.59952555157078
"T5304",0.16806661,0.123287403,0.172885957,0.157796955,0.234274701,0.163202343,0.075704852,0.076084868,0.219647849,0.058229557,0.119517365,0.139929925,0.241096416,0.081864879,0.143261835300498,1.06577874662875,2.41870979605316
"T5306",0.166564278,0.137435781,0.16683885,0.14831006,0.125047567,0.181845842,0.070933264,0.073911261,0.246273749,0.056996466,0.103176319,0.13598721,0.23598305,0.078718136,0.170039905176813,0.95400757040708,2.33902658028681
"T5308",0.131425753,0.130799241,0.165269875,0.147580567,0.190136206,0.13332703,0.070317244,0.072013462,0.243073199,0.061690653,0.106906962,0.134010966,0.231570513,0.07886869,0.160439141781855,0.992654647606373,2.36657861557275
"T5310",0.150653033,0.100464234,0.159280921,0.140571939,0.155035963,0.150751849,0.076366627,0.106838208,0.243204323,0.062254611,0.149056352,0.125879194,0.233244314,0.079501309,0.0946873567387352,1.31243111707243,2.5945516787078
"T5312",0.157948452,0.131667443,0.172540697,0.158276248,0.188982943,0.163225534,0.079042592,0.074837436,0.174694733,0.066972925,0.121267473,0.098601035,0.196952042,0.085755049,0.036465367369553,1.79326391309837,2.93734402221219
"T5314",0.151550923,0.128933749,0.168485744,0.150727286,0.143070493,0.155096034,0.073812346,0.073891801,0.243240622,0.05957195,0.131973733,0.138269574,0.233768094,0.0809175,0.118446685726373,1.18278751093503,2.50212696072787
"T5316",0.15822418,0.129882822,0.164962866,0.146027246,0.210058281,0.148662776,0.067792895,0.070219168,0.240145928,0.048203499,0.145059775,0.133358373,0.229845634,0.07527373,0.170070520930956,0.95388661030255,2.3389403461571
"T5318",0.162702891,0.106955611,0.155251964,0.136615158,0.156793563,0.158036665,0.075441724,0.096464469,0.243318794,0.062554104,0.152248338,0.122826232,0.229942085,0.075336155,0.103037405302325,1.26443256503401,2.56033284780846
"T5545",0.206892542,0.069064012,0.094358873,0.168168079,0.311063006,0.122243752,0.066389549,0.102651931,0.100384032,0.088493126,0.134680521,0.103621404,0.101922467,0.0683724,0.384488714126283,0.293712727076827,1.86829326379975
"T5553",0.106916856,0.192556045,0.080080635,0.08753338,0.111327029,0.093466415,0.073693404,0.08985323,0.269768354,0.110224029,0.111792361,0.104087961,0.086797784,0.097825405,0.227528121155738,0.747012124266851,2.19145666687076
"T5549",0.214729192,0.151718322,0.180935277,0.167934603,0.332274203,0.103872114,0.067455564,0.090888387,0.088279646,0.074686449,0.104401122,0.079046261,0.071981969,0.075087238,0.467365899139476,0.0818930033388423,1.71728405623172
"T5551",0.182120817,0.202813017,0.068509886,0.087720893,0.343344585,0.102400151,0.084548246,0.093575858,0.077781179,0.148796597,0.206398357,0.106361226,0.257319344,0.069573849,0.449410501023537,0.12715085443196,1.74954900356145
"T5555",0.088972988,0.187740832,0.135360074,0.082894173,0.296899825,0.089647508,0.097389077,0.084632432,0.087748058,0.15388588,0.067610754,0.105564009,0.265694032,0.092247118,0.403313569488674,0.244779537169159,1.83340811665041
