"","crp","lsrA","lsrB","lsrC","lsrD","lsrF","lsrG","lsrR","oxyR","rbsR","tam","pval","z","inv_cof_var"
"T1069",0.412707036,0.054505298,0.058406168,0.040243039,0.054544422,0.052748372,0.069477841,0.043331761,0.042569942,0.039586508,0.048346383,0.136951156027089,1.09412009079787,5.33257708198834
"T1070",0.46431079,0.055768686,0.06017191,0.038581568,0.056497886,0.054585242,0.069044866,0.053748803,0.042455265,0.038595808,0.048196031,0.142001295977863,1.07137112243496,5.27640409354146
"T4795",0.109720923,0.136186777,0.105639746,0.09475656,0.137756981,0.094643922,0.068536419,0.168533558,0.110630486,0.084304042,0.10193345,0.326197940938521,0.450436291347627,3.74315807831482
"T4797",0.346768618,0.145830437,0.092736886,0.114966678,0.099208165,0.064226959,0.069120079,0.174916615,0.099623946,0.100321073,0.088824151,0.419350902151405,0.203554305569205,3.13354366795366
"T4799",0.076044581,0.108339441,0.115123347,0.149583454,0.076663586,0.147721747,0.071922305,0.134287229,0.096186388,0.076522188,0.128520528,0.325527649776983,0.452296635313661,3.747751740693
"T4796",0.196874839,0.113559583,0.112018532,0.116639013,0.132920212,0.104284338,0.091772389,0.146691704,0.170178914,0.091401424,0.110312317,0.186466966809963,0.890991121020764,4.83099999548081
"T4798",0.246838574,0.125848678,0.108347324,0.126979279,0.217460659,0.150211601,0.095061512,0.171279908,0.094785881,0.095599084,0.106311688,0.405175156729982,0.239974128052686,3.22347347202066
"T4802",0.138180204,0.099376603,0.101618334,0.133614911,0.080548828,0.139730566,0.082397428,0.129699847,0.128779715,0.099946793,0.118917756,0.15017427188085,1.03568624013141,5.18828904369003
"T4811",0.135198786,0.17043093,0.136885284,0.094058179,0.085731781,0.171923498,0.085393442,0.212176101,0.174579814,0.132544422,0.130400004,0.400727185577057,0.251465320478776,3.25184814858157
"T4812",0.15657116,0.141393919,0.127072586,0.117625015,0.097212326,0.172614786,0.09718709,0.174850974,0.115750413,0.13396006,0.121902537,0.188170374917208,0.884658675970829,4.81536357817361
"T4801",0.150762751,0.114633502,0.098073922,0.138561262,0.084948517,0.101206067,0.084872907,0.124905393,0.144891692,0.093100577,0.117459951,0.152025887502233,1.02778329691963,5.16877466700928
"T4803",0.113190724,0.143472658,0.1014119,0.092959111,0.0985675,0.114685169,0.094521219,0.176746491,0.147620593,0.103177361,0.099514293,0.276425245169276,0.593494159758126,4.0964043381568
"T5743",0.183459508,0.126244324,0.154143649,0.123603312,0.130580503,0.184208248,0.123984668,0.138114303,0.143524281,0.122572741,0.154671135,0.0346746244306272,1.81613771958838,7.11542223230451
"T5745",0.214462677,0.141877694,0.136796642,0.159480241,0.087963888,0.152550809,0.093705328,0.204311291,0.237522859,0.109042138,0.135207076,0.421769010485338,0.197369978791903,3.11827299233131
"T5747",0.114735357,0.117014575,0.115112198,0.17482095,0.105862539,0.197910681,0.106414562,0.12711828,0.173223306,0.111946527,0.139853361,0.274033989393894,0.600657729384535,4.11409301341642
"T5755",0.18326276,0.126141539,0.149283995,0.145125764,0.126010973,0.201734185,0.131029722,0.181670545,0.164382049,0.10964008,0.155799024,0.138128630255951,1.08876561015882,5.31935550752932
"T5759",0.197997559,0.101828757,0.152110654,0.201985266,0.101409149,0.13434285,0.099246204,0.130552133,0.191248016,0.136556441,0.149882239,0.300508564279207,0.522938389278675,3.92218419697157
"T6894",0.141415569,0.080588247,0.189010806,0.215117472,0.118065528,0.117297242,0.111384426,0.109236513,0.145986636,0.07861593,0.179037358,0.456777935745879,0.10855447434121,2.89896492412243
"T6896",0.288087286,0.107019343,0.22037229,0.117746285,0.124081365,0.232064697,0.129636865,0.104275813,0.132219914,0.06992423,0.159920253,0.483496663172701,0.0413795364805546,2.73309291849249
