"","mngA","mngB","mngR","pval","z","inv_cof_var"
"T0582",0.038936257,0.034606106,0.04095829,0.486682399300359,0.0333884769523169,11.7609218319403
"T4028",0.073224038,0.083600215,0.073187505,0.477559706446753,0.0562791694588572,12.7757426591671
"T4029",0.074466013,0.083380668,0.072772452,0.471156439108949,0.0723631898408064,13.4888009847062
"T4032",0.109918192,0.10679024,0.121895208,0.465166135503245,0.0874267957317213,14.1566209288546
"T6966",0.068229203,0.076079476,0.079450015,0.475953089896942,0.0603132115667304,12.9545852148395
"T6967",0.073879503,0.070918415,0.07203192,0.195406296706808,0.858144652728025,48.3251168348648
"T6971",0.071437023,0.079646712,0.077800875,0.433422964607898,0.167666147861323,17.713899315301
"T4098",0.061939944,0.064809155,0.062697367,0.23390107453112,0.726059739072304,42.4693516018129
"T4836",0.106129421,0.106400637,0.10893603,0.0918507693085983,1.32944397266493,69.2193892817618
"T4838",0.092101499,0.082272256,0.079400579,0.478236146579097,0.0545809784567306,12.7004561820509
"T4840",0.062388263,0.067726337,0.070788073,0.450877961320771,0.123443487120882,15.753361112188
"T4851",0.096521607,0.09654938,0.088308238,0.415469153031254,0.213498311404849,19.7457921515507
"T4853",0.090763712,0.081652925,0.087717196,0.424724996019497,0.189820243801462,18.6960643573595
"T4855",0.090131945,0.084351376,0.088623157,0.334366070910807,0.427888717360775,29.250434663328
"T6968",0.061034933,0.066297626,0.056332133,0.482012731283303,0.0451026833880598,12.2802517151245
"T4103",0.08970026,0.084204904,0.094379025,0.434782953645707,0.164209900681013,17.5606723379336
"T4841",0.069729683,0.063516198,0.074038936,0.474993652501682,0.0627227200824944,13.0614067723122
"T4850",0.073384467,0.075039238,0.075288975,0.0817768645560644,1.39321849326797,72.0467267131603
"T4852",0.082546158,0.080649286,0.087608705,0.385045300237309,0.292256388872266,23.23740068648
"T4854",0.067374573,0.066817721,0.079025573,0.499729882269994,0.000677084791245815,10.310716599261
"T4856",0.10017438,0.086756357,0.086983207,0.485565246275171,0.0361904603445735,11.8851431110997
"T7008",0.079178177,0.081057546,0.075239651,0.357772859625038,0.364418236960039,26.4365763492401
"T2771",0.061846754,0.053047109,0.05547216,0.480088225188665,0.0499321586294684,12.4943584774322
"T2769",0.078284111,0.068039618,0.070295934,0.47182654601712,0.070679179130588,13.414143167276
"T4804",0.10066655,0.08812364,0.09267174,0.459624925045752,0.101378692688996,14.775155104154
"T4806",0.102839713,0.104817861,0.097713023,0.346694442403633,0.394260280526737,27.7595737784285
"T4807",0.07871441,0.07578095,0.071269577,0.41264588353397,0.22074400297186,20.0670178509377
"T4808",0.06669691,0.063182538,0.074268812,0.484432494616976,0.039031857641669,12.0111117402573
"T4812",0.097184168,0.098628387,0.112838251,0.485499525667626,0.0363553058876536,11.8924512644177
"T4803",0.094223123,0.099432284,0.088527465,0.437582326890199,0.157101755873486,17.2455445456415
"T6896",0.069296789,0.060515838,0.062503228,0.467266440526544,0.0821431490581806,13.9223792305537
"T6891",0.065586137,0.075419053,0.078148638,0.493025155853248,0.0174842323254631,11.0558335658676
"T6893",0.088997326,0.096192168,0.101620419,0.456734282133536,0.10866454500772,15.0981612637548
"T6895",0.084820882,0.085073996,0.085485752,2.00857791942457e-08,5.49009589286696,253.674980664846
"T6897",0.103764469,0.097738768,0.105301558,0.364970655362356,0.345203602390784,25.5847274441508
"T6901",0.113498321,0.096839922,0.102362111,0.481980299784221,0.0451840599780916,12.2838594110642
"T8308",0.048413289,0.041829412,0.044722157,0.469863926963754,0.0756119186158151,13.6328279782953
"T2220",0.049790142,0.050880996,0.051725791,0.171344917868785,0.948863902711501,52.3470040838994
"T2216",0.052713559,0.043816565,0.04688454,0.497326009297459,0.00670275088968763,10.5778544961536
"T2148",0.072596414,0.071967177,0.078041945,0.393907480943234,0.269149081492258,22.2129765986694
"T2127",0.053870345,0.055641053,0.061461071,0.463426790451113,0.0918042328965701,14.3506873339446
"T2121",0.065122095,0.057593416,0.063472121,0.451506840508701,0.12185521936939,15.6829478997888
"T2138",0.050386862,0.045243224,0.054780708,0.49800096866245,0.00501084944174419,10.5028468559742
"T7301",0.065105217,0.06265052,0.05428838,0.496222604782021,0.0094686671425367,10.7004767986005
"T7306",0.062041945,0.060529098,0.056372728,0.410431900170219,0.226434110627583,20.3192793216879
"T7307",0.071400556,0.070985673,0.07280131,0.070952287131607,1.46873539091206,75.3946429247333
"T7308",0.055649176,0.053635976,0.052228057,0.317620241200556,0.474363828486645,31.3108315126036
"T7309",0.069217231,0.070050431,0.078107799,0.459788625262033,0.100966251641517,14.7568702154436
