"","cirA","crp","entA","entB","entC","entD","entE","entH","fepA","fiu","fur","pval","z","inv_cof_var"
"T5152",0.196271218,0.100581021,0.140078997,0.17251054,0.156323035,0.148314985,0.190184324,0.230195683,0.196895487,0.170614361,0.128466859,0.0641235793625422,1.52105052485434,6.27251969367461
"T5716",0.112770666,0.152819237,0.156283135,0.138017844,0.108576603,0.11220557,0.108311353,0.231781421,0.128661771,0.134936744,0.104838474,0.387823949168294,0.284995096901804,3.49510215387525
"T5718",0.089302288,0.278340584,0.141555211,0.126852485,0.094990243,0.089266994,0.138308141,0.144890288,0.102918211,0.120438795,0.095446986,0.157911008363173,1.00308051176408,5.10864065806372
"T5719",0.111987247,0.201522015,0.186324604,0.164328155,0.130952561,0.108818071,0.199302641,0.055500154,0.114506334,0.162606539,0.207290971,0.46778632043932,0.0808356693009188,3.03635575601075
"T5720",0.102285234,0.18972096,0.175224229,0.154253505,0.183622246,0.101024565,0.1090473,0.082934838,0.101270232,0.151872824,0.196495097,0.392109737589582,0.273824525368724,3.47000187066469
"T5721",0.113701781,0.122331495,0.177484836,0.147117978,0.12930304,0.113856144,0.162700688,0.207202688,0.112148762,0.139363762,0.130414522,0.241838266573495,0.700401606720929,4.4285209152245
"T5724",0.100788322,0.107312472,0.1382813,0.127158665,0.110534419,0.100816981,0.130937549,0.173064696,0.110087005,0.124480672,0.139240897,0.122745532663434,1.16137097990699,5.46431946716974
"T5730",0.073414977,0.261169986,0.139939185,0.124565463,0.094475051,0.089900598,0.136815317,0.147660263,0.102041821,0.122505702,0.128901109,0.23622507422282,0.718498214452192,4.46918400733755
"T5732",0.101395985,0.143519686,0.197185819,0.153035863,0.157693216,0.101378246,0.184194226,0.208354383,0.105207648,0.151612555,0.198213248,0.359028632941158,0.361056426356286,3.66601202227595
"T5738",0.073315472,0.268559649,0.136792378,0.115081373,0.090877006,0.18529255,0.136101918,0.081845781,0.076027371,0.11028028,0.14681483,0.465084035998166,0.0876333785277255,3.05163021410545
"T5742",0.071940044,0.299501807,0.131219372,0.12247245,0.098475703,0.071514264,0.131676033,0.133486815,0.104121487,0.120632767,0.082233505,0.23828779029494,0.711821074831114,4.45418046924381
"T5744",0.105758171,0.171889956,0.198204832,0.166146409,0.124672839,0.109913173,0.155812674,0.234852614,0.105743776,0.162173036,0.221947882,0.408378567386495,0.231717890696308,3.37538822872243
"T5746",0.091951409,0.193493321,0.169848389,0.140474761,0.09752494,0.098306121,0.161174398,0.151945112,0.087321268,0.128454657,0.176266156,0.321979173430926,0.462171489589463,3.89321765060844
"T5748",0.108731107,0.104279867,0.182073056,0.162611199,0.131430982,0.107386199,0.177414616,0.148120112,0.139039483,0.156356281,0.164074512,0.127617963785415,1.13772357146058,5.41118372138959
"T5750",0.090633525,0.094394669,0.144589241,0.123023002,0.101515665,0.092582475,0.139593171,0.123122108,0.090818976,0.118825302,0.159448145,0.12297050559997,1.16026480013066,5.46183388032348
"T5754",0.070122513,0.345676239,0.130190432,0.107966429,0.082206446,0.070014107,0.126671958,0.137844374,0.0825074,0.104183348,0.087302685,0.328719681497465,0.443451264115434,3.8511532889263
"T5756",0.117334417,0.175061306,0.182753997,0.159884914,0.124389759,0.116088161,0.16222324,0.116448434,0.265733086,0.156717333,0.188374195,0.431628648313762,0.172229258467223,3.24171722430362
"T2409",0.086379359,0.17601246,0.071119506,0.083069809,0.079603275,0.049342802,0.063279531,0.083234538,0.039292017,0.044397227,0.147706193,0.362821085062527,0.350928259425309,3.6432540230439
"T2410",0.07973304,0.106359006,0.057645962,0.077009559,0.073072546,0.087193256,0.048544976,0.076684984,0.057201214,0.040583452,0.104632747,0.27771902408978,0.58963102325518,4.17961932517105
"T2421",0.083148214,0.539674725,0.071259064,0.046505366,0.076574015,0.052956023,0.100645389,0.04366452,0.060320146,0.049859413,0.209734076,0.408432923437692,0.231577935148476,3.37507374849399
"T2818",0.075340935,0.457294392,0.060267913,0.071962088,0.06547877,0.042943837,0.063064044,0.084977294,0.069294043,0.042628914,0.240630045,0.224245039144061,0.757934695732726,4.55779781246275
"T2822",0.102914958,0.434025417,0.082362797,0.09859589,0.088994316,0.050007113,0.075132032,0.110330879,0.097726644,0.045545366,0.115839002,0.361911419630578,0.353354303759258,3.64870534661165
"T2819",0.137000924,0.050457923,0.111666345,0.130516663,0.122594211,0.05877477,0.119208943,0.143089564,0.131422635,0.06187916,0.095533652,0.367930639732754,0.337339110994909,3.6127191956017
"T2823",0.096742807,0.034101785,0.093534646,0.11119864,0.100176111,0.065759841,0.089605816,0.125011174,0.110634282,0.054382453,0.192109021,0.270716916227788,0.610646196441376,4.22684043620646
"T2827",0.097625944,0.061759477,0.0720218,0.091726857,0.084974013,0.035317751,0.074063456,0.101250224,0.092177594,0.04028626,0.228571151,0.442399272946414,0.144888956461258,3.18028354372785
"T2414",0.080537377,1.071433597,0.082686653,0.085179228,0.089069656,0.136413551,0.150704499,0.061110307,0.080734233,0.057927064,0.053991235,0.490400258954796,0.02406530499033,2.90879270178897
"T2405",0.094647251,0.081291453,0.074606128,0.090786685,0.08717921,0.048692119,0.072775516,0.096894358,0.080532879,0.043570016,0.185586726,0.307084743208475,0.504130768774126,3.98750018465132
"T2406",0.098935108,0.070586614,0.077913156,0.093101998,0.090932653,0.049867651,0.074638298,0.100061102,0.083187047,0.044702655,0.170788609,0.31521326154657,0.481126601093653,3.93580980138909
