"","fpr","marA","pqiA","pqiB","pqiC","soxS","waaB","waaG","waaJ","waaO","waaP","waaQ","waaS","waaU","waaY","waaZ","pval","z","inv_cof_var"
"T6203",0.072675472,0.05343338,0.049807522,0.057487476,0.090388007,0.051607265,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.053151078,0.118045882,0.073032129,0.299959688889734,0.524516455164642,2.74640653709922
"T6205",0.054406332,0.056469823,0.05418812,0.057986273,0.090388007,0.075363726,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.059464493,0.118045882,0.073032129,0.313483119952702,0.486001306103084,2.70916634350213
"T6207",0.053518131,0.053343971,0.055453775,0.104448273,0.090388007,0.067580782,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.063859321,0.118045882,0.073032129,0.216642538142714,0.783582587438295,2.9968968806495
"T6210",0.049698872,0.056522432,0.05144732,0.063956281,0.090388007,0.215982115,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.05146385,0.118045882,0.073032129,0.346513612309188,0.394750235564217,2.62093592986988
"T6212",0.043606315,0.044940348,0.042386304,0.085793723,0.090388007,0.045196187,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.047254256,0.118045882,0.073032129,0.371215655128806,0.328635370027043,2.55700964496015
"T6214",0.061079846,0.056422708,0.050134944,0.050380528,0.090388007,0.327386564,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.049886753,0.118045882,0.073032129,0.361368974093899,0.354801975662695,2.58231006527251
"T6216",0.057800603,0.055132083,0.049974479,0.055235706,0.090388007,0.052130441,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.05034759,0.118045882,0.073032129,0.354165023184179,0.374099828389473,2.60096910694997
"T6218",0.058787844,0.057977439,0.05618382,0.070900869,0.090388007,0.07711309,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.056755943,0.118045882,0.073032129,0.265833493968261,0.625463361326477,2.84401182800659
"T6220",0.050811408,0.051472236,0.057337435,0.137252222,0.090388007,0.063696548,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.066930903,0.118045882,0.073032129,0.227524512183351,0.747024082017173,2.9615485605034
"T6189",0.058515996,0.066169441,0.068663085,0.081537351,0.102167978,0.321772388,0.132581028,0.089236014,0.159633076,0.141054007,0.129875094,0.1580553,0.168972898,0.074347834,0.163789299,0.11464851,0.199954383148364,0.84178418423368,3.05317184738677
"T6202",0.054567688,0.053887229,0.063084604,0.072679712,0.093511453,0.070822963,0.12640303,0.080444761,0.171284477,0.137607483,0.123151835,0.167767869,0.194341503,0.063903684,0.180791516,0.106349691,0.416136705922873,0.211786742533678,2.44402902264834
"T6213",0.071210093,0.051887206,0.060259307,0.06204357,0.096239852,0.065525669,0.126094073,0.082668451,0.160851835,0.135033402,0.123385459,0.158011769,0.18104871,0.061545256,0.169028787,0.108665949,0.330637972319768,0.438152216253117,2.66290118776798
"T6173",0.194448237,0.055391247,0.065504449,0.076930288,0.103700791,0.055541552,0.133818273,0.08850812,0.157360431,0.141040522,0.131548127,0.155891314,0.165614982,0.068698742,0.161048162,0.117105631,0.178665833100048,0.920461455913347,3.12924468886425
"T6186",0.076111834,0.053732772,0.061800554,0.071500556,0.096360256,0.060836738,0.128319743,0.081495767,0.157307638,0.137025768,0.125675978,0.155497033,0.175577628,0.063219215,0.162999537,0.109832394,0.254880215481805,0.659210771459799,2.87664210771177
"T6198",0.054533446,0.05444623,0.063319738,0.070626728,0.094170089,0.073225352,0.125591519,0.081171571,0.172109128,0.13665708,0.122458129,0.168716109,0.192145805,0.064656505,0.181463909,0.10662349,0.41503609764632,0.214608975826199,2.44675783239594
"T6209",0.059376063,0.054564927,0.064741163,0.181126559,0.100776811,0.064669955,0.130275135,0.086015513,0.163008865,0.138733057,0.127666624,0.16042947,0.180104587,0.073394472,0.170210403,0.113130259,0.2447765067428,0.691019934858662,2.90739830188466
"T6179",0.244442076,0.054047091,0.061059277,0.072833398,0.099010664,0.055036521,0.132545897,0.083084225,0.162274537,0.140999908,0.129843144,0.160152855,0.187596834,0.065109695,0.167996654,0.113319856,0.399958419829742,0.253454729745909,2.48431768693741
"T6191",0.058316397,0.066491056,0.0688338,0.082584508,0.102782609,0.076179003,0.132375333,0.089103912,0.162607568,0.14127085,0.12961075,0.161066448,0.167933012,0.076066971,0.166214176,0.114765803,0.203594212408684,0.828851530953164,3.04066729986131
"T6204",0.054780259,0.05368609,0.064776339,0.076238624,0.095041578,0.071269932,0.127780856,0.082317862,0.166143557,0.137914029,0.124665392,0.163247175,0.189341772,0.066475075,0.174861432,0.107834256,0.358592427856349,0.362223719581112,2.58948612942088
"T6215",0.058310852,0.055823888,0.06531654,0.079012708,0.099276928,0.067912432,0.130566082,0.085194185,0.16426893,0.139811951,0.127714414,0.161736233,0.179996242,0.072470453,0.170854969,0.112140723,0.278197618333683,0.588204202907327,2.80798604836918
