"","htrE","ibpA","ibpB","ihfA","yadV","pval","z","inv_cof_var"
"T6993",0.081302379,0.083193041,0.064284799,0.208950304,0.100562128,0.47840572300184,0.0541552847095301,5.55173504192287
"T6996",0.063912224,0.060147838,0.055658163,0.227412927,0.053777083,0.196302484935613,0.854902782876036,12.8069205213947
"T4096",0.088433906,0.085096301,0.085584492,0.078011005,0.08456015,4.1429150227786e-07,4.92851187230605,49.7159206523341
"T4102",0.120704709,0.113358364,0.110626427,0.079963995,0.146409882,0.392944753166022,0.271652137606079,7.52236874677865
"T4834",0.089308268,0.08011839,0.079594525,0.073312129,0.097551577,0.286953539558022,0.562306692815798,10.1558489803459
"T4838",0.09130816,0.086491176,0.087346135,0.148222791,0.108182888,0.323027312805306,0.459250032240655,9.22210246339807
"T4847",0.078670191,0.07383092,0.069026609,0.105294897,0.064656976,0.227599116030914,0.746776915864398,11.8272443786726
"T4849",0.092089054,0.084212666,0.081723204,0.07652752,0.120405453,0.488252511738297,0.0294508430542152,5.32790005425635
"T4851",0.091733674,0.087995656,0.08697736,0.087046827,0.095093881,0.0164998964823866,2.1320858096939,24.3788577076036
"T4853",0.090430898,0.084994208,0.081447688,0.161019244,0.096895139,0.186729630129133,0.890012339683746,13.1250312208664
"T4855",0.096767567,0.088168103,0.083266747,0.133268152,0.120537989,0.464151735614889,0.0899795429591922,5.87632130520927
"T5037",0.05944837,0.051264002,0.051251762,0.219229492,0.068878601,0.420399232362601,0.200872252561047,6.88106646935259
"T5040",0.054065316,0.048261916,0.044645064,0.2204458,0.058165043,0.350672374957989,0.383505827927898,8.53582089206334
"T5041",0.087810828,0.111649984,0.078613606,0.200646477,0.088046676,0.437556297891521,0.15716781138379,6.48508168295775
"T6957",0.067123166,0.049682039,0.06503713,0.200680329,0.059307265,0.384377732902328,0.294003189965925,7.72488081319581
"T6960",0.067945616,0.064707478,0.064589015,0.205198165,0.066475945,3.20586019839011e-05,3.9971222085626,41.2770497478427
"T6964",0.070992485,0.081868152,0.066668015,0.170135863,0.074911805,0.241853176239819,0.700353845560681,11.4066274097139
"T6965",0.092448547,0.083382789,0.074806093,0.207495285,0.083017933,0.236192468897192,0.718604016727415,11.5719833766697
"T6969",0.070072648,0.067418798,0.057380285,0.223211888,0.067209898,0.230519573703287,0.737136824238354,11.7399001747304
"T4103",0.066651321,0.080521488,0.085548882,0.066495861,0.084777119,0.329665475781919,0.440837074101175,9.05527156247916
"T4105",0.069508976,0.087290066,0.072606719,0.124389482,0.068900036,0.346346540342376,0.395202997501596,8.64180328356171
"T4109",0.057174575,0.08610274,0.078371478,0.206545109,0.092189745,0.49668237319591,0.00831615300611804,5.1364088579664
"T4113",0.059881584,0.040755464,0.042208334,0.061141187,0.04727916,0.48217037618832,0.0447071276008573,5.46612986373678
"T5053",0.072196271,0.05073857,0.057742856,0.208030723,0.061092219,0.425747706470941,0.187210729116957,6.7572860182791
"T5054",0.059860061,0.054321009,0.045732887,0.223781649,0.063455912,0.405106914375697,0.240150186998228,7.23694482082391
"T5055",0.087533365,0.105299786,0.084284022,0.184664663,0.088408029,0.305372465053387,0.509010406053165,9.67295712402986
"T5056",0.097381988,0.089356081,0.089354497,0.190842381,0.104715134,0.193742560455119,0.864187093817517,12.8910411687695
"T4110",0.076899277,0.076023687,0.066823143,0.066316509,0.066807161,0.195396171325097,0.858181331776504,12.8366258660019
"T4835",0.090420375,0.073095202,0.083962866,0.170728544,0.087453846,0.253761245551418,0.66270034139129,11.0654672345944
"T4837",0.092715325,0.076242684,0.084919844,0.14576712,0.104280477,0.3931236257203,0.27118694738917,7.51815388339832
"T4839",0.084745646,0.082034606,0.080175603,0.084977746,0.081980022,1.02863171352796e-05,4.25858353351773,43.6460242530412
"T4843",0.089135703,0.083820318,0.084140223,0.177119608,0.103261781,0.297169419627787,0.532559073231468,9.88632019861222
"T4846",0.087574635,0.067402297,0.066187447,0.18507059,0.084596294,0.423202711709753,0.193706855739626,6.81614427716034
"T7008",0.080031186,0.078325305,0.089573839,0.10381769,0.067445814,0.344221806232467,0.400968097041779,8.69403805990183
"T7010",0.121090105,0.123388814,0.131990283,0.254624901,0.102267803,0.309864181064113,0.496235365483767,9.55720866518236
"T2769",0.068125103,0.084481566,0.095616067,0.092503098,0.071630219,0.443229073206698,0.142787326613888,6.35478707132393
"T5998",0.106688597,0.094593126,0.074692897,0.13393962,0.071757641,0.492589645036288,0.0185760735643249,5.22936903183504
"T6018",0.116086624,0.093234803,0.078096537,0.113751433,0.081024628,0.488088140503897,0.0298630418724444,5.3316347882237
"T6009",0.064622935,0.089925884,0.066316485,0.143229314,0.061256752,0.485785743802071,0.0356373984446364,5.38395343805
"T1778",0.098627828,0.109096939,0.083049218,0.259657257,0.071375244,0.48363822513571,0.0410243919404846,5.43276237854445
"T1813",0.084275072,0.098568694,0.103005263,0.223357907,0.070388389,0.457821755822034,0.105922916460003,6.02077649511837
"T4795",0.085293438,0.079655758,0.102384259,0.22810224,0.069779725,0.45146201178403,0.121968426469957,6.16615709449769
"T4797",0.10044248,0.100145359,0.117073345,0.357172138,0.072275062,0.491761015045413,0.0206535409066736,5.24819195782706
"T4799",0.068727223,0.067632991,0.079866582,0.378187086,0.067016945,0.233559742771945,0.727173813726319,11.649630159071
"T4796",0.09099303,0.092721911,0.097472017,0.436358609,0.098669728,0.0112189640575081,2.28287167987981,25.7450554895352
"T4798",0.095841452,0.104970757,0.103154849,0.476123771,0.09503321,0.0522540554796753,1.62338040468451,19.7697242714034
"T4800",0.089624736,0.089422361,0.095614945,0.53448764,0.101126243,0.0969807753235892,1.29894865452887,16.8302052242651
"T4802",0.081859924,0.081267095,0.085952109,0.326993012,0.089522881,0.0312568570512036,1.86263444948948,21.9374893605838
"T4804",0.087462832,0.086242414,0.093584767,0.323413704,0.096914808,0.0767110408053753,1.42754771636618,17.9953790752631
"T4806",0.107439798,0.115359585,0.115494145,0.092676134,0.094494041,0.257855693731635,0.649970329246212,10.9501267565037
"T4807",0.09049965,0.092373804,0.102192069,0.335099296,0.068225988,0.451871123985708,0.120935342960721,6.15679682488404
"T4809",0.092408218,0.111487652,0.096882489,0.35152368,0.068440234,0.495462451385321,0.0113741929011567,5.1641162772127
"T4801",0.093283399,0.09202254,0.100890699,0.430749929,0.088921344,0.0697342766876983,1.47777297814535,18.450445860732
"T4803",0.103463271,0.103795216,0.112910718,0.458543986,0.100432546,0.0554174911073795,1.5944513355835,19.5076119793802
"T4805",0.083099629,0.082568491,0.105881501,0.115331127,0.07383498,0.445478408810333,0.137093591833821,6.30319889653114
"T5743",0.121647049,0.125156349,0.123112477,0.204174483,0.130767897,0.00189072904140982,2.89583945090544,31.298859756064
"T5745",0.105689422,0.128149318,0.116560142,0.243013416,0.088096875,0.439664953915542,0.151818731447977,6.43661625887875
"T5747",0.107863122,0.107645089,0.111029796,0.136108157,0.106382921,2.08974028872573e-08,5.48309515681618,54.7407313475265
"T5757",0.084741134,0.087986334,0.091133166,0.238125346,0.105264288,0.285002011074492,0.568045574721903,10.2078462113942
"T5759",0.091229099,0.091315305,0.089200237,0.231270743,0.090476606,2.39512030037054e-22,9.6526482262778,92.5190334398982
"T6892",0.08351439,0.064338038,0.06720066,0.22599428,0.06489619,0.385909522737728,0.289996329719269,7.6885765920195
"T6894",0.124840716,0.131748195,0.115312874,0.072590792,0.109508602,0.216073499745938,0.785522984774608,12.1783037540532
"T6896",0.114161987,0.104409919,0.104417992,0.068459475,0.088258127,0.309110130637367,0.498374280472669,9.5765883385561
"T6898",0.126602976,0.127676242,0.127873468,0.06962118,0.128728958,5.68755308443597e-55,15.5714763678033,146.146670224541
"T6902",0.126602976,0.127676242,0.127873468,0.06962118,0.128728958,5.68755308443597e-55,15.5714763678033,146.146670224541
"T6891",0.066866705,0.060266881,0.075103675,0.224649757,0.060254336,0.319417067169754,0.469329496977317,9.31342761441724
"T6893",0.079957734,0.097467356,0.069262983,0.100891999,0.083771892,0.41138199443926,0.223991407918529,7.09053794523147
"T6897",0.085046314,0.109324358,0.084050877,0.08320202,0.084538404,0.4015596068724,0.249312305035447,7.31995833744063
"T6901",0.105547614,0.111422103,0.096310893,0.096637897,0.114475124,0.179416966930187,0.917589276962076,13.374892500943
"T8317",0.07906174,0.065626077,0.097188611,0.124261037,0.066310396,0.493333912635987,0.0167101806995716,5.21246307977199
"T2144",0.072222751,0.084848616,0.070013514,0.631648659,0.071012828,0.265561771809051,0.626291830810989,10.7355873437471
"T2148",0.077596714,0.112817464,0.084478285,0.572093945,0.078890013,0.487110947571361,0.0323136858901831,5.35383888743545
"T2118",0.072295171,0.090679691,0.080503543,0.583911196,0.073444754,0.316997451920231,0.476111557105525,9.37487657838621
"T2112",0.084062898,0.07616898,0.073063409,0.538666187,0.076840299,0.100196512556644,1.28043262764962,16.6624404673855
