"","nadA","nadB","nadR","pnuC","pval","z","inv_cof_var"
"T0119",0.104474245,0.066592776,0.080765114,0.085061065,0.469482980527075,0.0765695780817907,4.5070679260723
"T0094",0.289638295,0.358280759,0.118064131,0.327576565,0.198171093413506,0.848172002833644,9.45668151376173
"T4087",0.08676303,0.127956742,0.08922183,0.11237576,0.424204842549202,0.191147945396627,5.24205608256905
"T4089",0.141516455,0.122023778,0.142785459,0.15710436,0.26843027427909,0.61756738627018,7.97741744341681
"T4090",0.15748056,0.148443227,0.09562242,0.171940024,0.0709080042974536,1.46906187043593,13.4395162309171
"T4092",0.094267508,0.077824686,0.124866184,0.110927333,0.396465805097959,0.262505675670985,5.69979594965957
"T4097",0.091132535,0.080359996,0.135113113,0.069581748,0.295797773452534,0.536525312211849,7.45755522154439
"T5043",0.114451281,0.126090203,0.12441902,0.105583207,0.130767128778173,1.12277219415196,11.21816488205
"T6971",0.084697155,0.095050081,0.088306394,0.078455355,0.164852549391581,0.974708049842776,10.2683748386114
"T4096",0.089339391,0.115095661,0.080696665,0.144507963,0.48770603867017,0.0308212701624843,4.21360533545898
"T4834",0.122376749,0.148178231,0.092973632,0.126239716,0.196102598211676,0.855625073481277,9.50449087589456
"T4838",0.087116757,0.088812881,0.112131708,0.078362142,0.0418171356173684,1.72997763454109,15.1132178288256
"T4847",0.107743881,0.135247323,0.147836543,0.113690618,0.256316139719082,0.65474448400295,8.21589811971608
"T4851",0.095347363,0.13270637,0.153932504,0.084407957,0.49397932919127,0.0150921565932776,4.1127074744012
"T4855",0.096522156,0.089066039,0.089722313,0.113246017,0.264991026798494,0.628033410120335,8.0445540570355
"T4103",0.11918335,0.092480493,0.091310988,0.117162633,0.300413079228644,0.523212823685462,7.37215933373681
"T4107",0.0882425,0.10272138,0.109939661,0.087064333,0.151298513973998,1.03088014630251,10.6287031151529
"T4111",0.123630542,0.116056922,0.127297903,0.087438996,0.395701469568022,0.264489260510509,5.7125200912111
"T4115",0.080083572,0.082917485,0.158552274,0.072646223,0.0462575402498488,1.68227730150264,14.8072335434336
"T4117",0.081778246,0.087467728,0.112975576,0.069711652,0.228601348709715,0.743460880131392,8.78498896966953
"T4104",0.085688416,0.086836942,0.202980178,0.10230822,0.18072071790018,0.912621893239008,9.87010952155742
"T4833",0.121431517,0.118417741,0.09229361,0.122720321,1.3274775877339e-15,7.9061386251496,54.7315619115369
"T4837",0.097659054,0.090276948,0.052507326,0.102009001,0.0277915612987702,1.91428991284856,16.2955295062183
"T4841",0.063612114,0.055221523,0.092062674,0.04854843,0.29935114095107,0.526267613425941,7.39175495490385
"T4843",0.101842951,0.109154826,0.115955657,0.082176742,0.320667213740806,0.465833858489778,7.0040893320498
"T4854",0.108350208,0.144848135,0.120026948,0.108255436,0.395834456720477,0.264144060941092,5.71030573259267
"T4856",0.100802614,0.099140624,0.119963183,0.087621546,0.0727569970863648,1.45556107824766,13.3529124278237
"T7008",0.128439068,0.077226047,0.069327959,0.107490998,0.497616868443316,0.00597366046992573,4.05421487398467
"T2768",0.165067719,0.187939424,0.116367718,0.251579813,0.470196828049422,0.0747750969369477,4.49555683179311
"T2774",0.220404129,0.252328831,0.149434307,0.182360122,0.364762664872539,0.345757017972576,6.233830008951
"T2771",0.200007713,0.29180322,0.139947748,0.231262937,0.428948379263814,0.179052143598716,5.164464899581
"T2766",0.188912195,0.185784618,0.114691078,0.231743402,0.273874072881616,0.601137894247891,7.87202685061442
"T2773",0.214770703,0.240011808,0.153935863,0.197371298,0.169898862233814,0.954564998824114,10.1391628042512
"T0413",0.122225745,0.105522789,0.128870895,0.142829943,0.342955166464761,0.404411244370831,6.6100804543142
"T5994",0.117290194,0.156755471,0.120204767,0.123950165,0.362091859721464,0.352872911729959,6.27947647570675
"T5996",0.112174498,0.163389614,0.074585174,0.117156483,0.461534576820248,0.096568398339068,4.63535476046763
"T5998",0.101714097,0.155224441,0.138084182,0.10715089,0.493468426124963,0.01637295925048,4.12092346495784
"T6000",0.108154637,0.153105412,0.135021425,0.125208293,0.3978401888616,0.258941499710989,5.67693275846861
"T6002",0.131060341,0.134303156,0.078462021,0.128263418,4.09833698489615e-10,6.14107137669539,43.4091495449037
"T6004",0.106812879,0.147495439,0.124612997,0.114741251,0.39621496258574,0.263156541776746,5.70397107355434
"T6006",0.107847268,0.152177174,0.126355359,0.102858269,0.472684234740542,0.0685240581102402,4.4554581673497
"T6008",0.127524678,0.14768283,0.114798443,0.126905374,0.126814729721143,1.14157803255472,11.3387990717574
"T6010",0.133117748,0.145451206,0.108165413,0.135925393,0.00340697071796836,2.70580319663631,21.3728656816878
"T6012",0.113921463,0.155729969,0.126349361,0.120054898,0.393225855834645,0.270921105966962,5.75377857957759
"T6016",0.09903609,0.142055883,0.112100302,0.103272235,0.448798464544468,0.128697606888666,4.84145464053209
"T6018",0.114079358,0.147852999,0.124716034,0.132144356,0.279065689639933,0.58561929469762,7.77247937806646
"T6020",0.106527218,0.161791415,0.132115747,0.112264377,0.490109967006508,0.0247931761717772,4.17493679973753
"T6028",0.12015693,0.147420167,0.080036613,0.135040463,0.182313423594299,0.9065839598346,9.83137786875107
"T5999",0.12020578,0.165975609,0.141380759,0.123345238,0.418279980501412,0.206295669526838,5.33922449310324
"T1778",0.198519838,0.164100485,0.102617569,0.230546022,0.381505690067438,0.301528684491108,5.95011762892428
"T1785",0.140152769,0.153217554,0.135325089,0.168782067,0.146975235853707,1.04949474688373,10.7481105677615
"T1786",0.158909512,0.235566764,0.128285862,0.161620013,0.484723410395294,0.0383020945667365,4.26159273017241
"T1789",0.203094212,0.31336747,0.098849597,0.233753643,0.476531140224336,0.0588616794801747,4.3934767128822
"T1800",0.136647549,0.109839764,0.121647197,0.17611943,0.486990755326451,0.0326151219763585,4.22511239275615
"T1802",0.124176432,0.167813769,0.125315332,0.111228713,0.467842430726329,0.0806945621974854,4.53352854461508
"T1809",0.171326561,0.120534585,0.135004727,0.149320823,0.392039177915664,0.274008153448299,5.77358112512347
"T1811",0.156686019,0.099591875,0.154156464,0.123450991,0.475247495320007,0.0620851903425338,4.41415463282203
"T1813",0.164058797,0.196639963,0.126870435,0.196230135,0.178240570778917,0.922090941530686,9.93085081601622
"T1814",0.134241431,0.20159101,0.131095527,0.198401237,0.458361572991528,0.104562281000821,4.68663328030087
"T1816",0.177171458,0.130202106,0.124604483,0.213493901,0.491180998768393,0.0221077585813141,4.15771059752769
"T1817",0.156436105,0.141008227,0.123714142,0.217687173,0.486452362865668,0.033965419865062,4.23377417577155
"T1826",0.132999802,0.180468533,0.125390159,0.173917025,0.359988155264696,0.358490453884317,6.31551143630912
"T4795",0.112481484,0.080866919,0.075751746,0.085902642,0.409740229774248,0.228213252124939,5.47981965086438
"T4799",0.144420344,0.097516255,0.087542559,0.136159142,0.436974510900999,0.158644430213115,5.03355513021431
"T4802",0.132554437,0.097132974,0.092587963,0.105413872,0.376854670992128,0.313752080531548,6.02852729326525
"T4804",0.128646954,0.097715574,0.093771541,0.117445022,0.303357384309351,0.514768544500476,7.31799164627044
"T4806",0.119642433,0.092697377,0.092043137,0.091594375,0.356355133063368,0.368218568141545,6.37791456642585
"T4807",0.109779435,0.073805006,0.070753005,0.084119325,0.450303390543083,0.124894868272521,4.81706113667425
"T4808",0.10552666,0.070667435,0.064213688,0.078807662,0.45994030029118,0.100584123261907,4.66111451186927
"T4812",0.148425392,0.099153115,0.097135304,0.114993179,0.451068133878832,0.122963163574075,4.80466979170678
"T4801",0.139869689,0.092341,0.087131814,0.095474465,0.494206433642193,0.0145228277349916,4.10905538912718
"T4803",0.114236215,0.087593346,0.08865129,0.092489336,0.325498954244664,0.452376312565171,6.91776294163337
"T4805",0.131874924,0.086165418,0.076302476,0.101003109,0.466163724650437,0.0849169085008569,4.5606137143407
"T5743",0.17852899,0.138833208,0.133137357,0.151953599,0.281024623021434,0.579800372982772,7.73515262394852
"T5745",0.157736676,0.106450663,0.093941173,0.126446203,0.436745370921468,0.159226099375897,5.0372863750877
"T5747",0.169618347,0.114488118,0.108685795,0.133073079,0.441628663341047,0.146841247589724,4.95784101732839
"T5755",0.179912834,0.133574351,0.128022276,0.151797358,0.341029198861322,0.409655881958729,6.64372333649658
"T5757",0.201302894,0.132589915,0.123383039,0.15351111,0.462932186214848,0.093049328844129,4.61278091462497
"T5759",0.189678082,0.119677366,0.107910368,0.138286838,0.493809250863356,0.015518529678932,4.1154425384063
"T6894",0.108552525,0.159417569,0.117127346,0.111668357,0.473727468173906,0.0659031454183661,4.43864574600976
"T6896",0.101233169,0.107071343,0.107081677,0.142374396,0.423640112600908,0.192589810981479,5.25130524672597
"T6898",0.119428933,0.141521733,0.099177643,0.12662777,0.122740458494755,1.16139594571007,11.4659254377286
"T6902",0.119428933,0.141521733,0.099177643,0.12662777,0.122740458494755,1.16139594571007,11.4659254377286
"T6893",0.09591321,0.148730931,0.080394867,0.118535317,0.465679235879992,0.0861357916005808,4.56843250826704
"T6895",0.061265532,0.058606952,0.058493825,0.063732263,0.000980416144511171,3.09610149965619,23.8765200533036
"T0860",0.071700127,0.062583125,0.067302106,0.068611497,0.0497017334047288,1.64775251507488,14.5857667017893
"T0862",0.060306604,0.06753214,0.081539219,0.056727932,0.132092398461697,1.11655463643348,11.1782809895447
"T0865",0.089700872,0.076872303,0.077369064,0.062228645,0.405596945291544,0.238886117505939,5.54828309500968
"T0866",0.070319717,0.075242162,0.079703614,0.074211732,8.06868762427515e-05,3.77288025132759,28.2178663187842
"T0867",0.094007561,0.088371979,0.094107558,0.073105269,0.273737272593373,0.601548760420992,7.87466244211578
"T0868",0.104729782,0.068977517,0.091374044,0.083055457,0.454308904138972,0.114782136743466,4.75219079441092
"T0870",0.126318036,0.087233785,0.093591605,0.106730018,0.410753845293452,0.225606235586934,5.46309636946205
"T0873",0.121221073,0.100001102,0.099617125,0.080445816,0.443290582385967,0.142631567924388,4.93083710054046
"T0896",0.132321182,0.095953961,0.118741972,0.103880648,0.391077979154949,0.276510549178694,5.78963329332774
"T0900",0.060146305,0.063675573,0.097086925,0.082598744,0.396521030586012,0.262362395932523,5.69887685024052
"T1652",0.086441449,0.057459977,0.082627922,0.074075201,0.439263931317387,0.152835676275173,4.99629359953933
"T2144",0.05552038,0.035197198,0.071915087,0.05047252,0.473173506612321,0.0672948041213332,4.44757284707201
