"","arcA","fadE","fadI","fadJ","fadR","pval","z","inv_cof_var"
"T1096",0.098094081,0.096329357,0.095378307,0.099790213,0.104728927,0.22891502912138,0.742424701099426,41.8478547166754
"T0113",0.269541344,0.047928934,0.047767315,0.048742496,0.077979871,0.0255181433757925,1.95117453819837,92.1193807127212
"T0115",0.159012411,0.062990092,0.06349558,0.071544466,0.105763958,0.473328525678754,0.0669053531940497,13.7532172517709
"T0117",0.2906077,0.061816838,0.060990674,0.057054737,0.085432235,0.381050949111032,0.3027217798433,23.5607483543559
"T0118",0.237306831,0.063306294,0.062927075,0.062183691,0.082416205,0.00864131128219626,2.38063935869245,109.980687680648
"T0119",0.234798627,0.056285815,0.053820315,0.061123236,0.083556749,0.457941870925404,0.105620143619491,15.3633532233092
"T0121",0.271031009,0.054294099,0.054974609,0.050890982,0.059399387,0.373373196567486,0.322932459435243,24.4013041693975
"T6970",0.099242861,0.133471508,0.127478606,0.135014983,0.208527379,0.2968842248351,0.53338304812393,33.1538780398836
"T6989",0.126421135,0.134173125,0.120391444,0.13558842,0.27767123,0.456725039184199,0.108687850867421,15.49093820403
"T2259",0.218483035,0.055186121,0.056353554,0.056413364,0.209572365,0.0463172357863148,1.68166163439892,80.9104237112115
"T2765",0.323349153,0.048766038,0.048035501,0.043034755,0.04679548,0.461962919857344,0.0954897394971611,14.9420328983291
"T2767",0.150313019,0.045683621,0.045069784,0.047577833,0.064820615,0.279522492726585,0.584260615437297,35.2698600812529
"T2763",0.315254181,0.031326068,0.031338511,0.034149898,0.028639848,0.415582282784483,0.213208209063476,19.8379070663215
"T0412",0.036146326,0.038595448,0.036750903,0.037938335,0.099214526,0.239657671139686,0.707404176399841,40.3913620961214
"T0409",0.196019009,0.037209974,0.04123504,0.04360751,0.434019444,0.484570502320375,0.0386856623491279,12.5795691747497
"T0410",0.360221947,0.058738664,0.059288669,0.06494582,0.270081206,0.435249041756074,0.163025847549866,17.7508384157651
"T6007",0.275875706,0.154455245,0.148120398,0.139362695,0.30101321,0.419336404148905,0.203591407550359,19.4379473125103
"T6019",0.259388166,0.146045396,0.141707935,0.146494995,0.293236034,0.146224865039143,1.05276277423687,54.7547176857206
"T6021",0.254756237,0.153243103,0.140225826,0.154434878,0.278989406,0.424003899489524,0.191660946480239,18.9417631845597
"T6025",0.267675165,0.157643323,0.149003678,0.136389047,0.294165643,0.472727026037411,0.0684165445090263,13.8160672238199
"T1770",0.266310384,0.079099796,0.078691288,0.08592658,0.10286415,0.414180389126606,0.216804405849538,19.9874717609082
"T1771",0.283057646,0.07974871,0.076495008,0.084711808,0.104989044,0.419596020090749,0.202927064205459,19.4103174814994
"T1777",0.362410975,0.061842847,0.058271367,0.067004966,0.106414502,0.469004731791957,0.0777719448735966,14.2051553859823
"T1789",0.379819078,0.048163005,0.045224289,0.049936287,0.103885407,0.413368107782877,0.218889384935002,20.0741853860763
"T1790",0.362977771,0.064819738,0.063651665,0.073095059,0.066666666,0.480053179459639,0.0500201150167828,13.0509655004779
"T1795",0.282838533,0.068037231,0.067095065,0.073458732,0.113961839,0.41177462673706,0.222982336994308,20.2444099764214
"T1803",0.263620931,0.092296322,0.091734574,0.098877175,0.125066652,0.379368683233661,0.307139272243247,23.744470475514
"T1825",0.232902248,0.070573495,0.069460004,0.078608839,0.11957547,0.465228897814174,0.0872688726475941,14.6001296286419
"T1826",0.239729056,0.085397098,0.086355097,0.099231964,0.092848415,0.493084453437146,0.0173355727969152,11.6916256574063
"T1827",0.258692485,0.078441328,0.07702117,0.080101087,0.193021049,0.168279246193279,0.960987421554293,50.9378095988897
"T1828",0.209745456,0.079899517,0.079613617,0.088315668,0.142066295,0.445118615441598,0.138004032103963,16.7101889719761
"T1829",0.235655146,0.077075991,0.075486036,0.081989335,0.18804851,0.385633409346728,0.290718242152655,23.0615249927147
"T4796",0.105125661,0.100886433,0.102608277,0.116352357,0.116315605,0.484580921035096,0.0386595269678878,12.5784822124544
"T6898",0.129980529,0.147029557,0.140152319,0.12365834,0.2205101,0.495863045597858,0.0103699927314888,11.401929370723
"T6902",0.129980529,0.147029557,0.140152319,0.12365834,0.2205101,0.495863045597858,0.0103699927314888,11.401929370723
"T0866",0.182770682,0.065564307,0.065994029,0.06626876,0.081974308,1.32383362729205e-05,4.20182932395922,185.723406209058
"T8308",0.144039533,0.045642535,0.045434519,0.053054314,0.049822116,0.499058911912088,0.00235896019789148,11.0687530443174
"T2218",0.261298965,0.039111448,0.044564242,0.042441568,0.051958989,0.458595901902215,0.103971703968348,15.2947951360757
"T2220",0.401471912,0.0585992,0.060042464,0.052809828,0.049489045,0.462073040098188,0.0952124513190861,14.9305005701131
"T2143",0.381841001,0.064799808,0.066102462,0.073421887,0.06415081,0.464715199157264,0.0885615101242645,14.6538900152144
"T2144",0.401169283,0.070461128,0.070215235,0.06982317,0.100616847,3.18509493944959e-07,4.97964230473608,218.07240372953
"T2146",0.365803615,0.065734375,0.065334276,0.061284248,0.066919947,0.358517980438896,0.362422991578363,26.0437029952747
"T2148",0.3742477,0.079576978,0.080037524,0.083361271,0.077365514,0.248453741320402,0.679363639300676,39.2251649671051
"T2149",0.40311092,0.054143415,0.053616261,0.051666076,0.121121038,0.237199312733263,0.715340570027051,40.7214342138581
"T2151",0.367979481,0.064416021,0.064512885,0.067760268,0.075916573,0.286238038893652,0.564408614113817,34.4442215827179
"T2154",0.399742233,0.056054036,0.055957452,0.056048537,0.098801612,1.41028219120991e-133,24.5673775372532,1032.72015856066
"T2127",0.39637551,0.064295966,0.065470916,0.073031896,0.087445357,0.46849598645345,0.0790511067504344,14.2583553265911
"T2118",0.374253358,0.074211846,0.074658043,0.078679182,0.088095833,0.316531847613016,0.477419129197563,30.8263562328075
"T2119",0.398380159,0.050823796,0.050335525,0.058229831,0.089798024,0.490025464715659,0.0250050576731735,12.0105971240403
"T2120",0.381248218,0.056523095,0.056352502,0.059323819,0.07701943,0.28657076652784,0.56343085285047,34.4035567989391
"T2121",0.386285581,0.062047547,0.061788361,0.061219361,0.071927753,0.000603432315774425,3.23725276573223,145.606970174233
"T2138",0.395599333,0.056874771,0.057962632,0.064312157,0.06778435,0.462687195276059,0.0936661120575158,14.866188806007
"T2142",0.412706507,0.063213652,0.064029618,0.070723487,0.101788701,0.451733409070028,0.121283083970853,16.0147699920079
"T2112",0.354473502,0.07476682,0.073538741,0.072142174,0.073623725,0.139705478650053,1.08164352315367,55.9558589602798
