"","cusA","cusB","cusC","cusF","cusR","hprR","phoB","yedX","pval","z","inv_cof_var"
"T7346",0.087698041,0.070704199,0.08913093,0.089860469,0.099025389,0.124775352,0.108213539,0.086594823,0.145859109513963,1.05435980172674,9.47302674739417
"T7348",0.087099858,0.043766187,0.088045599,0.080309027,0.080025724,0.108912211,0.078097064,0.085391171,0.468269191206263,0.0796213900661721,4.59866802126904
"T7354",0.080469407,0.057534116,0.080984693,0.067447389,0.070193978,0.1196934,0.087347488,0.089790465,0.327189014770063,0.447688490075766,6.43925525910541
"T7356",0.086669817,0.077533421,0.096651117,0.071616644,0.055429183,0.131697206,0.079022655,0.082598936,0.392643928705413,0.272434618310997,5.56286603620764
"T7358",0.088706887,0.077913544,0.095065447,0.087840521,0.090431001,0.123941977,0.08853011,0.08980377,0.0115075786941343,2.27318294893495,15.567976091882
"T7362",0.085549696,0.047466309,0.090063164,0.092876706,0.07227144,0.12159485,0.083193716,0.085774632,0.464216069239746,0.0898176295236546,4.64965619222721
"T7364",0.081082276,0.073528546,0.079016017,0.089390203,0.074925913,0.122879026,0.079731237,0.082202685,0.0247321878482194,1.96456699007666,14.0246852211347
"T7366",0.085855087,0.056300333,0.087535474,0.081401104,0.08163667,0.109045065,0.083312766,0.085419109,0.301407334881232,0.520357150356874,6.8026482619046
"T7368",0.088207203,0.066849273,0.089877843,0.067915807,0.05861855,0.115321764,0.084702371,0.087967225,0.389611461517122,0.280331842427474,5.60235755805988
"T7372",0.086219824,0.091037232,0.091759655,0.088184422,0.065295902,0.128223964,0.092464663,0.085882747,0.188056871624418,0.885079522001468,8.62650957030449
"T7382",0.085675344,0.079081352,0.086015633,0.079131395,0.072326139,0.123670327,0.105228527,0.085324001,0.0157939706722718,2.14958644776424,14.9499090527738
"T7404",0.089475451,0.077179913,0.138274011,0.101489374,0.094428649,0.127120413,0.146303238,0.086335173,0.470243621409156,0.0746574755239356,4.5738450535115
"T7408",0.077025646,0.051492428,0.077276291,0.082138289,0.078363839,0.095698026,0.086306956,0.086946522,0.351541499007168,0.381162062163548,6.10657761910206
"T7388",0.092128933,0.076930826,0.100402046,0.076146535,0.084547414,0.116103303,0.105926069,0.090284434,0.157228870717265,1.00591233639139,9.23075628529786
"T7394",0.092707715,0.075799805,0.096752969,0.078113687,0.074834585,0.111374401,0.108818935,0.089784353,0.175015415028946,0.934529492482367,8.87379324378728
"T7396",0.08160946,0.087501796,0.08924382,0.065178607,0.081386167,0.131750838,0.083812279,0.081476269,0.142956267892992,1.06713133060468,9.53689312681191
"T7398",0.084597454,0.063824265,0.0833812,0.11349488,0.091418566,0.118185329,0.087358766,0.084566258,0.403435729331941,0.244464027659457,5.422993952594
"T7400",0.085709113,0.072291492,0.083377371,0.109300818,0.072568211,0.116797686,0.081951637,0.087128999,0.337983227478018,0.417973551327625,6.29066024196997
"T7414",0.083315907,0.060618243,0.088946561,0.068027415,0.062906527,0.101624545,0.086687129,0.090218423,0.385322543069006,0.291531199141938,5.65836200138036
"T7416",0.079245555,0.047603817,0.080218298,0.085486057,0.086876892,0.101431894,0.079302809,0.086068662,0.423736673615523,0.192343243601708,5.16235438453639
"T7426",0.081776835,0.051231737,0.080961004,0.081561705,0.082128629,0.125569642,0.083501028,0.08568106,0.35850882609518,0.36244749583091,6.0129919876979
"T7428",0.081233794,0.051013343,0.080786858,0.090001328,0.103335243,0.125616086,0.082525554,0.080314772,0.459000229172545,0.102952766752145,4.71534086208594
"T7430",0.085799127,0.072161726,0.101735768,0.088591176,0.103485768,0.128250727,0.098847755,0.084228052,0.247353759232078,0.682840684237535,7.61517706116838
"T7432",0.087342845,0.075527795,0.107242143,0.121521725,0.113909472,0.12672518,0.107753724,0.082208091,0.419103218669368,0.204188193352836,5.22158723459056
"T7434",0.083853184,0.06794258,0.082492133,0.075824013,0.063631253,0.110586137,0.086469717,0.08852134,0.227918320887898,0.745719889450935,7.92961609317657
"T7223",0.078553648,0.056945151,0.078727616,0.082077704,0.086321935,0.118645923,0.08061896,0.082574311,0.261478039272626,0.63879534253796,7.39492022806304
"T7224",0.08164319,0.049505882,0.081611838,0.084093598,0.072713559,0.117890936,0.081563282,0.08301535,0.385395632121685,0.291340044165736,5.65740609575979
"T7225",0.087436254,0.068714805,0.087876501,0.082781398,0.081553751,0.122559762,0.087081494,0.089751673,0.093344754307131,1.32043594652939,10.8035894529544
"T7226",0.084590779,0.074225548,0.086470542,0.064305025,0.056434897,0.123707146,0.08485343,0.089548434,0.382740665157641,0.298290662532036,5.69216394143453
"T7227",0.079296782,0.081828456,0.079239267,0.094964734,0.090640663,0.123751697,0.078715308,0.081793379,0.0415653582357856,1.73280284811854,12.8657059973326
"T7228",0.085600395,0.083542413,0.086902067,0.075701009,0.06633657,0.121257091,0.086464502,0.084320018,0.117516280808792,1.18749466015528,10.1387920965067
"T7229",0.077585857,0.072800156,0.076549943,0.08344924,0.08249837,0.116968495,0.076455839,0.082867843,0.0022692276536242,2.83808880960174,18.392891759963
"T7230",0.084888308,0.078714215,0.090012231,0.06691076,0.07487269,0.12175354,0.084874183,0.087712023,0.157715718417911,1.00389041552254,9.2206452980702
"T7232",0.082381243,0.054825083,0.082133536,0.087851217,0.09423541,0.117529118,0.082533722,0.085648232,0.363492712220938,0.349138379751025,5.94643730459017
"T7233",0.079965572,0.073264497,0.086302215,0.106412622,0.104939398,0.125520608,0.080104455,0.08104027,0.329298721852814,0.441850429065076,6.41006096113717
"T7234",0.085719739,0.097569737,0.09701318,0.080606183,0.064802967,0.12852229,0.086486964,0.084874144,0.28489839245259,0.568350809178135,7.04264938105158
"T7436",0.086563442,0.054077902,0.085189096,0.060494962,0.068635593,0.115560854,0.08932563,0.08777623,0.434966986094723,0.1637423560915,5.0193303855408
"T7438",0.086887685,0.056262482,0.079162563,0.056280782,0.062309551,0.108004807,0.078635769,0.084673009,0.438267544012387,0.155363080721842,4.97742827772593
"T7440",0.08605875,0.058357317,0.084797848,0.078381431,0.086356511,0.103900929,0.08621377,0.084723932,0.266075969661857,0.624724425404871,7.32455601865899
"T7235",0.083698142,0.071778061,0.085356774,0.105570774,0.072339681,0.128317816,0.083578098,0.082922907,0.300616242116985,0.522628958718195,6.81400885750401
"T7236",0.088586194,0.08047805,0.093569422,0.084313427,0.074812742,0.122914083,0.088613995,0.08557617,0.0385125818207203,1.76821382616923,13.0427851067605
"T7237",0.087154228,0.060473539,0.098979822,0.09176199,0.112024706,0.132159857,0.077113174,0.078950782,0.435880898496587,0.16142103930867,5.00772221397279
"T7238",0.085073479,0.070885996,0.090499859,0.074644642,0.085693377,0.116103117,0.086426626,0.086793267,0.0968229579513034,1.29986887066033,10.7007400068528
"T7442",0.0820192,0.06742169,0.0798058,0.083983595,0.082467348,0.104482,0.081857451,0.082490565,0.040422483409179,1.74580428109497,12.9307220544847
"T7444",0.086130372,0.076715053,0.080274383,0.078806521,0.094199906,0.101007642,0.080039307,0.086035881,0.038619030253962,1.76694129368241,13.0364215739837
