"","cdaR","garD","gudD","gudP","gudX","pval","z","inv_cof_var"
"T0842",0.040452652,0.042288207,0.039555985,0.039442271,0.039389288,0.152815949866014,1.02443067438312,32.6614474679247
"T0835",0.073760377,0.080959861,0.074325098,0.070265424,0.073355989,0.333443284958367,0.430424921586932,19.0017621129122
"T0837",0.06556441,0.072908016,0.062070258,0.055361979,0.06005102,0.49098195354561,0.0226068156806806,9.62362565121383
"T0750",0.046488229,0.048337887,0.044095201,0.042599809,0.043370702,0.334618493624394,0.427195433324673,18.9274971864995
"T0751",0.046799144,0.047935914,0.045068338,0.045415495,0.04516523,0.114031908672893,1.20536139641331,36.8221087449471
"T0758",0.041548289,0.04421688,0.038087997,0.035330107,0.03696725,0.468984182726494,0.0778236098567746,10.8933844560864
"T0759",0.039370227,0.04249914,0.035266587,0.03287887,0.03397792,0.499296806373505,0.00176264593944577,9.14429561305941
"T0766",0.041974946,0.044575406,0.037959325,0.036227909,0.037629378,0.45996392792278,0.100524597393531,11.4154136545251
"T0767",0.039938471,0.042284473,0.037147308,0.035873882,0.036657032,0.4090414814024,0.23001133368689,14.3930751789946
"T0832",0.049196267,0.049666493,0.050069242,0.052708211,0.050689954,0.113477056470571,1.20824220255183,36.8883554188821
"T0838",0.038417305,0.040303141,0.036966477,0.037653702,0.036960436,0.213377110737037,0.794758111954772,27.3799246498669
"T0843",0.042551386,0.045118463,0.038916258,0.035980151,0.037808168,0.470161589410372,0.0748636746858157,10.8253181403711
"T0752",0.047753668,0.048983335,0.046539307,0.046779364,0.046491639,0.0624243534608276,1.53473592758061,44.3963661296963
"T0768",0.037538134,0.039872799,0.035015602,0.033651466,0.034249588,0.41722948124946,0.208986262852551,13.9095851609064
"T0753",0.055726722,0.057699937,0.051723243,0.048988482,0.050785993,0.404292382933515,0.242252178991389,14.6745641958126
"T0761",0.037923717,0.040374909,0.034300965,0.031734047,0.033285878,0.48390491881239,0.0403553363806453,10.0317685136982
"T0769",0.036940882,0.038559913,0.035264997,0.0353693,0.035092283,0.254358716727603,0.660836093000573,24.300269894991
"T0754",0.056410845,0.057879156,0.054047131,0.052105034,0.053237547,0.270398367222692,0.611608618646299,23.1682407734952
"T0762",0.045621988,0.04815416,0.041571589,0.039098209,0.040794815,0.457624115193821,0.106421128198884,11.5510095727601
"T0770",0.040376412,0.04197149,0.038426386,0.037362805,0.037955633,0.309512592057384,0.49723238838073,20.5380586411411
"T0755",0.043386185,0.045515595,0.041162776,0.039987474,0.04057705,0.343092631591177,0.404037337246619,18.3949563746331
"T0763",0.04024647,0.042231367,0.037113669,0.035150735,0.036378844,0.431594228774066,0.17231682526905,13.066339153308
"T0771",0.03885749,0.040618987,0.03668859,0.036042869,0.036435171,0.32813552278768,0.445067401914715,19.3384788419219
"T0756",0.048274923,0.049881128,0.046382882,0.04568044,0.045835404,0.231161694574385,0.735026444326864,26.0063423542635
"T0764",0.039174717,0.041293279,0.03596751,0.034406112,0.035348131,0.434671336942158,0.164493486556249,12.8864345905331
"T0772",0.036050426,0.037421983,0.034638723,0.034727933,0.034549516,0.200525570027379,0.839745422822133,28.4144474781788
"T0765",0.037249895,0.039230234,0.034543075,0.033271659,0.033958687,0.411863873379186,0.222753003481647,14.2261634843861
"T0773",0.037963657,0.038660033,0.037127677,0.037820454,0.03717514,0.0138152599549442,2.20249276108622,59.7520225293335
"T0809",0.047206556,0.049203611,0.044828605,0.043819014,0.044149718,0.31877373407445,0.471130608764996,19.9378252341775
"T0810",0.048993763,0.050697951,0.047234796,0.046635393,0.046933407,0.205603789918388,0.821770405888709,28.001096135358
"T0811",0.037255162,0.038660648,0.036317979,0.036984167,0.036355545,0.0973971783549079,1.29652591791008,38.918517194401
"T0822",0.052786001,0.05448395,0.051772484,0.052266816,0.051791383,0.0500506031227613,1.64436317848791,46.9173412998518
"T0823",0.043565239,0.046220778,0.041705994,0.044277719,0.04207545,0.259245422342799,0.645673471189392,23.9515920545445
"T0801",0.044601692,0.047324031,0.044003711,0.044462757,0.044094862,0.15390466711542,1.01982949060104,32.5556391951464
"T0812",0.043435825,0.043966678,0.043427317,0.046144243,0.04335434,0.111647049130109,1.2178154855653,37.1085014918164
"T0824",0.051660628,0.056389343,0.053798925,0.051884798,0.0517689,0.23066878663133,0.736646131867207,26.0435884955178
"T0806",0.034832483,0.036612798,0.033578562,0.035042982,0.033654946,0.204909092193352,0.82421362893384,28.0572802007337
"T0817",0.042906671,0.049617266,0.039962572,0.039864871,0.040750314,0.477543373948915,0.0563201738931828,10.3988940106124
"T0829",0.055034121,0.056791257,0.055013986,0.055723406,0.054989818,0.00345617349641985,2.70103785775622,71.2165060359992
"T0802",0.047649183,0.048889319,0.045496511,0.044945469,0.045239639,0.220972189302435,0.768913978414015,26.7856160412754
"T0813",0.049601979,0.053462377,0.047323099,0.046726633,0.047038381,0.361168128412752,0.355338178641515,17.2750763390137
"T0825",0.046679717,0.048942412,0.044715619,0.044695049,0.044725792,0.251739204387769,0.669026758595008,24.4886214628697
"T0818",0.044171855,0.044979035,0.042238312,0.040906129,0.042289611,0.228470565081341,0.743893132907737,26.2102396660075
"T0831",0.072208258,0.075789546,0.073117568,0.062869051,0.065437749,0.436589295191614,0.159622326628423,12.7744179785477
"T0820",0.051952561,0.060546291,0.051118583,0.051556583,0.051464217,0.429660645630684,0.177238200124561,13.1795105017737
"T0803",0.034918305,0.035851531,0.035920418,0.038439128,0.036208823,0.20874697331868,0.8107766489837,27.7482850144471
"T0826",0.057543577,0.062101696,0.052733256,0.052358657,0.053877778,0.423372045169225,0.193274379341503,13.5482765640027
"T0804",0.040379322,0.040455288,0.041723018,0.043473386,0.041718619,0.148983560813343,1.04080271094964,33.0379368656564
"T0827",0.057250911,0.063934871,0.059271867,0.053367782,0.057735336,0.394535849885057,0.267516255830517,15.255533889764
"T0805",0.052730353,0.05314839,0.053215307,0.054615686,0.053277786,0.00214028222321943,2.85671021699275,74.7963290185775
"T0816",0.056227888,0.059598256,0.053975505,0.053257945,0.055308462,0.280582508669482,0.581111932024361,22.4669426098577
"T0828",0.051352103,0.056831538,0.047572893,0.045321019,0.046683294,0.472860191077626,0.0680819709438273,10.6693668909928
"T0798",0.048188981,0.049189885,0.047235365,0.047816163,0.047366649,0.011849817379416,2.26196388424046,61.1196133753346
"T0799",0.043306683,0.044268855,0.042485758,0.042745497,0.042453164,0.019554946084036,2.06302879801785,56.5449258894283
"T5137",0.071071353,0.087728492,0.088728644,0.075599716,0.086200441,0.480428444349037,0.049078309984895,10.2323609730023
"T0033",0.039641348,0.03938522,0.040081504,0.042603719,0.039618961,0.178806314015229,0.919923709351706,30.2582177803055
"T0034",0.051438306,0.051184658,0.049546789,0.049858785,0.049709987,0.0196624630256508,2.06077064726343,56.4929977243485
"T0039",0.031826825,0.035263869,0.031648574,0.032527284,0.032230368,0.284761067676898,0.568755415117533,22.1827936226861
"T0040",0.039535462,0.04051429,0.039065496,0.041896222,0.038594577,0.177086901737486,0.926523859594094,30.4099940470882
"T0041",0.027220233,0.030140326,0.025467306,0.026063966,0.026252228,0.405381861655767,0.239440893874283,14.6099162189839
"T0043",0.032548923,0.034891614,0.029649465,0.030412286,0.030021332,0.410503522827016,0.226249921085349,14.3065781839982
"T0045",0.035140985,0.04216031,0.034718848,0.034565155,0.036680921,0.458707758079269,0.103689806656568,11.4882004287479
"T0036",0.031183746,0.03104761,0.033690815,0.037336725,0.03266274,0.433892262982817,0.166473258719708,12.9319611947792
"T0037",0.021554423,0.021330702,0.02185502,0.025707625,0.021093352,0.456558281487,0.109108336277294,11.6128042888242
"T0038",0.03192864,0.032009847,0.03433542,0.036466264,0.033581699,0.350117785696747,0.385002489086511,17.9572332794888
"T0044",0.03321205,0.039895322,0.032463782,0.029794761,0.034170464,0.499881928490986,0.000295961387244089,9.11056791024875
"T0015",0.033489684,0.033476932,0.035745059,0.040757467,0.03461028,0.453663245966796,0.11641141134973,11.7807449310553
"T0016",0.045428084,0.045364681,0.044261117,0.045902259,0.044300765,0.0114507928481358,2.27507242221671,61.4210557492122
"T0019",0.031823144,0.029248608,0.02743539,0.030834384,0.027177187,0.409958415355372,0.227651948954088,14.3388190494373
"T0020",0.043771687,0.043648687,0.045148132,0.049852685,0.044048688,0.360553356800574,0.356980086432074,17.3128334544884
"T0021",0.054805516,0.054537741,0.049569322,0.049231011,0.050384283,0.335684717183808,0.424269288290942,18.8602079047446
"T0023",0.031132508,0.032127799,0.028819797,0.02967954,0.029263997,0.289565825327556,0.554653554137304,21.8585089116319
"T0017",0.04205715,0.041632084,0.040065761,0.042563965,0.040005071,0.127583699418154,1.13788765001371,35.2704905304705
"T0018",0.039346188,0.039190066,0.04238089,0.048569881,0.041349836,0.466734393796635,0.0834813733600123,11.0234897099556
"T1866",0.098241964,0.10011311,0.088394163,0.111051605,0.104294708,0.448919293345993,0.128392221327021,12.0562542065423
"T1870",0.099406121,0.098599188,0.088394163,0.10811273,0.102111776,0.417832642709098,0.207441230650288,13.8740557848912
"T0024",0.03707372,0.03719235,0.041672585,0.047115397,0.040085949,0.486875585925701,0.0329039638028181,9.86041763974296
"T0025",0.04217289,0.041740664,0.041680131,0.044189916,0.04090038,0.138605375917359,1.08660649856231,34.0912352956997
"T0028",0.029909792,0.029304584,0.026853682,0.02945993,0.027325642,0.307048382629559,0.504234263818321,20.6990729325385
"T0029",0.039677055,0.037075488,0.033862035,0.036681887,0.034091983,0.396482794503464,0.262461596943014,15.1392975576153
"T0030",0.026756483,0.031947362,0.026404785,0.027971344,0.027136091,0.442761062412138,0.143972576441974,12.4145381921565
"T0031",0.034259406,0.03822227,0.031479722,0.029757691,0.032937349,0.477635574684996,0.0560886955964006,10.3935709633428
"T0032",0.046918964,0.048075102,0.048366034,0.051420741,0.047006089,0.225185053629535,0.754798144710498,26.461010015145
"T0026",0.033620004,0.03354498,0.037078954,0.041723872,0.035567386,0.470864306653472,0.0730973966294887,10.7847010211171
"T0027",0.027731094,0.027356646,0.023872293,0.02569149,0.024373218,0.39964033663912,0.25427815732218,14.9511121573627
