"","cra","eno","envC","fbaB","fruA","fruB","fruK","glk","gpmM","pfkA","ppc","pykF","pyrG","tpiA","yibQ","pval","z","inv_cof_var"
"T6174",0.115207245,0.492759931,0.051797688,0.45435713,0.337117882,0.049074727,0.054872242,0.185383269,0.460380244,0.235237415,0.455159884,0.46633987,0.455012303,0.465734139,0.066620224,0.37038504371365,0.330833721927503,1.62805552630358
"T7302",0.074546911,0.6398886,0.089094601,0.573816645,0.255170663,0.109499464,0.194512601,0.344436812,0.333812688,0.088216416,0.421645646,0.64616234,0.652536605,0.69028491,0.063245547,0.459510033776637,0.101668170380517,1.52599955581207
"T7304",0.07051781,0.628011165,0.084987132,0.572877542,0.273330391,0.101372664,0.203348355,0.367041963,0.325244375,0.084094191,0.367779559,0.630640572,0.625500674,0.66621607,0.060013963,0.447028197250237,0.13317321370179,1.54002992708657
"T7378",0.069654493,0.615546023,0.083683602,0.558756959,0.244822881,0.111344445,0.176010938,0.302843146,0.339644956,0.069519443,0.39523675,0.63994894,0.636924548,0.659347235,0.069852177,0.480977390788177,0.0477006932795469,1.50196582468042
"T7380",0.061621731,0.619426945,0.080159577,0.573398668,0.255177432,0.116142107,0.179043411,0.31757604,0.33688322,0.064066472,0.406826465,0.646547381,0.656126925,0.677359517,0.061556442,0.493369481686414,0.0166210099296616,1.48812488207177
"T7408",0.084256162,0.65576006,0.086665711,0.570016202,0.240088963,0.10998331,0.156896406,0.374790356,0.369392156,0.073610757,0.381002729,0.629788484,0.680102943,0.695913674,0.087591404,0.481776856947381,0.0456945422828616,1.50107241079017
"T7392",0.079788168,0.616852361,0.091410137,0.562893657,0.250403148,0.107280193,0.178404787,0.236464828,0.311731877,0.086281938,0.393490381,0.622630274,0.628547942,0.641166129,0.072639469,0.483866887872932,0.0404507436487492,1.49873715160722
"T7223",0.084345124,0.594097856,0.081519509,0.549340857,0.249841288,0.09836437,0.176387828,0.31375451,0.34139993,0.08654321,0.379532917,0.587636673,0.603554284,0.631118342,0.083641103,0.423067231947451,0.19405289613387,1.56714192115321
"T7227",0.082144972,0.609564556,0.081711696,0.547483829,0.257495956,0.106094319,0.194498475,0.276812996,0.336543523,0.089978999,0.397211751,0.612166699,0.607060732,0.735811867,0.078360288,0.470055142078536,0.0751312500259183,1.51418167506009
"T7231",0.076981201,0.610734231,0.076950243,0.555741811,0.261447321,0.101384005,0.195093206,0.218376278,0.347893039,0.115904405,0.375852894,0.608218002,0.618215922,0.700687456,0.068089175,0.480333389979119,0.0493168644810622,1.50268556601736
"T7436",0.084680834,0.585572479,0.087164039,0.518683886,0.232280087,0.11031873,0.178569257,0.391312376,0.358321624,0.121707753,0.395563998,0.574797188,0.592432453,0.6261953,0.083132044,0.342149912832956,0.406602683947392,1.66179827210404
"T7438",0.089632775,0.625636119,0.08377303,0.542036151,0.23274852,0.105848086,0.173160078,0.351358481,0.340768128,0.264888251,0.424398909,0.622287619,0.643558189,0.727380257,0.089443434,0.350390069013974,0.38426757490103,1.65185161470125
"T7440",0.086192087,0.616378229,0.081862327,0.542071721,0.232356127,0.106731608,0.163728094,0.336805973,0.338741667,0.626182579,0.404345206,0.589609261,0.652474166,0.7770737,0.088177246,0.337057319803959,0.420507653348075,1.66799067378598
"T7237",0.076343996,0.592669673,0.080273842,0.549976589,0.249920802,0.09867159,0.194976589,0.221068516,0.338365149,0.085493165,0.405951976,0.595016414,0.602281944,0.638083304,0.067530872,0.468253799244238,0.079660094543396,1.51619853849928
"T7239",0.081658799,0.569573884,0.08758964,0.537044841,0.257956106,0.111335709,0.1944737,0.231508603,0.350235695,0.063665146,0.41583234,0.54453589,0.571352139,0.555801866,0.066130078,0.401290441792482,0.250008359954783,1.59206097694496
"T7442",0.08436236,0.617030681,0.081419383,0.549092916,0.228980752,0.105023699,0.160122985,0.363157154,0.337089724,0.464468177,0.420121142,0.553048706,0.663521703,0.708060017,0.080215169,0.297762658062646,0.530846266125633,1.71712857489583
"T7444",0.084669365,0.635920231,0.085240713,0.557271003,0.236125536,0.107913591,0.164673574,0.371166964,0.363931847,0.489390862,0.407347827,0.655121821,0.638934422,0.800802595,0.081811479,0.332282785058245,0.43361840115952,1.67382937896105
