"","cheA","cheW","cpxR","motA","motB","mscM","psd","tsr","ung","pval","z","inv_cof_var"
"T2000",0.163398713,0.15148491,0.189247054,0.12648379,0.115793109,0.064861497,0.203403386,0.102509097,0.073924332,0.109428196120111,1.22957474461812,2.69272478389909
"T2326",0.219672374,0.160403933,0.242018976,0.256954609,0.31400755,0.05361478,0.342118365,0.168937587,0.079985387,0.375282312318831,0.317894948337608,1.92456437159243
"T2327",0.221769103,0.162157601,0.25434156,0.25093478,0.306896891,0.05248449,0.332163951,0.151721192,0.074556436,0.385796746622033,0.290291170301397,1.90130606357242
"T2328",0.225723789,0.173419207,0.185500524,0.221699817,0.294924353,0.054685684,0.342150862,0.171977553,0.082087301,0.339300474762476,0.414373013435157,2.00585456861801
"T2330",0.388410794,0.46360735,0.461698288,0.284698671,0.455955071,0.050070654,0.285276674,0.466135257,0.059061158,0.440558772529343,0.149552678755328,1.78272304995896
"T2331",0.428699062,0.306437951,0.44092229,0.310399816,0.425895064,0.060780457,0.273557822,0.453092659,0.089534808,0.361844287516797,0.353533424900262,1.95459253165701
"T2332",0.263769009,0.264861345,0.386994084,0.301524478,0.38155385,0.02853279,0.387550407,0.327371939,0.028886195,0.463432876579726,0.0917889128221431,1.73405263032627
"T2333",0.254561487,0.268804461,0.358080082,0.255896521,0.349182877,0.030462206,0.357915807,0.312483033,0.028765937,0.446140930398674,0.135417408651705,1.7708129967197
"T2334",0.25112395,0.273130818,0.357101532,0.248929429,0.338031901,0.03192295,0.355402328,0.321122296,0.028980753,0.441922505679888,0.146096750829335,1.77981116463326
"T2335",0.144203853,0.108381195,0.320021406,0.270283053,0.253032116,0.067660954,0.249009521,0.171840233,0.08091569,0.310406209182315,0.494699267939541,2.07353562180234
"T2336",0.141512098,0.105943456,0.31343621,0.265243336,0.247510134,0.064098115,0.246832325,0.168702388,0.073745659,0.331829489136718,0.434866987303439,2.02312231929176
"T2337",0.130559312,0.092896127,0.365393445,0.258451003,0.242784618,0.053665599,0.251949345,0.167791563,0.056510637,0.426348509395686,0.18567833529997,1.81316169666299
"T2525",0.18714,0.168506739,0.041984573,0.152840212,0.150281882,0.040168737,0.205367877,0.149632963,0.115241609,0.0722498952259312,1.4592373559702,2.88623321410385
"T2526",0.155981386,0.139987893,0.077949652,0.127215809,0.125283654,0.03488271,0.264843886,0.12410932,0.257839287,0.325924325490339,0.451195502309242,2.03688035020391
"T2648",0.168559806,0.156022711,0.227914414,0.145996222,0.145327439,0.087147702,0.310114903,0.137015118,0.048912773,0.353621811049937,0.375560552210734,1.97315208213271
"T2666",0.216546838,0.196744025,0.119424086,0.179281366,0.176330576,0.042867271,0.29607355,0.172343109,0.102127852,0.223701762758327,0.759750852639019,2.29686198640529
"T4072",0.112779539,0.121608878,0.08147579,0.185474778,0.093381142,0.111455102,0.312770177,0.100989045,0.185249411,0.311730062528934,0.490952384882121,2.07037858437978
"T4074",0.112779539,0.121608878,0.08147579,0.185474778,0.093381142,0.111455102,0.312770177,0.100989045,0.185249411,0.311730062528934,0.490952384882121,2.07037858437978
"T4075",0.082991245,0.106101231,0.132222608,0.170337393,0.088360006,0.116189521,0.242254605,0.123709107,0.16703461,0.139401436785064,1.08301250270647,2.56923481227225
"T4077",0.101770262,0.111490082,0.115088214,0.167879053,0.095448262,0.124971453,0.257701783,0.127899353,0.166906048,0.105722816665528,1.24960019098944,2.70959776408795
"T4083",0.097180382,0.10289875,0.227123705,0.166515077,0.087131927,0.115252273,0.268960569,0.119277846,0.163658248,0.206226089358169,0.819585962505692,2.34727767276043
"T4085",0.095337468,0.101057033,0.231103446,0.167606687,0.085500853,0.113250899,0.273437036,0.118091094,0.161957109,0.237663634219565,0.713838146563898,2.25817699703438
"T5142",0.147651802,0.093723311,0.142343487,0.226673554,0.145754576,0.154435954,0.211224676,0.060498917,0.172189316,0.0981662225563079,1.29207132533276,2.74538296433193
"T5144",0.142189264,0.147519658,0.157361289,0.203198655,0.140939458,0.142414496,0.189964941,0.138710682,0.247329032,0.00126860986165162,3.01886690080583,4.2003411707509
