"","agaB","agaC","agaD","agaI","agaR","agaS","kbaY","pval","z","inv_cof_var"
"T6169",0.089136428,0.060891604,0.109522052,0.059199739,0.058641144,0.059271113,0.070396359,0.386737002980906,0.287833743965994,3.67543580465134
"T6128",0.088499668,0.054889145,0.120450312,0.061409283,0.055126625,0.061631113,0.0654807,0.465688238885668,0.0861131405614033,3.02005366001917
"T6138",0.091384565,0.059589471,0.091078085,0.062790497,0.059426174,0.063042868,0.067155688,0.249299555385749,0.676695596819276,4.93883235803892
"T6155",0.091512595,0.061459913,0.118768704,0.06289349,0.059289002,0.063076774,0.072315634,0.415639355872041,0.213061861481615,3.43250495934493
"T6136",0.091405129,0.055127489,0.109841946,0.066041769,0.056740859,0.066323885,0.06312694,0.397857527998038,0.258896555398054,3.58142004035559
"T6164",0.092144204,0.060123264,0.095678885,0.062045141,0.059304761,0.062170043,0.068332485,0.288414071451609,0.558023784529228,4.55327240266816
"T6171",0.08877633,0.061338541,0.108091271,0.060004798,0.059460693,0.06008812,0.069792992,0.367972047644859,0.337229241767405,3.83591979457543
"T6148",0.081341714,0.061897249,0.136010322,0.062735555,0.058728883,0.064049285,0.071264597,0.491829997917317,0.0204805899136507,2.80681613705316
"T6172",0.081341714,0.064105328,0.139846056,0.064823155,0.060745074,0.064828265,0.078931962,0.487544601909143,0.0312261268993323,2.84172795545961
"T6180",0.081341714,0.062355646,0.124999903,0.054806872,0.059417097,0.054750255,0.084222165,0.474828407825381,0.0631377480500724,2.94540753184137
"T6182",0.081341714,0.059503232,0.113472499,0.053455457,0.056727207,0.053827452,0.078151275,0.440603395201174,0.149439569394441,3.22579868576278
"T6184",0.081341714,0.049268962,0.101429795,0.052299046,0.047668763,0.053093451,0.065042003,0.445231445496252,0.137718508658332,3.18771742984274
"T6205",0.081341714,0.06695243,0.13355262,0.054547885,0.063622327,0.05424038,0.090540869,0.494941702105299,0.0126796122718073,2.78147107377827
"T6207",0.081341714,0.060090116,0.121818677,0.054882374,0.055333982,0.057298989,0.0768262,0.468868781926258,0.078113757347676,2.99406398500401
"T6218",0.081341714,0.069449677,0.12620366,0.056047446,0.064933226,0.057026148,0.087705458,0.447608414128916,0.131706014277072,3.16818307690271
"T6177",0.083042436,0.06924761,0.1255091,0.060746452,0.065087351,0.061151622,0.086159161,0.416673612436206,0.210410594051545,3.42389109787027
"T6186",0.092977337,0.054689456,0.129397709,0.061775298,0.053801776,0.06365228,0.070820721,0.497516474194056,0.0062253162156223,2.76050132492763
"T6188",0.092677723,0.054317528,0.126581762,0.062546977,0.053452223,0.064492938,0.06969441,0.487501441793329,0.0313343662066526,2.84207962062503
"T6195",0.096722829,0.063642322,0.132832396,0.06388671,0.058681369,0.064339636,0.081769174,0.468364606940617,0.0793814612526254,2.99818270411332
"T3654",0.054045035,0.059134646,0.055422482,0.057345648,0.068579205,0.050556927,0.053877011,0.014421921688463,2.18561419271715,9.84124831736184
"T3655",0.0398479,0.051954258,0.043655485,0.048605009,0.058433681,0.035032977,0.039689531,0.191801833101257,0.871275643361675,5.57101512000405
"T3656",0.043941614,0.052292194,0.046016621,0.049653585,0.059989872,0.030994727,0.046077237,0.21507763414129,0.788925983242211,5.30346437928682
"T7305",0.087679797,0.056048459,0.099382526,0.056514526,0.140707267,0.064385405,0.099065199,0.489140178058957,0.0272248995215946,2.8287281282941
"T7307",0.083270344,0.07133452,0.067467234,0.070944538,0.152618445,0.075578035,0.076690241,0.487638068300868,0.0309917280044417,2.84096640285745
"T7313",0.088695373,0.069788207,0.111981433,0.069411513,0.164641814,0.080386763,0.099961393,0.47564369011485,0.0610901919788411,2.9387551043423
"T7314",0.080852213,0.068525772,0.080762537,0.066726306,0.160882975,0.080519638,0.119725779,0.499943556000091,0.000141484126577643,2.74073519863808
"T7315",0.110611429,0.07257165,0.099079399,0.074611389,0.165198712,0.078770556,0.102418007,0.453325125590859,0.1172647582147,3.12126401553963
"T7316",0.086029516,0.071099253,0.090498702,0.070312825,0.162616105,0.084336574,0.121722857,0.473746929334561,0.0658542575510731,2.95423336218607
"T7320",0.102177551,0.068097592,0.108504079,0.065938827,0.159485119,0.086113164,0.108891372,0.450839458876426,0.123540737162771,3.14165441926256
"T7323",0.107908976,0.076213351,0.073164976,0.077239984,0.17264261,0.078581338,0.107979249,0.495905829832848,0.0102627428512894,2.77361876202934
"T7326",0.078753406,0.08076614,0.08270326,0.079451296,0.160721224,0.087805825,0.069498481,0.475252198723258,0.0620733779192938,2.94194943600377
