"","alaE","kbl","lrp","tdh","yojI","pval","z","inv_cof_var"
"T4092",0.124553244,0.124623114,0.237235757,0.160376311,0.085713182,0.230627151150088,0.736783033880715,4.06033749700974
"T4093",0.080465932,0.085412518,0.219658282,0.179054167,0.09221369,0.485164658386211,0.0371952615031547,2.33716169317284
"T4095",0.095349906,0.123233271,0.264844657,0.189630878,0.076913592,0.465973743700123,0.0853948498909777,2.45588355731081
"T4099",0.070941799,0.1490589,0.229971691,0.182280703,0.115166221,0.42417022868067,0.191236309885093,2.71658485899994
"T4101",0.090318017,0.076218543,0.237979734,0.157404684,0.098444167,0.386710535355812,0.287902895131286,2.95468724916848
"T5043",0.089290925,0.110470396,0.24562222,0.151401753,0.087401239,0.279247557120442,0.585078232942831,3.68666881293077
"T6958",0.099052268,0.124777461,0.237697074,0.202862803,0.11638087,0.387150633057784,0.28675324373048,2.95185550802757
"T6959",0.176669214,0.160811213,0.260329249,0.212363957,0.066487525,0.462850524045729,0.0932549155851369,2.47524392287969
"T6963",0.161902664,0.163007138,0.258262374,0.205546951,0.055461592,0.492947255493727,0.0176795297526368,2.28909190397059
"T6966",0.078767195,0.103685374,0.248640945,0.16461805,0.107043663,0.360408710807087,0.35736654097913,3.12578525644854
"T6967",0.126799814,0.110184142,0.257233471,0.17643969,0.103006145,0.250685414660269,0.672334408495187,3.90159213832878
"T6970",0.128354205,0.135325142,0.185881522,0.190100688,0.142185749,0.1056410352397,1.25004784414028,5.32457557680694
"T6971",0.076833423,0.097287922,0.250962801,0.169648248,0.104605463,0.412006774229313,0.222385821295744,2.793310162791
"T6981",0.114963701,0.066539601,0.244927174,0.180289139,0.159723942,0.446104671422306,0.135509134173331,2.57932156682386
"T6984",0.117828315,0.135189459,0.247917801,0.209446252,0.110003176,0.356956758233395,0.3666052166169,3.14854131787083
"T6993",0.140273631,0.19308933,0.253717967,0.199992233,0.063703896,0.479779978311474,0.0507057977939215,2.3704399037882
"T4102",0.084421832,0.061208848,0.220798827,0.133311614,0.12216589,0.37943143358567,0.306974387835321,3.00166281973764
"T4836",0.118644337,0.097513381,0.234893084,0.117662846,0.069564719,0.192916366743248,0.867199457468599,4.38157013488995
"T4838",0.122196423,0.081287987,0.245428189,0.09046118,0.082200997,0.141285483879082,1.07456178755769,4.89233056259496
"T4840",0.156931231,0.080318339,0.248581205,0.098555644,0.081718119,0.395322788550335,0.26547238936864,2.89943799192852
"T4842",0.14052651,0.09799152,0.242652606,0.082313403,0.078617433,0.302622310921748,0.516873279014341,3.5186711277912
"T4845",0.14477975,0.104351363,0.10724623,0.160539083,0.068063773,0.400068468114313,0.25316988584357,2.8691353233599
"T4847",0.148169552,0.131180899,0.261679476,0.078176199,0.065804532,0.435544907259509,0.162274347666485,2.64524777379456
"T4849",0.1437997,0.080428862,0.262881084,0.070147793,0.101005863,0.374741717741671,0.319320570587708,3.03207307593231
"T4851",0.133177436,0.084567846,0.245102117,0.090362205,0.092475957,0.18042537712539,0.91374518698076,4.49621832920402
"T4853",0.082863432,0.116451734,0.263906914,0.157052467,0.092083045,0.322140095208983,0.461722699848418,3.38282806800853
"T4855",0.086274031,0.089126453,0.255812068,0.118910885,0.117565324,0.0730985877176691,1.45309573372459,5.82470897559798
"T5044",0.063013827,0.102884324,0.237639602,0.155168682,0.102492128,0.41078426187798,0.225528027989065,2.80104982714531
"T6964",0.114193465,0.128391883,0.264325281,0.202871176,0.067781023,0.492883365625663,0.0178397031602348,2.2894864319359
"T6968",0.116302831,0.127592015,0.248824849,0.162270203,0.078431437,0.304325710016426,0.51199941350925,3.506666162237
"T6969",0.147494936,0.170684301,0.278418655,0.203688115,0.056205418,0.49350815093994,0.016273370639417,2.28562835092418
"T6972",0.101416101,0.204495894,0.054951243,0.129379818,0.12374545,0.361505617591321,0.354437233246432,3.11856998996408
"T4105",0.121304516,0.174606061,0.109552196,0.168093771,0.073440054,0.402118220293161,0.247868128102693,2.85607640349651
"T4109",0.126833063,0.184787894,0.279974803,0.194758464,0.06079117,0.491787085429817,0.0205881782487115,2.29625628406441
"T5052",0.124704326,0.111357495,0.244510284,0.196629903,0.070673749,0.475413619893735,0.0616679798605649,2.39744118602945
"T5055",0.104612496,0.102088752,0.249421219,0.186603469,0.087250932,0.43131624156839,0.173024101421929,2.67172581743679
"T5056",0.091277919,0.0880967,0.221614972,0.191864738,0.097031062,0.484498962960289,0.0388651197913205,2.34127477163364
"T4104",0.112385312,0.137230488,0.237308008,0.111837515,0.083524027,0.125906908357625,1.14595489220089,5.06818107819769
"T4106",0.144451237,0.18511899,0.243476265,0.083633008,0.084649932,0.455990324782967,0.110540604326651,2.51782082569033
"T4110",0.143768298,0.160937206,0.256452359,0.095984234,0.09604288,0.273076536915657,0.603534647069487,3.7321293648506
