"","decR","marA","mlaB","mlaC","mlaD","mlaE","mlaF","yncE","pval","z","inv_cof_var"
"T0070",0.082605716,0.081425421,0.269154879,0.381200193,0.31739211,0.182954698,0.239342791,0.099304723,0.478420333789743,0.0541186071874141,2.03684695620884
"T0064",0.082605716,0.061489558,0.06842999,0.139928021,0.179565832,0.11400393,0.144665524,0.143824155,0.132783459156848,1.11332955325113,3.20966369739257
"T0257",0.084958475,0.090256025,0.036113642,0.099549321,0.125561983,0.14007782,0.067471519,0.118300779,0.270319562831192,0.611846795303012,2.65439434701224
"T0248",0.074910882,0.089774362,0.053604824,0.093940259,0.092493005,0.189156588,0.088208797,0.164002757,0.423757114551123,0.192291049420738,2.189839100053
"T0249",0.057689445,0.068927005,0.069676408,0.111907339,0.112606069,0.178442534,0.098755102,0.151532255,0.281526286220254,0.578313365469353,2.61726428520125
"T0570",0.025238094,0.087539588,0.056474906,0.053793656,0.077588054,0.087085353,0.090917578,0.126551097,0.392977890246193,0.271565954241507,2.27761664415322
"T1133",0.082605716,0.06015663,0.184166335,0.111963918,0.223645122,0.193998416,0.214404219,0.062243768,0.37978002602628,0.30605856934667,2.3158087687653
"T1134",0.082605716,0.048281251,0.194318364,0.217741745,0.250711833,0.185325338,0.214784297,0.148443387,0.106205470713211,1.24696333600646,3.35763038730038
"T1096",0.082605716,0.106745897,0.14780358,0.295502805,0.114304184,0.095988397,0.127192002,0.207413715,0.476479403989664,0.0589915883376304,2.04224258952786
"T1094",0.082605716,0.117767598,0.163699869,0.224118869,0.173453103,0.150767132,0.19109702,0.163005294,0.0506050281966536,1.63901538120147,3.79173202090676
"T0115",0.082605716,0.078243586,0.184129974,0.169661955,0.252436899,0.068604426,0.251152154,0.095756237,0.478100121907111,0.0549224531918477,2.03773701881142
"T0101",0.066550342,0.084624887,0.287122881,0.234822852,0.271772397,0.230353501,0.215144021,0.188311437,0.194074402012113,0.862979380332161,2.93246218710914
"T0121",0.082605716,0.053072657,0.256662011,0.323816782,0.218120018,0.126483262,0.300654466,0.133121053,0.419031693762713,0.204371259833971,2.20321497486086
"T0123",0.085906012,0.033444083,0.236800977,0.089240476,0.279804717,0.097796429,0.249653132,0.146983537,0.484269846231764,0.0394398706232609,2.02059385002084
"T0095",0.064262849,0.049550079,0.441563833,0.282273901,0.349765825,0.273018061,0.172653704,0.210832223,0.458068099026309,0.105301972245455,2.09351999913128
"T4023",0.088638946,0.147693828,0.128178897,0.083442109,0.058968416,0.103006748,0.127664105,0.0816863,0.0521890814767356,1.62398896846556,3.77509394849815
"T4024",0.091875771,0.136376559,0.122085519,0.156416008,0.072065586,0.168809562,0.096845103,0.084492139,0.166588400670239,0.967734864338615,3.04845323292503
"T4025",0.075535077,0.09691463,0.063366419,0.066731222,0.088361596,0.123483989,0.085171661,0.089837494,0.0210887806575768,2.03176392098595,4.22660485171207
"T4026",0.068737556,0.084434186,0.066738833,0.142550537,0.086237965,0.132928828,0.087374505,0.092554078,0.124708348155595,1.15176732967554,3.25222412206714
"T4027",0.088946958,0.080501224,0.081057104,0.165990924,0.087610797,0.097437461,0.100272537,0.099065075,0.0728993195638555,1.45453282707011,3.58746276864341
"T4028",0.078934909,0.085027959,0.095638888,0.072074064,0.017117463,0.088758584,0.032607837,0.087652246,0.413383102357784,0.218850887983192,2.21924761723736
"T4029",0.092482822,0.125482285,0.082951211,0.06849217,0.088324645,0.077583206,0.160790422,0.098746341,0.145430295565229,1.05623559752272,3.14644612269933
"T4030",0.077466093,0.108097307,0.08171985,0.124266357,0.070156771,0.088003074,0.102866153,0.085771881,0.00357622617426563,2.68966152549891,4.95506534149922
"T4031",0.083134747,0.143814562,0.080010335,0.081397573,0.071358237,0.12278013,0.111535857,0.106514985,0.00517918356073598,2.56363077289792,4.81551714564293
"T4032",0.106822417,0.132219799,0.107194073,0.080048213,0.112876432,0.120709211,0.114855033,0.110290041,7.3138029101423e-09,5.66587509118531,8.25049304468419
"T4033",0.097445283,0.136890913,0.062892375,0.077970179,0.08135042,0.147224773,0.116386299,0.097990907,0.0860660001198447,1.36538524082402,3.48875364750557
"T4034",0.089830305,0.151317967,0.092096246,0.072251663,0.130486395,0.109232756,0.12965264,0.101194166,0.00483814347770853,2.58718768744694,4.84160065984413
"T4087",0.081080293,0.152094113,0.144918358,0.084670896,0.136458431,0.112788209,0.111639973,0.098394412,0.0106428004355436,2.30287990878407,4.52679941680211
"T4088",0.079900537,0.18311738,0.16575603,0.117339213,0.098481973,0.133247484,0.125707076,0.080374798,0.0596432806428132,1.55777513922221,3.701778347179
"T4089",0.09884204,0.146385657,0.091379637,0.248977802,0.142645209,0.120333151,0.114516494,0.08414127,0.393947908675438,0.269044007898353,2.27482420615717
"T4090",0.094744915,0.14503095,0.118406664,0.240850025,0.070173203,0.099039114,0.107536335,0.119240355,0.420812099933342,0.199816367738584,2.19817154727582
"T4092",0.091536906,0.121308902,0.068630058,0.250530985,0.126484464,0.103416714,0.128688705,0.087341946,0.482591678372953,0.0436500485109899,2.02525559103517
"T4093",0.077045675,0.098294416,0.149976265,0.082967052,0.121749914,0.119100312,0.116741057,0.107443548,0.0122278218896325,2.24989449042861,4.468131041143
"T4094",0.074057145,0.090331585,0.12724087,0.115009629,0.12409575,0.111644944,0.135554509,0.114921021,0.000274536315011511,3.45559845187933,5.80315292338087
"T4095",0.075077064,0.065732274,0.104829485,0.101439929,0.119380045,0.109502202,0.112637447,0.075296666,0.000482210852125262,3.3007051692259,5.63164654340252
"T4097",0.097766388,0.127124671,0.143159629,0.086975078,0.090785072,0.140192847,0.137459099,0.085396256,0.0262455436030385,1.93908419235898,4.12398474784512
"T4099",0.116773053,0.114725944,0.131320903,0.074992078,0.138857022,0.080866639,0.136128136,0.117242633,0.0149674609605446,2.17095039993717,4.38071979290207
"T4101",0.091289285,0.12388884,0.12680006,0.08783209,0.167372927,0.16639619,0.166527597,0.097745903,0.090815229671107,1.33575165553672,3.45594170852835
"T5038",0.09878029,0.152254393,0.04869272,0.063594184,0.152869733,0.142620354,0.0805754,0.079188375,0.341750811841044,0.407689531953218,2.42834017226951
"T5043",0.116222864,0.140076804,0.124706909,0.109236454,0.14898909,0.065562001,0.160211307,0.117972302,0.0373813315404078,1.78191764235531,3.94996128095838
"T6962",0.056316972,0.161072572,0.089675107,0.103237048,0.136884217,0.05435267,0.129236576,0.098342832,0.1840753517995,0.899942777509556,2.97339009781642
"T6963",0.095551758,0.144482538,0.070653348,0.050357826,0.166082648,0.045084144,0.092835068,0.094792029,0.428284810999972,0.180742596757494,2.17705201673541
"T6966",0.16127262,0.101349085,0.135127458,0.103299692,0.155698042,0.100030188,0.12706264,0.106820079,0.00257370240080028,2.79766136564074,5.07464871725096
"T6967",0.143815408,0.07907555,0.143132424,0.192011388,0.133752404,0.08137952,0.164805019,0.104079884,0.0545233967550805,1.6024922791335,3.75129162921287
"T6970",0.1396734,0.133609387,0.138488038,0.087280012,0.113015623,0.095326438,0.11325823,0.097506732,0.000947471715024734,3.10622207877174,5.41630414611194
"T6971",0.125484634,0.089532379,0.120532575,0.079907538,0.244833941,0.097410914,0.216791586,0.107166876,0.40507629302562,0.24022918966095,2.24291885118649
"T6981",0.083773845,0.161480459,0.071170905,0.09830033,0.123384916,0.066990801,0.113791155,0.130933815,0.0431428588725568,1.71532467117902,3.8762258727935
"T6984",0.104988464,0.174545634,0.057587607,0.075429464,0.132835779,0.050262152,0.132277997,0.127756047,0.254239490089807,0.661207924125316,2.70904970953626
"T6985",0.049940059,0.135406331,0.087334497,0.114633921,0.13151601,0.044141613,0.120891766,0.08109154,0.281203394517899,0.579270319673996,2.61832387764213
"T6988",0.098960402,0.161472985,0.145651311,0.121152702,0.120703001,0.075231328,0.145308133,0.079347992,0.0415429142544238,1.73305536615066,3.89585827554844
"T4096",0.103718825,0.156786762,0.148997983,0.08571384,0.109098483,0.054602753,0.120709334,0.10884619,0.0743318308413824,1.44426779297512,3.5760967571042
"T4098",0.085146693,0.136484459,0.086963604,0.120713007,0.10870171,0.115613811,0.122954971,0.117215598,5.2129589695619e-06,4.40814616173075,6.85786625035472
"T4100",0.065229243,0.148316899,0.063807235,0.119477071,0.13714405,0.1193921,0.139822503,0.093443633,0.113393665350514,1.20867603876867,3.31523658147535
"T4102",0.076750083,0.153429623,0.122480538,0.11609124,0.090911488,0.059525702,0.09325407,0.113641415,0.0226448792592599,2.00195326149171,4.19359684641294
"T4834",0.070347194,0.068452726,0.142335861,0.092601904,0.10497471,0.114058189,0.116896131,0.104367804,0.00541604284216859,2.54806960237006,4.79828695993222
"T4836",0.10440916,0.095759466,0.119795783,0.103645052,0.139152876,0.086961793,0.13971746,0.111028608,0.000182813166153986,3.56372691957319,5.92287872264795
"T4838",0.119619315,0.148096683,0.111966855,0.091634917,0.131797733,0.134471118,0.13494041,0.108235947,6.10865116745386e-07,4.85208047927918,7.34941479556344
"T4840",0.128430249,0.078052617,0.101000709,0.062876235,0.150993073,0.151675018,0.134465965,0.112973064,0.0469042527536325,1.67564113945384,3.83228607918625
"T4842",0.109468737,0.103746703,0.140852658,0.099943585,0.148247405,0.108978917,0.144108479,0.11419837,6.81529654556929e-05,3.81477706366205,6.20085527959177
"T4844",0.144736603,0.144751904,0.141477369,0.079992172,0.096334954,0.136497858,0.136711906,0.105847015,0.00759698847168522,2.42772218667331,4.66503166795108
"T4845",0.119924945,0.086549241,0.105455185,0.106148974,0.150761938,0.141511774,0.151120493,0.073544858,0.0209769801507048,2.03397654556301,4.22905479159948
"T4847",0.120487861,0.066049031,0.077345206,0.136959652,0.143676026,0.125613466,0.16102313,0.093305462,0.0210049270159579,2.03342252022293,4.22844134420611
"T4849",0.129593718,0.078135989,0.125083098,0.088307375,0.15302364,0.086613127,0.120020308,0.103228993,0.00530459030059367,2.55531478358895,4.80630922391844
"T4851",0.120302145,0.082027209,0.143921607,0.216253154,0.131668534,0.144504345,0.136727401,0.098606872,0.0429776278216482,1.71713091004251,3.87822584001962
"T4853",0.109868438,0.1302473,0.103390848,0.152315236,0.127962406,0.149136279,0.136165559,0.112192834,2.02165003531268e-05,4.10499135130606,6.5221965349333
"T4855",0.110303908,0.10433903,0.082686957,0.107831729,0.147197576,0.117786528,0.14601912,0.103039567,0.00317158410754642,2.72949359054648,4.9991695993879
"T5037",0.090751524,0.147224237,0.045179473,0.086932331,0.114318051,0.078008111,0.094138855,0.070630611,0.0459550623349494,1.68540673734015,3.84309908742723
"T5041",0.108688204,0.147244677,0.076320867,0.206797809,0.069676947,0.09328642,0.080673812,0.095331756,0.413063583794816,0.219671287669968,2.22015600898944
"T5044",0.125920019,0.161028784,0.16425777,0.068145403,0.165673996,0.090216094,0.164532072,0.135909997,0.10648880665019,1.24541943407532,3.35592089398526
"T6961",0.070905204,0.162387035,0.051260781,0.063718295,0.13152504,0.067834868,0.132764285,0.079406111,0.292720745613071,0.54545373588628,2.5808802921663
"T6964",0.079398609,0.137811838,0.102764842,0.112829504,0.126991004,0.247361294,0.095845795,0.077538546,0.472959178319342,0.067833273113867,2.05203259024903
