"","lolA","osmB","rarA","rcsB","pval","z","inv_cof_var"
"T4795",0.069543231,0.080926933,0.068674766,0.07885032,0.276235329979623,0.594061978551384,10.6844333784808
"T4797",0.063675103,0.063871908,0.065851172,0.096066057,2.09227010559722e-05,4.09704696992302,53.5623385974698
"T4799",0.081525146,0.098644946,0.075179784,0.13631714,0.384349728170981,0.294076488581347,7.01249375050921
"T4796",0.092046052,0.100280543,0.093153767,0.098519939,0.0720312014897449,1.46082889865419,21.2939992026754
"T4798",0.095095137,0.094692793,0.095087972,0.109030332,4.33010065231945e-245,33.4137384212199,412.410098573411
"T4800",0.08993346,0.106895657,0.092265695,0.14251497,0.281816362469156,0.577454117821064,10.4811466729885
"T4802",0.080742049,0.097249184,0.083932122,0.370069706,0.296051203426523,0.535791862443791,9.97118438606003
"T4804",0.088538706,0.099448058,0.082304477,0.116233463,0.284530821382923,0.569434008785385,10.3829774042292
"T4806",0.093021497,0.094079262,0.092294952,0.113780055,1.19270840190581e-16,8.20092633428084,103.795425764137
"T4807",0.071082366,0.073707347,0.067598666,0.101329653,0.0538508527289514,1.6086097293799,23.1028943217377
"T4808",0.064956136,0.066484825,0.056732741,0.103302248,0.242534905347731,0.698171718861448,11.9587772847162
"T4809",0.084799005,0.071247425,0.068179023,0.113524642,0.340309442347507,0.411618752316806,8.45125699274078
"T4810",0.075581229,0.060192896,0.052433468,0.12105258,0.437934578423907,0.156207891159265,5.32492824066548
"T4811",0.097047621,0.100424854,0.085888701,0.139323688,0.231005329317859,0.73554004903699,12.4161802491609
"T4812",0.098779688,0.099303606,0.096881229,0.129794833,8.53200847004703e-10,6.02354259993237,77.1433979602143
"T4801",0.085947423,0.092540271,0.084418456,0.390859488,0.0837916172594508,1.38001107624275,20.3047574737219
"T4803",0.087723375,0.087816393,0.09234395,0.088185027,0.00651114143659195,2.48315932486767,33.8077231340206
"T4805",0.082786216,0.08485114,0.068927373,0.120196136,0.320914522907134,0.465143012077745,9.10641484885465
"T5743",0.135291261,0.134311405,0.12752342,0.121866851,0.0113750307326981,2.27760602073839,31.2916703637076
"T5745",0.10323474,0.105271466,0.08837595,0.135264587,0.275000234788263,0.597759422392526,10.7296915360132
"T5747",0.110845046,0.113419881,0.107034401,0.112831032,0.0057113303965663,2.52949559474139,34.3748971849345
"T5755",0.133616183,0.120136594,0.123320616,0.168006693,0.119271236372879,1.17863770044926,17.839868659705
"T5757",0.115579758,0.110974771,0.113201319,0.1321332,9.24359206741026e-05,3.73883931457355,49.1777369127286
"T5759",0.116994681,0.119073878,0.104779321,0.139664283,0.177992330546802,0.923043260968246,14.7112928372101
"T6900",0.086470421,0.136182721,0.094347024,0.215591471,0.482347613648755,0.0442624193697046,3.95467191901099
"T6899",0.069412005,0.112960557,0.094131927,0.25525094,0.473711951648316,0.0659421241850253,4.22003997811963
"T6901",0.101205631,0.145632711,0.10943694,0.206584354,0.447618482043019,0.131680557967322,5.02470409740791
"T7307",0.121887554,0.072720094,0.083341281,0.354409916,0.4945168797563,0.0137445769795848,3.58112160214845
"T7315",0.135627289,0.086492176,0.091256591,0.332804745,0.485597143014358,0.0361104548154769,3.85488868717709
"T7316",0.126000088,0.072607449,0.086861815,0.336377616,0.499051751971041,0.00237690755888099,3.44197688608991
"T7318",0.118452826,0.067919226,0.083105302,0.334838683,0.4983218901822,0.00420640992182301,3.46437070995994
