"","amiA","cmk","hemF","ihfA","ihfB","rpsA","uspB","pval","z","inv_cof_var"
"T4096",0.117535229,0.309979335,0.148003359,0.078011005,0.415219368,0.193609012,0.072375816,0.368824488497802,0.334968329328097,1.61875283970306
"T4098",0.116724977,0.275820296,0.141961525,0.058850886,0.360583148,0.249868167,0.053752226,0.302303177078544,0.517787767228279,1.74268792842805
"T4100",0.137645582,0.316991353,0.119546875,0.152528075,0.361624562,0.259578623,0.063837575,0.297079431245893,0.532819025470681,1.75287776570858
"T4102",0.090957824,0.314834894,0.125558136,0.079963995,0.418157988,0.241969406,0.073308245,0.421071147593008,0.199153982195884,1.52668296269607
"T4834",0.069877214,0.123204308,0.093130653,0.073312129,0.348081391,0.217773016,0.104612505,0.430527572103238,0.175031166570423,1.51032986956124
"T4838",0.128258777,0.246707313,0.11025647,0.148222791,0.406827592,0.237230946,0.083463383,0.339804718410183,0.412996146797884,1.67164866189903
"T4840",0.121755721,0.17727594,0.141207037,0.137313503,0.365184242,0.238664978,0.080163891,0.257790507144903,0.650172171924257,1.83243261384142
"T4842",0.088706469,0.259069435,0.088835977,0.177743699,0.405364876,0.23627523,0.080609005,0.450901249067491,0.123384667153362,1.47531820143062
"T4844",0.099038208,0.303158047,0.094044514,0.19047552,0.381440034,0.271632719,0.114668929,0.324218261285942,0.455935274816824,1.70075751761987
"T4845",0.151765097,0.342588448,0.098368885,0.118378826,0.407972386,0.272536588,0.075132364,0.354849078449227,0.372261504932407,1.6440342489473
"T4847",0.156261918,0.296874024,0.138168308,0.105294897,0.416688672,0.245516992,0.093651437,0.238826308587306,0.710083081464238,1.87304680659201
"T4849",0.141844796,0.303935811,0.087093972,0.07652752,0.387039827,0.2627342,0.124039901,0.252208282911989,0.66755676149825,1.84421779749611
"T4851",0.092449549,0.285849658,0.098754232,0.087046827,0.366021212,0.248740226,0.122628478,0.286303697840438,0.56421562447747,1.77416182788633
"T4853",0.135946826,0.295230733,0.110390895,0.161019244,0.407433311,0.249263829,0.095871415,0.298954644383347,0.527409440978356,1.7492105553631
"T4855",0.112319836,0.296557385,0.089461981,0.133268152,0.379850329,0.248218267,0.091272039,0.351746503635449,0.380609531962104,1.64969345828788
"T5037",0.137004979,0.14340433,0.044482788,0.219229492,0.092162806,0.04568536,0.08933243,0.128708883057501,1.13251551313276,2.15941789218597
"T5040",0.175927924,0.242625905,0.122729033,0.2204458,0.371027486,0.294411091,0.087195624,0.182416265149417,0.906195224365349,2.00599315031596
"T5041",0.110021706,0.106699496,0.116287894,0.200646477,0.073221965,0.124521967,0.107304935,2.935382603291e-12,6.88275086255147,6.0575587923286
"T5044",0.156657981,0.049384205,0.09496297,0.217834884,0.156208047,0.104459203,0.096250338,0.0296422457988878,1.88607765016008,2.6702650503709
"T6957",0.071806528,0.289584361,0.111601115,0.200680329,0.357770714,0.277583935,0.059482483,0.429036732020738,0.178827101918062,1.51290317133652
"T6960",0.169575398,0.312521578,0.134982435,0.205198165,0.334985032,0.288476708,0.076348196,0.162869779679087,0.982731588875848,2.05787790193344
