"","adeD","adiY","chiA","gspA","gspB","hchA","hns","mdtI","mdtJ","rcsB","yjjP","pval","z","inv_cof_var"
"T4826",0.106483122,0.08029138,0.082559224,0.077888753,0.08048657,0.078068506,0.386505441,0.07797052,0.078737831,0.076458709,0.07936601,1.71919666238888e-14,7.58064572004013,9.26856919005805
"T4827",0.107731298,0.085499174,0.076001953,0.076657867,0.076057498,0.07894904,0.281771937,0.089354991,0.084837929,0.142295207,0.076202474,0.00306314871651762,2.74094385818087,4.25290582042727
"T4828",0.109078952,0.072589668,0.069947142,0.066866632,0.068494981,0.073874156,0.414413369,0.085725745,0.081702756,0.209943308,0.067446291,0.264302854512419,0.630135845384255,2.0653532123747
"T4829",0.106542566,0.088774431,0.090451813,0.083864092,0.087121679,0.09134366,0.324861946,0.085758961,0.088737366,0.158468893,0.085078378,0.00295236833434897,2.75302511259693,4.26542632416147
"T4830",0.111607558,0.079054451,0.091039664,0.074907541,0.08315946,0.092393067,0.402660372,0.086634532,0.089713028,0.072460066,0.078701373,1.1958447723286e-09,5.96868800170717,7.59800403707769
"T4831",0.103369971,0.086290349,0.103827002,0.089118567,0.09731058,0.106679877,0.383322879,0.106380625,0.111042456,0.114832469,0.092598764,2.05147047332385e-19,8.9341570800928,10.6712914119569
"T4832",0.104911914,0.089903789,0.103315565,0.091123536,0.097253566,0.105983621,0.368728168,0.104260546,0.10926355,0.111442332,0.093907896,6.81619017998256e-31,11.4971623668259,13.3274822476252
"T5536",0.063157723,0.091508328,0.064798413,0.069229587,0.136387106,0.091626407,0.271598524,0.251945753,0.248002643,0.100787622,0.144264268,0.360615523691753,0.356814009878599,1.78209396261188
"T5538",0.077110303,0.105183009,0.106121064,0.090965699,0.135347119,0.161065908,0.267409195,0.243737482,0.24760293,0.202598121,0.101203803,0.192793001976057,0.867649929904009,2.31150281569747
"T5540",0.066353142,0.094827436,0.146331416,0.07823431,0.128081239,0.094508284,0.272840654,0.261141222,0.243067424,0.069783543,0.071519844,0.373040059432765,0.323812332485954,1.7478924127728
"T5542",0.06360892,0.063155324,0.127819796,0.07778917,0.063641031,0.104672867,0.276176394,0.266594106,0.255946773,0.101420595,0.07744912,0.445283050123544,0.137587923694009,1.55489727126008
