"","aroF","tyrA","tyrB","tyrR","pval","z","inv_cof_var"
"T2146",0.077413704,0.074883572,0.116845466,0.06183508,0.49946481405094,0.00134151263447573,3.81270247950459
"T2148",0.082998685,0.097013337,0.119531738,0.085564416,0.441110992471303,0.148153048170228,5.41746701561725
"T2150",0.088001717,0.115639111,0.142028537,0.111278916,0.482961504969711,0.0427221658078593,4.26502527860543
"T2154",0.094972004,0.109529121,0.099796925,0.05739508,0.183005398469112,0.903970966083892,13.6791460859992
"T2107",0.100169977,0.12482221,0.149997464,0.033632838,0.45560050927091,0.111523768606801,5.01708043419341
"T2109",0.1007985,0.108487639,0.155532433,0.068896547,0.488836346971048,0.0279867813887531,4.10395603935611
"T2127",0.089266986,0.109109766,0.134004875,0.052923261,0.458305622119703,0.104703298862545,4.94252738272325
"T2131",0.094987873,0.120171402,0.150823148,0.071462024,0.479396303224452,0.0516687894123247,4.36281884929456
"T2132",0.115463335,0.132355198,0.15455246,0.038223826,0.390341650988982,0.278428685381754,6.8414812918362
"T2133",0.097649462,0.124061922,0.146385448,0.056047355,0.45515538762164,0.112646553893979,5.0293533526937
"T2116",0.091873542,0.127644825,0.13229183,0.113655331,0.445268039334381,0.137625908095372,5.30239716775298
"T2117",0.099460156,0.124501793,0.140257663,0.124956252,0.42372115874443,0.192382859848016,5.90093333834481
"T2134",0.07984583,0.115921579,0.137514748,0.046275,0.499455713854544,0.00136432346494381,3.81295181966469
"T2121",0.095001512,0.117635499,0.114903068,0.063078832,0.322400011577815,0.460998023482742,8.83710648638829
"T2138",0.107033545,0.112212797,0.130134139,0.058474559,0.297545565405571,0.531472878448208,9.60745159260593
"T2139",0.101018554,0.12918352,0.149270663,0.082958663,0.448299199026256,0.129959589919167,5.21859833350719
"T2142",0.094526338,0.136968452,0.124482871,0.076643059,0.440295751254964,0.15021942290292,5.44005410236928
"T2108",0.160629417,0.139688182,0.141453161,0.056858583,0.208267620323445,0.812446905806205,12.6787167559831
"T2112",0.107897086,0.109339034,0.117886921,0.110578186,0.0611559233199617,1.54514230270061,20.6876486455538
"T2123",0.139966313,0.129817507,0.125359753,0.126161127,0.103431369089713,1.26223916934413,17.5952968497028
"T2141",0.106136057,0.103493768,0.135927996,0.067070971,0.406099840904812,0.237589259346729,6.39507452729251
"T6034",0.081222113,0.048471382,0.079003384,0.340448472,0.499890988803628,0.00027325055047698,3.80102554212076
"T6045",0.075541929,0.056891974,0.05776417,0.091317417,0.419324003998936,0.203623141118772,6.02379837543753
"T6058",0.067251879,0.04932987,0.071925029,0.365856028,0.446505737991443,0.134494606183021,5.26816959672142
"T6069",0.069606373,0.049388913,0.071309276,0.392420067,0.448893539695852,0.128457310704516,5.20217725053021
