"","fnr","ompX","rimM","rplS","rpsP","trmD","ychO","ysgA","pval","z","inv_cof_var"
"T5716",0.163149466,0.12957141,0.165968499,0.212489185,0.191310101,0.222404751,0.206324322,0.214916544,6.00331137458087e-16,8.0043839465051,5.76289783090858
"T5718",0.144351289,0.140800107,0.085048354,0.429288618,0.187592469,0.150190877,0.092543496,0.21104043,0.465059893581965,0.087694127569085,1.58369612896857
"T5719",0.201436636,0.195058523,0.178407119,0.110283848,0.222226322,0.231672501,0.118033427,0.226109438,4.3296322632808e-05,3.92538079193172,3.60960177969323
"T5720",0.190017927,0.107818375,0.145105054,0.136062359,0.220232907,0.233705611,0.10811439,0.23997281,0.0054998520009048,2.54270822269266,2.87969222320561
"T5721",0.117020949,0.139917537,0.205605613,0.367682154,0.14032085,0.17798401,0.120005084,0.285854962,0.0844818423659417,1.37554131980892,2.26354759476349
"T5722",0.164984889,0.120619088,0.130612824,0.361517771,0.099680955,0.334801397,0.093218314,0.276846409,0.361479912251538,0.354505844894235,1.72454539913647
"T5724",0.12245457,0.137959923,0.141842753,0.405946469,0.198515073,0.186838852,0.185507679,0.18607027,0.0859768036975877,1.36595334553969,2.25848612598038
"T5726",0.146399829,0.132117149,0.064681601,0.342582953,0.12539098,0.315493173,0.331039775,0.293279936,0.211573980066193,0.800971819744929,1.96023372400823
"T5730",0.144920008,0.144573244,0.14547813,0.345658644,0.104090385,0.165391207,0.255733631,0.211000921,0.0557534326302615,1.59145655513922,2.37752873329551
"T5732",0.225240855,0.220833833,0.166988702,0.134440352,0.182075553,0.236017654,0.106790876,0.230596465,2.914994278209e-05,4.01958847488295,3.65933379116902
"T5734",0.214877549,0.222684129,0.074173526,0.25769648,0.11623811,0.225892967,0.083884993,0.250403956,0.11438731380947,1.20352136787635,2.17273867180119
"T5736",0.209099379,0.211979145,0.196265685,0.211044598,0.132303545,0.217801432,0.257591482,0.200291217,5.9992577638693e-14,7.41679863493686,5.45271294425718
"T5738",0.150571748,0.077404703,0.177013176,0.467864494,0.222340478,0.073077836,0.371756188,0.281743741,0.434487525537057,0.164960527204513,1.62448487732736
"T5740",0.180073363,0.157024988,0.149569921,0.326283254,0.111494852,0.285574354,0.085236785,0.415408076,0.336768233584248,0.421299401559282,1.75980555863211
"T5742",0.133540288,0.132516957,0.125448816,0.402158044,0.124440528,0.209009868,0.349790745,0.214060167,0.201627360138723,0.83582258246268,1.97863135865037
"T5744",0.19983615,0.210351029,0.222153292,0.202603068,0.124280358,0.153361984,0.199038443,0.233693771,9.23008528081562e-11,6.37363327836862,4.90202843680723
"T5746",0.088929013,0.163937418,0.190432842,0.199902475,0.102528371,0.164478936,0.089634882,0.335109348,0.103972860421676,1.25923428632115,2.20214938876873
"T5748",0.185888122,0.115050903,0.158782896,0.203791017,0.108384975,0.251805156,0.319162282,0.206336116,0.0235844250383325,1.98478093001681,2.58516373409738
"T5750",0.153956027,0.141594406,0.182024405,0.194130954,0.092902077,0.10122367,0.244485203,0.309152778,0.0680710775060803,1.49031224233032,2.32413489143733
"T5752",0.169674038,0.15995615,0.234618371,0.35370382,0.206643969,0.224524724,0.186254611,0.355895554,0.00119315681538767,3.03739646818703,3.14083696990956
"T5754",0.139383204,0.130084027,0.077614529,0.333488586,0.117108685,0.343229203,0.248490459,0.306922959,0.198285065978032,0.847762714199913,1.98493452575921
"T5756",0.185247427,0.151557508,0.131357744,0.261059332,0.126760774,0.272538816,0.142820427,0.062786661,0.11747064076248,1.18772624200273,2.16440046246835
