"","csgD","dgcC","iraP","nlpA","wrbA","yccJ","yccT","pval","z","inv_cof_var"
"T7436",0.081707667,0.072724849,0.087478174,0.083567948,0.075963413,0.083933118,0.086750932,5.3393426607733e-07,4.87870090830715,13.591469527631
"T7438",0.086532208,0.063788114,0.082390239,0.079040581,0.085720841,0.083444876,0.085691812,0.000794075374287466,3.15807429950047,9.61222515706107
"T7440",0.087447297,0.070536432,0.086883318,0.077167536,0.08564176,0.077787676,0.08603732,7.92101498883128e-06,4.31664267215908,12.2916133818076
"T7235",0.076321865,0.073172924,0.076176461,0.083711796,0.066700818,0.113779492,0.083515646,0.119739264022308,1.17629120759737,5.02901159301225
"T7236",0.075429414,0.094359661,0.080446086,0.08881371,0.065441764,0.112410036,0.087580603,0.0721612728506923,1.45988185931086,5.68486365214076
"T7237",0.07214536,0.058484603,0.067597861,0.087675962,0.067726373,0.136189602,0.081443335,0.387589980214022,0.285605930862163,2.9691490084994
"T7238",0.083456631,0.08074987,0.080141063,0.08491601,0.068106888,0.118152413,0.085926429,0.111284247586908,1.21972670338828,5.12946363253334
"T7239",0.078001566,0.056915889,0.068525601,0.097010303,0.060320107,0.139926717,0.087935701,0.426747816248884,0.184660113987513,2.73569448008802
"T7240",0.078212291,0.08014404,0.079012513,0.082840546,0.065789147,0.123855745,0.081368095,0.191703003837083,0.871637790538954,4.32444827369606
"T7442",0.079692195,0.070792987,0.081575693,0.079842112,0.076669587,0.08531395,0.08344667,1.31551562115824e-08,5.56436871067707,15.1771940123604
"T7444",0.079281541,0.039603006,0.079963528,0.08089875,0.077675555,0.081546098,0.084155752,0.187641303900811,0.886621698179114,4.35910113203329
"T7446",0.072696283,0.084078589,0.082128461,0.082119735,0.070536668,0.084157758,0.077253174,1.49519380257349e-08,5.54199856344226,15.1254592071462
"T7241",0.07283087,0.113256267,0.079799184,0.085582169,0.059818855,0.119000166,0.080498807,0.231631082639,0.733485833167172,4.00494815912085
"T7242",0.084897969,0.073948313,0.081595802,0.083546275,0.077138273,0.11235893,0.084333099,0.0454892999014054,1.69025803500069,6.21764810144261
"T7243",0.077120674,0.085380068,0.08046557,0.08450268,0.070707522,0.116768534,0.08001445,0.0864618237093811,1.36286948473753,5.4605058842086
"T7244",0.081313201,0.074394815,0.082168321,0.084500038,0.071220074,0.112867218,0.085574217,0.0671314056561793,1.4975015163955,5.77186556639145
"T7245",0.080616489,0.067228433,0.084838167,0.091964365,0.061886024,0.131599845,0.089073561,0.294397261580497,0.54058374669398,3.55882897338885
"T7246",0.072880891,0.06617174,0.064979689,0.089227943,0.060697748,0.128074352,0.087696,0.338107773443146,0.417632888522063,3.27448400991263
"T7247",0.077166503,0.056823497,0.081182518,0.088413761,0.068306174,0.106369457,0.084157875,0.146313262616369,1.05237719956194,4.74243918015639
"T7248",0.074547473,0.075687753,0.066764607,0.091105121,0.06080437,0.124160703,0.088847822,0.271408884392758,0.608557520109232,3.7160299917996
"T7249",0.078752588,0.064943214,0.082143633,0.086212505,0.072332536,0.100753946,0.082315929,0.030516992971692,1.87324916569515,6.64084650076597
"T7250",0.078235267,0.078547864,0.076429321,0.092530794,0.062474969,0.121959937,0.090936766,0.194491650885116,0.861462617018404,4.30091643840769
"T7251",0.07846644,0.049211977,0.075420475,0.093777684,0.068432588,0.109712778,0.089018149,0.257583516709019,0.650813269405155,3.81375366505293
"T7252",0.07471807,0.077456702,0.062587593,0.092927323,0.058207984,0.136787986,0.089604531,0.376381027470199,0.314999471758818,3.03712661709006
"T7253",0.090047351,0.05329005,0.086732402,0.103978961,0.07134962,0.105364763,0.10043537,0.212602360000201,0.797424181393165,4.15281656411912
"T7254",0.083021651,0.068742127,0.083303305,0.083769965,0.068227221,0.122034873,0.084835365,0.189440059866649,0.879961586201355,4.3436984799069
"T7255",0.080161332,0.063398043,0.083577793,0.094049876,0.072946184,0.096723538,0.088880396,0.0362725169872929,1.79568245389834,6.46146016576378
