"","borD","envY","mgrB","mgtA","ompT","pagP","phoP","rstA","ybjG","pval","z","inv_cof_var"
"T4844",0.229033237,0.085958294,0.119351711,0.113304317,0.134096732,0.134875721,0.137832945,0.067874077,0.149602829,0.104907680089303,1.25407331068742,2.66895028227584
"T4845",0.238705896,0.074036153,0.071835184,0.10993691,0.15620549,0.118337767,0.144109534,0.069618838,0.141141171,0.256398627210388,0.654488312664722,2.14253255100847
"T4847",0.222010307,0.064290349,0.130920272,0.09751509,0.143493685,0.069058403,0.168428511,0.07254583,0.122139288,0.238745122423304,0.710344961193894,2.19157302115348
"T4849",0.209839705,0.081345724,0.08368733,0.120926613,0.108339093,0.112998863,0.104895905,0.07023736,0.156912771,0.129166050507422,1.13034210064663,2.56031797310961
"T4851",0.185329639,0.098691098,0.09824676,0.110032058,0.230516152,0.094338596,0.091791343,0.08571921,0.151422218,0.140311690687955,1.07892002434517,2.51517092501311
"T4853",0.083900096,0.136056938,0.09089113,0.111123754,0.119331087,0.079244861,0.183388745,0.082365831,0.15590121,0.00542906765352995,2.54723157041488,3.80430463487027
"T4855",0.156100435,0.089597083,0.088425652,0.108756376,0.112064611,0.121031396,0.095993134,0.082420968,0.144590544,0.00129653228327539,3.01226460807396,4.21258976117625
"T5037",0.118635492,0.020962298,0.145851842,0.088950705,0.202988452,0.052700447,0.203540203,0.099621466,0.131929275,0.34746948019975,0.392161403211828,1.91221735469773
"T5040",0.18244161,0.037385099,0.182587179,0.086178392,0.066977859,0.113515342,0.070605421,0.035690105,0.130025033,0.401783287257296,0.248733964424802,1.7862923446045
"T5041",0.106080251,0.102799358,0.117296909,0.110787224,0.200459983,0.067586171,0.1986522,0.069875874,0.137349752,0.0953300594576618,1.30862880434604,2.71684837728264
"T5044",0.06373012,0.072338883,0.092494068,0.13717308,0.230974959,0.064476225,0.200480841,0.086064137,0.064104361,0.416042430509586,0.212028421769274,1.75406597377571
"T6957",0.100829953,0.136075518,0.137174787,0.106409817,0.127888667,0.075349673,0.193571605,0.050268761,0.150758929,0.030008691328308,1.88066588864434,3.21907986257693
"T6960",0.064786429,0.132785354,0.161862194,0.084191788,0.103464571,0.089082492,0.209085489,0.065788686,0.102350568,0.04769340301025,1.66764204756846,3.03205128865523
"T6961",0.062070127,0.123420476,0.125597523,0.095994611,0.157692406,0.103524829,0.227648679,0.051048218,0.112960242,0.0517392150767504,1.62821912867307,2.99743914259874
"T6964",0.068060929,0.099493713,0.127565135,0.098494966,0.120088854,0.09061571,0.216109366,0.071404793,0.119689038,0.00049115184949084,3.29554671578403,4.46130299606564
"T6965",0.07096936,0.135381123,0.187687974,0.121711354,0.176900743,0.101270062,0.101270772,0.061398241,0.163423065,0.100874569813753,1.27658403946227,2.68871403021802
"T6968",0.237324574,0.06061759,0.079850125,0.122977828,0.138106163,0.12619729,0.103048891,0.064524918,0.183815105,0.281514303691367,0.578348868626867,2.07568439182746
"T6969",0.246524163,0.080714442,0.045936024,0.108093224,0.201272505,0.067898394,0.0542476,0.043772378,0.147318608,0.49610731539763,0.00975766812763392,1.57647828965266
"T6972",0.190228565,0.067858976,0.075924571,0.127671385,0.102559914,0.127286718,0.054923685,0.061179979,0.189105899,0.19943918236652,0.843626117988374,2.30858989851335
"T4105",0.228271335,0.137865918,0.296958801,0.097000772,0.263220917,0.113695072,0.195831605,0.067147853,0.122205233,0.33055011186343,0.438394650413229,1.9528087657256
"T4107",0.25404408,0.142015755,0.11760888,0.088835567,0.28622936,0.089307491,0.220299977,0.03597914,0.116440205,0.463502759749128,0.0916130036302897,1.64834483092627
