"","bdcA","dkgB","grxD","mepH","mhpT","nsrR","pgpC","rfe","rffC","rffG","rffH","rffM","tadA","tehA","tehB","tsgA","wecB","wecC","wecE","wzxE","wzyE","wzzE","ydbD","yeaE","pval","z","inv_cof_var"
"T6897",0.133902883,0.102248477,0.103443389,0.100662787,0.126966193,0.11078613,0.105308532,0.157999533,0.0946588,0.084106349,0.128480636,0.269515824,0.092099032,0.087474876,0.10150023,0.08410063,0.116156912,0.105728843,0.31895035,0.239455103,0.079631248,0.115396663,0.113547039,0.287515304,0.352494246975755,0.378595190817652,1.95455176963443
"T6901",0.122990572,0.107646357,0.2457222,0.102318034,0.100776089,0.27636538,0.097325132,0.138163043,0.103536908,0.096854655,0.127663032,0.280198232,0.105465718,0.095336872,0.106369892,0.096131196,0.106329309,0.107862204,0.30065059,0.221435351,0.103267979,0.120229867,0.112009364,0.18161781,0.256783035500643,0.653295068599431,2.21995854859163
"T0873",0.042023844,0.049606764,0.1674407,0.081548677,0.05417252,0.20703804,0.049168201,0.207045833,0.167381231,0.204748104,0.126430147,0.07183276,0.041309511,0.065880888,0.057651667,0.085764587,0.182597364,0.207016486,0.051352694,0.046226214,0.078005083,0.205435748,0.063369062,0.045831027,0.495283902162123,0.011821779538335,1.6001863054746
"T1653",0.055209029,0.055395479,0.206319139,0.055782,0.05522593,0.174478578,0.059104832,0.06112186,0.140735139,0.055474803,0.055956381,0.059982926,0.056885812,0.056592466,0.055770729,0.188065507,0.055377897,0.070523508,0.058079849,0.055733822,0.062578519,0.164210502,0.056273369,0.055262809,0.466166022604437,0.0849111275805646,1.67080304035127
"T1655",0.058642302,0.059327966,0.173619563,0.057966695,0.058422411,0.172853047,0.065016224,0.065226983,0.142997083,0.06935898,0.058014885,0.060806775,0.062624461,0.058420676,0.057971479,0.092566388,0.061481039,0.074724431,0.064663965,0.061545998,0.067881796,0.16357771,0.058063922,0.058735898,0.25915526841237,0.645951853136126,2.21286375415982
"T1656",0.054493869,0.054757838,0.07012759,0.055429039,0.054276984,0.162170666,0.064121031,0.066716276,0.129693315,0.05451655,0.058921934,0.060198891,0.059956415,0.057334463,0.05509716,0.092036784,0.055126841,0.07010471,0.061754678,0.057179141,0.070778305,0.152380374,0.055518446,0.054504464,0.116787271814247,1.19120136550003,2.73966747163162
"T1657",0.051617293,0.053224975,0.163362943,0.050011794,0.051136945,0.155248726,0.066691366,0.058669711,0.131433177,0.049430418,0.057429655,0.050502196,0.063410587,0.049166538,0.049975723,0.148952659,0.049367198,0.064904849,0.063543229,0.059098421,0.075610517,0.141836331,0.051751962,0.051619513,0.33615903467952,0.422968738922852,1.99742416029075
"T8307",0.049825371,0.047791512,0.174224046,0.179662463,0.057701654,0.17230605,0.056420407,0.17761839,0.075315888,0.160370347,0.113297836,0.051844294,0.052703635,0.05219543,0.048893862,0.062484415,0.111320754,0.1640747,0.05496816,0.049730551,0.061229187,0.098000208,0.08273179,0.048304644,0.408518307603346,0.231358097804759,1.81229570852829
"T8309",0.049006671,0.043645461,0.152402143,0.057362581,0.050646106,0.168042352,0.051013645,0.172048253,0.092948274,0.114498851,0.100042693,0.053967324,0.043728666,0.054089863,0.045472982,0.057256205,0.103785827,0.130600494,0.050009337,0.044674402,0.055868489,0.114388651,0.090141026,0.043486179,0.335192891941661,0.425618601122179,1.99998437763297
"T8315",0.062643315,0.072494623,0.260812862,0.103989702,0.066653978,0.165435088,0.064106914,0.159034787,0.123644955,0.160047244,0.124807956,0.071081895,0.055513957,0.071821821,0.10079509,0.073503217,0.138284211,0.167607539,0.062203423,0.055148484,0.070485789,0.16020958,0.078071844,0.054083913,0.345892298273777,0.396434395089126,1.97178747349817
