"","ihfA","pspA","pspB","pspC","pspD","pspE","pspF","pspG","pval","z","inv_cof_var"
"T6183",0.17271914,0.071288916,0.070626286,0.067912083,0.070632334,0.070044064,0.056768336,0.063606567,0.0114207312419193,2.27607597939566,23.8393896180105
"T6195",0.16514857,0.07365455,0.073853639,0.07146508,0.079578476,0.072627506,0.066358495,0.068684571,0.0315765318545253,1.85811233372028,20.3370667945027
"T6208",0.173421759,0.065510472,0.06972614,0.06783738,0.071784639,0.068227708,0.060632255,0.064789904,0.0054234919909328,2.5475900962215,26.1145398568001
"T6219",0.172781373,0.073219157,0.075649986,0.073587454,0.071197063,0.074566915,0.058314865,0.069196955,0.000847675384338048,3.13898335620513,31.0701146622654
"T3654",0.414892617,0.074280912,0.070750519,0.074800541,0.063834003,0.069868871,0.058225896,0.054917178,0.306177052230622,0.50671599714191,9.0130526555331
"T3656",0.448308036,0.058993135,0.067207536,0.071503846,0.059191568,0.066576005,0.051024429,0.045799507,0.406785737933823,0.235821123913061,6.74309136321169
"T7301",0.271958242,0.083214825,0.075695162,0.077875647,0.072732905,0.084828219,0.186599571,0.079963903,0.0669937235450317,1.4985614219693,17.324212979421
"T7303",0.283800735,0.082675196,0.070607402,0.072881726,0.079509455,0.086194593,0.201318411,0.063503464,0.30680021324421,0.504940785826243,8.99817728737193
"T7305",0.293624992,0.075218315,0.062038821,0.068133661,0.058405166,0.084423581,0.196864849,0.070109831,0.373722042031254,0.32201136583593,7.46532176428484
"T7306",0.285753169,0.083986159,0.069306011,0.07490421,0.056067054,0.086984234,0.215407194,0.073644102,0.408873884593216,0.230442719104962,6.69802306574522
"T7307",0.137027693,0.084350584,0.075623735,0.079375628,0.074173089,0.084922368,0.192157604,0.075809219,0.0729637896984034,1.45406754904613,16.9513769486862
"T7308",0.240031051,0.083849143,0.066572911,0.072560178,0.060029656,0.090873811,0.19783659,0.064505609,0.437141202801805,0.158221318504201,6.09284445203823
