"","ibaG","mlrA","murA","obgE","rplU","rpmA","yhbE","pval","z","inv_cof_var"
"T8378",0.104598983,0.209736134,0.202121255,0.278054679,0.303823579,0.296734458,0.290232627,0.32100973824975,0.464877091735033,3.13233296691119
"T8379",0.137294663,0.242099523,0.155787112,0.042714809,0.252218378,0.240867961,0.219744915,0.458828582660887,0.103385316638455,2.19865921434349
"T2409",0.389516401,0.557947417,0.226592292,0.186818107,0.16771519,0.321890482,0.30095171,0.327761058417537,0.44610400930827,3.08384518510212
"T2410",0.333187252,0.400266491,0.268234594,0.322245236,0.202312238,0.275472259,0.326118458,0.0698969557566028,1.47655891566658,5.74534059260986
"T2818",0.336644337,0.048644442,0.453176626,0.449255682,0.507438796,0.500604805,0.378555831,0.0395874917679912,1.75549319557415,6.46578192428744
"T2411",0.372819814,0.294827094,0.29143559,0.282207234,0.084789474,0.45594224,0.38058185,0.423495581153374,0.192958892164434,2.43001301587854
"T2412",0.378908633,0.367303303,0.295162103,0.271931424,0.151161687,0.311381774,0.388853658,0.275411931243592,0.596526041200009,3.47236053361232
"T2823",0.398222765,0.042167471,0.289130379,0.182827893,0.156777038,0.381005988,0.185554668,0.413357277282842,0.218917191276032,2.49705902967879
"T2827",0.387069742,0.329246655,0.306309116,0.171511649,0.15460142,0.401500659,0.172088489,0.438357399318358,0.155135116124579,2.33232042826164
"T2413",0.353328267,0.189741019,0.289510418,0.313001838,0.246262468,0.44350855,0.315252007,0.127707292453272,1.13729595561861,4.86908021039069
"T2414",0.390962961,0.322280491,0.315786483,0.319120046,0.179597522,0.500872197,0.311469576,0.314583884177429,0.482898554300604,3.17887943833744
"T2425",0.428184768,0.062527309,0.303982868,0.114565568,0.352576156,0.444240238,0.355161382,0.36862856989357,0.335487808522635,2.79814174619341
"T2426",0.426436937,0.058793672,0.31122015,0.115327173,0.360071216,0.441717916,0.376228287,0.36193568581343,0.35328955979656,2.84412073951839
"T2690",0.422174521,0.030402285,0.423025395,0.16682438,0.453584324,0.1532837,0.165783242,0.489850585323945,0.0254435547827356,1.99734847289128
"T2407",0.332324647,0.091304555,0.279669443,0.101114746,0.083994676,0.356342283,0.390892573,0.499048253770108,0.00238567627311294,1.937793768089
"T2408",0.334624124,0.219789886,0.240124529,0.172069281,0.258828076,0.216953463,0.294736116,0.168787013360096,0.958969666206974,4.40849275782152
"T2419",0.299820227,0.548170619,0.290712973,0.172983173,0.196629191,0.037293777,0.296270344,0.475539176949254,0.0613526590464865,2.09009577847057
"T2420",0.322010086,0.551305087,0.268153341,0.154109922,0.179907647,0.068932007,0.287057497,0.453852952893752,0.115932666919925,2.23106695479333
"T0320",0.292394697,0.038812815,0.164196951,0.214769237,0.299240298,0.285559053,0.204630005,0.177709798873532,0.924128151621973,4.31850286065435
"T5664",0.271334247,0.04950945,0.390595353,0.054999048,0.256278489,0.242677493,0.220200672,0.456800080775772,0.108498637123715,2.21186607949078
