"","clpC","ctsR","clpE","clpP","clpX","disA","lonA","mcsA","mcsB","radA","ysxC","pval","z","inv_cof_var"
"GSM672742",15.89411301,16.35571933,15.68112788,15.62225242,14.94641301,13.06752156,13.82056989,16.39776617,16.24893309,13.04444907,13.44939033,0.235463652320331,0.72097108581354,11.0448935804277
"GSM672743",16.25512491,16.33439926,15.97278996,16.10869665,15.13492268,13.78374796,14.58543234,16.40455576,16.31574647,13.61520669,14.15794052,0.0120116673704437,2.25675585225048,13.8212493835426
"GSM672744",15.4060026,15.68968439,14.74947249,15.94142974,15.35256022,13.43859219,13.57959368,15.90234647,15.91765762,13.0917539,14.18664647,0.0156831366624584,2.15239479479171,13.6325879032187
"GSM672745",15.42020595,16.27558253,14.34591822,16.0140948,14.97813903,14.32280074,13.7405171,15.86194312,15.72840799,13.81090595,14.12469963,0.000266621690881859,3.46347639374256,16.0027305723958
"GSM672746",15.94857249,16.10869665,16.00569294,15.93357807,15.30855836,13.85341561,14.05645093,15.98063123,16.06489257,13.76308848,14.12469963,0.00186681865841503,2.89983114549672,14.9837858673405
"GSM672747",15.71599665,16.13797361,15.53070669,15.79347546,15.11127918,14.18951673,13.99478104,16.4320948,16.20750632,13.65160669,14.13440409,0.00162379612077444,2.94327554452507,15.0623236364284
"GSM672748",15.64881152,16.21444944,15.66552974,15.67325911,15.25573643,13.93621227,13.9974171,15.99737658,15.92557398,13.57313309,13.98436729,0.00127036578047843,3.01844781450669,15.198218309014
"GSM672749",12.65605019,13.72151636,10.66082342,13.76423197,14.92148885,12.57254721,12.62842751,13.22549963,13.06224758,12.58472156,12.89897175,0.0703670603985772,1.47306273388794,12.4045072823203
"GSM672750",12.49265874,13.7109197,10.25133606,13.98971487,15.05480706,12.66502602,12.75551227,12.8108052,12.53718401,12.47901264,12.93148625,0.267588178365943,0.620123689696912,10.8625840149493
"GSM672751",12.57725279,13.41130855,10.46929405,14.16922491,14.79444089,13.00624349,12.75841524,12.85502825,12.49265874,12.48971413,12.62842751,0.127419260557967,1.13867550956023,11.8000098741948
"GSM672752",14.66175056,15.04970037,12.90971413,15.15316729,15.35256022,13.51480558,13.49333755,14.76762156,14.30661041,12.95315316,13.60378104,0.000402082744872211,3.35135703610871,15.800043818359
"GSM672753",14.40469851,14.79863755,12.54327509,15.15316729,15.28264684,13.50622305,13.49777063,14.46059071,14.35301933,13.07797286,13.52142082,0.000305561913144554,3.42662881360687,15.936118378307
"GSM672754",14.76762156,15.12831859,13.10225725,15.23706097,15.44358327,13.60160558,13.91315353,14.84911041,14.74487584,13.20505651,13.63034387,5.0404350100746e-05,3.88863714609112,16.7713262427241
"GSM672755",12.60967212,14.24770112,9.996260595,13.91563829,14.63629591,12.5327658,12.49575204,13.41992007,13.02854461,12.03948625,12.80153755,0.383133848251134,0.297260420434056,10.2789193434275
"GSM672756",12.90213346,13.6246145,11.67314796,14.2572026,14.78045019,12.42150967,12.63741822,13.00295056,12.93810186,12.12665576,12.84223494,0.00492088774505227,2.58133945772727,14.4080240386605
"GSM672765",12.49129033,12.62380409,9.176684015,13.37626729,13.92820372,11.72728216,12.41094461,12.17460074,12.26365204,11.37077807,12.58170112,0.444127688216189,0.14051212086498,9.9955534313234
