"","copA","csoR","copZ","sprB","yosX","yotB","yotC","yotD","yotE","yotG","yotH","yotI","yotJ","yotK","yotM","pval","z","inv_cof_var"
"GSM672615",8.734165056,11.31089517,11.35697063,7.848711896,7.454666543,7.311718959,7.392457621,7.809278067,7.868198885,7.732870632,7.705065799,7.479533457,7.236266543,7.162046097,7.212406691,0.480177472708181,0.0497081704707876,7.29730047276961
"GSM672622",9.049861338,11.42599665,11.30368922,9.564360967,7.986987732,7.630018959,8.078779554,8.295108922,8.325435688,8.299976952,8.302290706,7.833525279,7.760930855,7.673636059,7.741947584,0.300587924157576,0.522710330334936,8.48384347750121
"GSM672623",8.908124535,12.04866431,11.90309033,9.443779926,8.38036803,7.762834201,8.174248327,8.601725651,8.274050558,8.290675465,8.277677695,7.978186617,8.051954647,7.537504833,7.779686989,0.394752552107315,0.26695331759024,7.84226777207435
"GSM672629",10.21153717,11.07624796,11.78142621,7.47696803,9.165478253,8.015626766,8.205537918,8.337157993,8.100355762,8.162204833,7.922072862,7.910079368,7.914788104,7.877609665,7.901559108,0.478369431955977,0.054246386589396,7.30868475184149
"GSM672634",10.49665279,10.99196914,12.04223755,7.543907063,9.173247955,8.288367658,8.481003346,8.787394052,8.737226766,8.605266543,8.7329829,8.521008922,8.652879182,8.158015613,8.211057249,0.379045078175029,0.307989717749519,7.94520906427129
"GSM672635",10.58341933,11.08451636,12.158871,7.463176394,9.428277695,8.296945725,8.445179554,8.734165056,8.761433086,8.637964684,8.657939777,8.529390335,8.599350558,8.116738662,8.137154275,0.437403992220695,0.157554341307473,7.56783648814449
"GSM672636",10.43317955,11.20118141,12.03818364,7.417417844,9.299215242,8.098244981,8.502789963,8.697910409,8.717047212,8.570050929,8.764030483,8.382762082,8.362547955,7.99810855,8.016131413,0.436818960787572,0.159039286496855,7.57156152679416
"GSM672637",10.56290074,11.26607138,12.01371413,7.381439405,8.99717881,8.094953903,8.228271004,8.512473234,8.546823048,8.421766914,8.494200372,8.227065428,8.436698699,7.790382156,7.839541636,0.495613040343167,0.01099669874513,7.20019134753404
"GSM672638",10.59934572,11.01195019,12.06224721,7.630018959,9.466457621,8.257919703,8.489474349,8.736597398,8.805447212,8.617136803,8.683216729,8.439837918,8.636723792,8.034003346,8.043572119,0.416331722902823,0.211286847030788,7.70262641978246
"GSM672641",10.65846506,11.10790929,12.01371413,7.637442007,8.99140223,8.218820074,8.375895167,8.576081413,8.536066543,8.475504275,8.478445725,8.315149071,8.242130112,7.913758364,7.879058736,0.464517601083451,0.0890587721994483,7.39601287870563
"GSM672646",8.218820074,10.47872528,10.74941654,10.81124015,7.801209294,7.548252045,7.730020074,8.01508197,8.026884387,8.009399628,8.128590706,7.751708178,7.735995539,7.362719331,7.356145725,0.462319759202536,0.0945912270312216,7.40989124150532
"GSM672647",8.323040892,10.11590446,10.72404349,10.72635353,8.034003346,7.682123792,7.878071747,8.138221933,8.059950186,7.837495167,7.866197398,7.691536431,7.706968401,7.46360223,7.445059851,0.419199318167279,0.203942239498778,7.68420220647208
"GSM672654",10.34696877,10.82065651,12.13645688,8.411830112,9.144256877,7.943737175,8.70936803,8.707036803,8.699295911,8.586149442,8.62324461,8.101442751,8.684418216,7.793164312,7.965228625,0.404483121844159,0.241759859670415,7.77906907279494
"GSM672657",9.402522677,10.34221784,10.89814201,7.878071747,8.196510409,7.411239405,7.523432528,7.599091078,7.626144981,7.568715242,7.516815242,7.498145353,7.542924907,7.270249071,7.341880669,0.383322907988082,0.296765147063929,7.91705182323052
"GSM672658",9.846822305,11.05850781,11.27969628,7.586930855,8.878179926,8.005370632,7.904584015,8.040285502,8.049933457,8.039165056,8.03609145,7.859383271,8.007326394,7.600991078,7.635680297,0.356985470143369,0.36652824504667,8.09205507463977
"GSM672659",9.738382528,10.87543271,11.03757584,7.841605948,8.751308178,7.788498141,7.88627026,7.922072862,7.910605948,7.890224164,7.850618216,7.72153197,7.810275465,7.538505576,7.630018959,0.318060109803357,0.473130301547296,8.3594701842603
"GSM672666",9.144256877,10.59128327,10.35158587,8.03609145,8.317332714,7.648112639,7.726288476,8.065120818,7.876136059,7.764849442,7.760930855,7.48490632,7.425346468,7.335327509,7.314648699,0.1512311920127,1.03116727484012,9.75932609027216
"GSM672667",9.168436059,10.18235576,10.495429,7.740816729,8.279827881,7.514108178,7.72153197,7.871095539,7.864212268,7.739739777,7.531243866,7.399576208,7.404819331,7.34665948,7.309210409,0.222694759000785,0.763123882840917,9.08692955865267
