"","frlB","codY","frlR","frlD","frlM","frlN","frlO","yurJ","pval","z","inv_cof_var"
"GSM672711",14.177971,12.79829665,12.4688316,11.28562714,11.27969628,12.17600892,13.24606989,11.37801599,0.266863291425691,0.622327437983611,10.1121750090605
"GSM672716",15.68968439,13.04265836,11.47656617,12.73350074,12.42567472,12.83584424,14.02274981,12.58820112,0.196362806596072,0.854684898172624,10.5802270566135
"GSM672717",15.81157807,13.03040297,11.50542677,12.92503755,12.41861375,12.988971,14.19545279,12.63887881,0.213796899686428,0.793315893170002,10.4566076624938
"GSM672718",15.94142974,12.98202045,11.34575651,12.94970781,12.59782974,13.02196208,14.36337323,12.76007472,0.219753421631612,0.773026253899336,10.4157369833384
"GSM672719",15.12307993,13.30585762,13.21045353,12.04992751,11.6386974,12.08289703,13.49568401,12.18706394,0.339851056432777,0.412869657440789,9.69025120691866
"GSM672720",15.26837881,13.43237621,13.00715743,11.81923755,11.62863903,11.99779554,13.51808476,12.14044424,0.471063271616355,0.07259734034732,9.00481956804793
"GSM672721",14.95582342,13.30973011,12.81482881,11.65957844,11.37209145,11.74947844,13.21222714,11.92807175,0.452425385199592,0.119535937157802,9.09937089568139
"GSM672728",8.797762082,14.08209294,10.22354126,7.499429554,7.244748699,7.267130483,7.935463197,9.348395911,0.437428605803694,0.157491873974788,9.17582789400428
"GSM672729",8.393543866,14.06484089,10.36235093,7.318360967,7.132457993,7.231006691,7.588915242,9.38253829,0.494386608293736,0.0140711506953086,8.88692663325766
"GSM672734",9.292084387,13.49133829,9.945725651,7.665922677,7.471027323,7.437034201,7.985909665,9.228067658,0.371385799752041,0.3281852501202,9.51966615141853
"GSM672735",8.654768587,13.72863755,10.18469814,7.507008178,7.148817472,7.309753903,7.679235688,9.205351301,0.352923276379418,0.377440124877623,9.61888330142277
"GSM672736",9.037702974,13.20690632,10.09954424,7.699220446,7.426362454,7.424458364,7.909552788,9.271420074,0.298357520130767,0.529130333561815,9.92444229966032
"GSM672738",8.574934572,13.43859219,10.14274461,7.319883829,7.322794981,7.256120446,7.655596654,9.35735539,0.438001074260124,0.156039167007221,9.17290161623334
"GSM672758",15.91022379,13.07116617,10.74750632,13.11002677,12.84824535,13.15227509,14.3805052,13.10592714,0.0888824798399923,1.34766871186301,11.5732749373252
"GSM672759",15.78401747,13.01324461,10.55690632,13.20139963,12.84149294,13.02196208,14.37000297,13.28452677,0.0506670810110587,1.6384197498096,12.1589527913023
"GSM672760",15.72398736,12.98548327,10.6382342,13.15779442,12.6866171,13.06405353,14.33275836,13.06224758,0.0669643805189637,1.4987875284467,11.8776829450055
"GSM672761",15.32970632,13.14322714,10.99896283,12.04472491,11.73118327,12.16733941,13.4302974,12.06917695,0.411267504868072,0.224285690750613,9.31037482303498
"GSM672763",14.63204387,13.2139171,11.0609684,11.58623978,11.27084554,11.64474981,12.97032825,11.62372862,0.3726056520879,0.324960054569577,9.51316943992926
"GSM672764",14.30992379,13.01151115,10.76773309,11.22608885,10.80762305,11.32028439,12.39445725,11.1695632,0.458082503468925,0.105265664991729,9.07062540112729
"GSM672768",16.17336691,13.11539071,10.23955576,13.21777212,13.02354647,13.46367286,14.58543234,13.2904829,0.0978887772452947,1.2936754332801,11.464512926524
"GSM672769",15.78401747,12.75065836,10.54287175,13.30585762,12.73350074,13.08217286,14.5973803,13.04989703,0.0859456251347742,1.36615203026514,11.6105070322907
"GSM672770",15.84610186,12.97704498,10.69138996,13.11278271,13.00465167,13.20690632,14.30661041,13.08133792,0.0508309115267967,1.63684996350835,12.1557906733659
"GSM672771",15.5469539,13.2291658,11.07978216,12.25278848,11.72348773,12.29753643,13.56203011,12.25010112,0.444806394254471,0.138794185884275,9.13816398087598
"GSM672778",15.92557398,12.85840781,10.64447546,13.45520892,13.33142937,13.7109197,14.67824238,13.25970781,0.0124015572076348,2.24445541614585,13.3797280325537
"GSM672779",16.24893309,12.89065985,10.3563777,13.6246145,13.19966617,13.63154052,14.88755316,13.45315651,0.0546732610781858,1.60113725565553,12.0838523503158
"GSM672780",16.10096283,12.81230186,10.72067398,13.41578699,13.12422305,13.48460855,14.50400372,13.32318773,0.0450716620080976,1.69464216061015,12.2722050814252
"GSM672781",15.63036543,13.00544758,11.34097472,12.5077974,12.28154684,12.59049108,13.88738959,12.5312223,0.261360592555579,0.639156411287034,10.1460746540578
"GSM672782",15.28884089,12.90826059,11.24592528,11.92807175,11.7177487,12.03291822,13.56877881,12.06771041,0.451667526911673,0.121449446794229,9.10322539685649
"GSM672785",14.90736059,12.92150372,11.26607138,11.78200855,11.7111632,11.94797546,13.38685874,12.02449777,0.304773925446158,0.510718976536531,9.88735516096073
"GSM672806",14.98879926,12.5479145,10.14026543,12.08812974,11.59011673,11.99124944,13.29824572,11.83214907,0.333011749831979,0.431611911540938,9.72800489212506
"GSM672816",15.13492268,12.64667732,9.879227881,11.89799851,11.95618216,12.07855874,13.25168253,11.76691301,0.352325065406669,0.379050813258311,9.62212781095536
