"","liaF","liaR","liaG","liaH","liaI","liaS","ydhE","yhcY","yhcZ","yhdA","pval","z","inv_cof_var"
"GSM672805",10.38428922,11.16719814,10.51658141,9.572453532,9.180263569,11.22958513,9.698559851,10.17617398,10.70047807,10.25371375,0.419144618152066,0.204082235382198,15.4484367476895
"GSM672806",10.07056989,10.82892454,10.19692082,9.670372119,9.636028996,10.78990446,9.092279368,10.30216766,11.09029926,10.23788662,0.328311085096173,0.444581567931931,16.6065841970944
"GSM672807",10.28401264,10.9483658,10.57109665,9.434879926,9.150171375,11.12277175,10.10585762,9.870642007,10.49072788,9.921168401,0.352551768967006,0.378440296400307,16.2880746024413
"GSM672808",10.09834833,10.77595948,10.3503487,9.623286617,9.078164312,10.93189145,10.28280446,9.660145725,10.52138327,10.00012416,0.23854611309724,0.710987105680587,17.8894854458416
"GSM672809",10.17246059,10.78880818,10.30587918,9.759736431,9.445009665,10.8094145,10.31526468,9.685733457,10.44045019,9.856439033,0.0604003300015021,1.55142169258597,21.936678271272
"GSM672810",10.3660829,11.1518223,10.60271673,10.29861822,9.257236803,11.40038773,10.50383271,10.05959888,10.77595948,10.20901524,0.259299058568132,0.645507874230471,17.5741639682768
"GSM672811",10.47560372,10.90512491,10.7218171,9.677058364,9.239005576,11.10549071,10.26368476,9.917216729,10.48577063,9.966738662,0.249306095152955,0.676674986506007,17.7242521668782
"GSM672812",10.46563457,11.02147063,10.52528401,9.619959665,9.505805576,11.16270446,10.15073662,9.815632714,10.52022342,9.946295911,0.217459759815079,0.780801044518915,18.2256811198225
"GSM672813",10.4428803,11.07857138,10.8312829,9.766249071,9.464062082,11.24358141,10.16753123,9.919852788,10.57109665,9.87559145,0.272982168788812,0.603818471148499,17.3734046757884
"GSM672814",10.37321041,11.06673011,10.53447063,9.885793309,9.537186989,10.97578959,10.17371152,9.968082528,10.35981673,10.01256431,0.0732882817547082,1.45173047012918,21.4566056914759
"GSM672815",10.28526989,10.69834424,10.51055874,9.485410037,9.472736431,10.94953011,9.732179926,9.99890223,10.61555799,10.05336431,0.13845231240961,1.08729914845657,19.7016519408617
"GSM672816",9.975315242,10.60397212,10.25371375,9.590351301,9.241455019,10.76431338,9.267866914,10.1458684,11.10190223,10.20527881,0.346676726873779,0.394308276169315,16.3644883708366
"GSM672817",10.05774498,10.61440372,10.48817732,9.447581784,9.322251301,10.76898067,9.2174171,10.47617472,11.31439294,10.53447063,0.476555985975595,0.0587992925495165,14.748812894684
