"","appA/1","tnrA","codY","scoC","appA/2","appB","appC","appD","appF","oppA","oppB","oppC","oppD","oppF","pval","z","inv_cof_var"
"GSM672665",13.46367286,9.681794424,13.82056989,12.14741227,12.89065985,11.26048625,11.3258513,9.814483271,10.8252368,13.15227509,10.87543271,11.01554164,11.50287249,11.36244796,0.288046214043011,0.559101533733213,10.3834836555765
"GSM672671",14.00869331,13.10047026,12.36989182,13.34864684,13.6940316,11.85276729,11.7631513,12.08541747,12.22879703,12.24872342,10.1611948,10.25613717,10.91145613,10.61900669,0.468002838348398,0.0802911752356412,9.27595190814772
"GSM672672",14.07336952,14.16922491,12.33317249,13.64514461,13.44308773,11.8697881,11.70990037,12.05551227,12.39001859,12.40042639,10.10077323,10.25863271,10.75109331,10.55114572,0.48938346091404,0.02661485882679,9.15179372432234
"GSM672674",13.35631375,13.52764833,11.56050372,12.79503234,12.99076729,10.88349665,10.98734907,11.92156208,11.9151855,13.46569219,10.49909703,10.48335762,11.284429,11.09506729,0.259232445199482,0.645713539597189,10.5838250736357
"GSM672675",14.89277844,12.89897175,11.73350112,13.13193197,14.46409554,12.34349182,12.18706394,13.26165428,13.39298996,14.34949888,11.35058922,11.4645171,12.2190777,11.8217948,0.307585632643146,0.502705609410762,10.253034772205
"GSM672676",15.57326431,12.80000632,11.78955725,13.4345881,15.07704164,12.93638178,12.78051896,13.99478104,13.9789632,14.94641301,11.74086617,11.92156208,12.68502305,12.30192082,0.336269771842871,0.42266520750353,10.067894069595
"GSM672677",15.92557398,12.61394312,12.03818364,13.81582714,15.58944684,13.26739145,13.16499442,14.55173829,14.5149171,15.33721524,12.04601524,12.09369554,12.99767955,12.66355688,0.372853676399094,0.324304711799606,9.84037732992634
"GSM672678",15.87744201,12.18972751,12.10715093,13.90293309,15.60525576,13.40928959,13.23499331,14.72779442,14.78701431,15.58130781,12.05679591,12.28154684,13.02110836,12.79829665,0.360891411496397,0.35607710446166,9.91386975326367
"GSM672679",15.87744201,11.98454572,12.29611413,13.94646394,15.63036543,13.28071041,13.04114164,14.71898885,14.69077807,15.57326431,12.10581004,12.14592454,13.05331524,12.72266468,0.396095342366868,0.263466962005962,9.69965410173634
"GSM672680",15.95731301,11.67439108,12.37427993,13.91315353,15.68968439,13.46367286,13.2904829,14.70664796,14.86360112,15.59743048,12.18563792,12.30054126,13.15146599,12.67875353,0.361147474807949,0.355393323902521,9.91228810686843
"GSM672681",16.16355818,11.37323197,12.82326543,13.93848699,15.73282862,13.4511197,13.42815502,14.88755316,14.8357223,15.60525576,12.13522082,12.30598216,12.9836684,12.73028625,0.413619114232538,0.21824499566973,9.5950515957344
"GSM672683",12.26155651,9.499448699,13.61633086,12.36989182,11.84372045,10.52265576,10.49909703,9.70122342,10.29357361,13.98971487,11.48984164,11.69475316,12.24872342,12.30746208,0.432355522908512,0.170380323048901,9.48433627062282
"GSM672695",15.01087881,9.323555762,13.86665948,13.58615465,14.68655279,12.74146729,12.95834721,12.38714758,13.29238922,13.81818216,11.37077807,11.90309033,12.54641822,12.39445725,0.136196913135043,1.0975665034354,11.6290019244267
"GSM672696",14.29121375,9.933119331,13.40928959,13.54124015,13.93093309,11.71235911,11.72085651,12.16890595,12.62092416,12.84223494,10.697229,10.90797509,11.50417435,11.36494387,0.277088376475856,0.59151299165133,10.4584542947611
"GSM672697",14.55173829,10.53548253,13.3702461,14.10461152,14.18664647,12.1767184,12.03546171,13.06224758,13.21581859,13.24435279,10.80887472,10.91700595,11.4562539,11.44123439,0.386667799097523,0.288014553769876,9.75643490590851
