"","adhA","adhR","yraA","pval","z","inv_cof_var"
"GSM672763",8.506366543,8.71195948,10.95765093,0.452108239653469,0.120336641462171,5.61466422145157
"GSM672764",8.562611152,8.734165056,10.96359368,0.419881792397494,0.202195891643902,5.75060904714119
"GSM672765",8.568848327,8.631756506,11.10436394,0.482790226864484,0.04315189228942,5.48648240633731
"GSM672766",8.694789963,8.691702974,11.04938625,0.37834557850201,0.309828789888064,5.92935653820405
"GSM672768",8.555434201,8.584775836,10.97694387,0.43096111303595,0.173927772374585,5.70366377781477
"GSM672771",8.799050186,8.910728996,11.22137844,0.397989598703432,0.258554235601086,5.84420415372238
"GSM672772",8.755684387,8.962276952,11.22497212,0.426703848953895,0.184772219962225,5.72167330677733
"GSM672773",8.695480297,8.858484387,11.09029926,0.398489492250105,0.25725881377527,5.84205282819821
"GSM672774",8.735318587,8.862331599,11.19147212,0.423143524726371,0.193858027396836,5.73676223692519
"GSM672775",8.568189033,9.270202602,10.96861338,0.418832595621314,0.204880883393284,5.75506805127985
"GSM672777",8.780972862,8.536673606,10.92560651,0.257230177201009,0.651908262525534,6.49745280315221
"GSM672779",8.443499628,8.581058364,10.93927732,0.481573603600454,0.0462045610074902,5.49155201686813
"GSM672781",8.546823048,8.618903532,11.00848364,0.451498685046083,0.121875814447035,5.61722034800623
"GSM672782",8.449340892,8.758811152,10.7218171,0.370138578747046,0.331486339879438,5.96532354073468
"GSM672783",8.494804275,8.941266543,10.65589554,0.304118275785278,0.512592284246083,6.26608876865479
"GSM672797",8.663332342,8.854895539,11.13001301,0.437984588630848,0.156080996637897,5.67402538250502
"GSM672798",8.667276208,8.796410037,11.23069257,0.482242548067201,0.0445260393773565,5.48876447202844
"GSM672799",8.811955762,8.917146097,11.37209145,0.461625288512436,0.0963399576754101,5.57481258602518
"GSM672800",8.77573197,8.749409108,11.38512714,0.488358111197949,0.0291860306740583,5.46328910052654
"GSM672807",8.742515613,8.894226394,11.23992454,0.44184953370439,0.146281629475733,5.65775143352831
"GSM672808",8.649103346,9.091635688,11.00017212,0.382851984452837,0.297998944904991,5.90971054571586
"GSM672810",8.974035688,9.326156134,11.39931487,0.375913287735024,0.316231795916078,5.93999010174678
"GSM672811",8.835132714,9.078768959,11.34575651,0.435650885883088,0.162005183736972,5.68386376461515
"GSM672812",8.891684015,9.045071375,11.40160372,0.427778548627378,0.182032657255192,5.71712367587005
"GSM672813",8.910728996,8.909420074,11.27969628,0.356296460423252,0.368375959194658,6.02658665829843
"GSM672817",8.409305576,8.70936803,10.52649517,0.291978762571787,0.547613198051786,6.32424850029462
