"","cydA","resD","ccpA","rex","cydB","cydC","cydD","pval","z","inv_cof_var"
"GSM672780",7.739739777,11.60768401,13.39496283,12.01517881,7.881148327,8.007326394,7.772822305,0.124338237699281,1.15357006884049,64.9430744465551
"GSM672781",7.955817844,11.58623978,13.42815502,11.93087695,8.004321933,8.424176208,7.954822677,0.465415074644523,0.0868004256419906,35.5472829571867
"GSM672782",7.887707435,11.58383606,13.24435279,11.58188532,7.94874052,8.169930112,7.939507435,0.133212672316889,1.11133229188049,63.7791747308041
"GSM672783",8.021720446,11.47787249,13.45721859,11.61507807,8.035083271,8.329036803,8.038658178,0.219488893542647,0.773920531760384,54.4814919463438
"GSM672784",7.977637546,11.61378959,13.7522145,11.82046914,7.846815613,8.059950186,8.058956134,0.046125659886965,1.68363970844639,79.5496173867729
"GSM672785",7.854380669,11.45741599,13.15065688,11.73118327,7.919985874,8.315149071,7.929290335,0.427594619828107,0.182501420532134,38.1844094531009
"GSM672786",7.754774349,11.66334796,13.1395539,11.54112342,7.728157621,7.935463197,7.782479554,0.0324866631570928,1.84544160065623,84.0082132198197
"GSM672787",7.583214498,11.61507807,13.28163141,11.59519071,7.623303717,7.88725316,7.779686989,0.21644389022565,0.784259633081792,54.7663951291156
"GSM672788",7.513250186,11.87752714,13.15597175,11.72211413,7.63140855,7.762834201,7.661118587,0.0672422587529096,1.49664936704401,74.396931311165
"GSM672789",7.806252045,12.80000632,13.57092379,12.38281004,7.929290335,8.241036059,8.016636059,0.352165918867919,0.379479482220459,43.6123160928219
"GSM672790",7.945713755,12.36678959,12.70008885,11.77697584,8.067376208,8.197505948,8.034003346,0.0549046891205793,1.59905051743421,77.2186865835744
"GSM672791",8.084459108,12.08217398,12.81725688,11.57153606,8.184770446,8.374791822,8.199758736,0.102587241816802,1.26694632291681,68.0672585156485
"GSM672792",7.908544238,11.84306357,12.80470855,11.76691301,8.035083271,8.111744238,8.068419703,0.0165761961182074,2.13023287448067,91.8558914479273
"GSM672793",7.665922677,11.66334796,12.86480892,11.4657,7.772822305,7.964062082,7.954822677,0.225448395145399,0.753920782974963,53.9303809835559
"GSM672794",7.609332714,11.96963309,12.33601004,11.88390743,7.621493309,7.864212268,7.765379368,0.13781513103823,1.09018817298469,63.1965296262585
"GSM672796",7.698738662,12.01111041,12.38563941,11.69867212,7.654683271,7.783582528,7.55006171,0.0483026700135148,1.66153851624343,78.9405992713746
"GSM672797",8.006855762,12.96701115,13.74402658,12.51146599,8.15352119,8.34082119,8.076719703,0.19765045639141,0.850043480617993,56.5791278759385
"GSM672798",8.010395911,12.85502825,13.77875762,12.42432045,8.134901115,8.421766914,8.069449814,0.336963809244625,0.420763730837606,44.749940482382
"GSM672799",8.359057249,12.35933978,13.08980112,11.60519591,8.385220818,8.705665428,8.424176208,0.237767459599646,0.713502415101731,52.8166167122183
"GSM672800",8.397209294,12.20908513,12.8108052,11.69090818,8.506366543,8.768963569,8.495408178,0.228000813684651,0.745446855323956,53.6968743292251
"GSM672801",8.122149442,12.23579331,12.90971413,11.79238513,8.259020818,8.390028625,8.261359108,0.0622217399648699,1.53638705419171,75.4919388164039
"GSM672802",7.996134572,12.19392119,12.74445799,11.9466974,8.123189219,8.363724164,8.102525651,0.241502471712898,0.701477705133403,52.4852650758057
"GSM672803",8.048987361,12.10581004,12.88900186,11.74700781,8.34812974,8.583566914,8.409305576,0.437370630941483,0.157639010584767,37.4993035135049
"GSM672804",8.421766914,12.15447286,12.92910465,11.82298996,8.477917844,8.97785948,8.53189368,0.49034457594462,0.0242049222560328,33.8224078846371
"GSM672805",7.715651301,11.96693457,12.67568848,11.8179803,7.862260595,8.245420446,8.053842379,0.479149385306921,0.0522885575298686,34.5962775687218
"GSM672806",7.141876952,11.77697584,12.14111636,11.96963309,7.329580297,7.537504833,7.427298885,0.349116648350525,0.387706430189606,43.8390170011547
"GSM672807",8.466633086,13.22549963,13.65160669,12.48895316,8.459275093,8.67227658,8.403292565,0.079263448935502,1.41004329976841,72.0104236789131
"GSM672808",8.35422974,12.99944721,13.77875762,12.25859294,8.329036803,8.590889591,8.31790539,0.124951713284556,1.150583980345,64.8607901077177
"GSM672809",8.823742007,12.40042639,13.25369033,11.85426952,8.581058364,8.815912639,8.637964684,0.0878611108628533,1.35404437238393,70.4673231571482
"GSM672810",8.809375836,12.70469665,13.02196208,11.9097197,8.788727138,9.281081041,8.786026394,0.449816194761932,0.126125743879609,36.6309272683428
"GSM672811",8.747633457,12.52257955,12.94134015,11.89925465,8.686794052,9.041450186,8.558926394,0.362040030664782,0.353011176920132,42.8829582706847
"GSM672812",8.550620446,12.25010112,12.85079387,11.70109888,8.584775836,8.928771375,8.487209294,0.35234244577871,0.379004002598668,43.5992138266404
"GSM672813",8.836514498,12.50924944,12.92588699,11.86000874,8.894226394,9.198179926,8.702976208,0.366695668919607,0.340617786268074,42.541447308335
"GSM672814",8.939422491,12.30054126,13.15779442,11.8217948,9.057098141,9.058432714,8.927639405,0.000422264238093918,3.33777255857018,125.130727299277
"GSM672815",7.796198141,12.07931208,12.58472156,11.74211264,7.969496654,8.236467658,8.046743123,0.348412815525839,0.389609087839888,43.8914464341817
"GSM672816",7.154222305,11.8179803,12.18289145,11.68967509,7.286697026,7.622386245,7.45873513,0.455859480134395,0.110870599204785,36.2105581147392
"GSM672817",7.651796654,11.72986729,12.29753643,11.80505465,7.820356506,7.808284015,7.694331227,0.0153421268454037,2.16114353302078,92.7076622862123
