"","ascR","cymR","cysC","cysH","cysP","sat","snaB","sndB","ssuA","ssuB","ssuC","ssuD","tcyP","ydbM","yetJ","yezD","ygaN","ylnD","ylnF","yxeK","yxeM","yxeN","yxeO","yxeQ","pval","z","inv_cof_var"
"GSM672731",7.654683271,12.08289703,9.758434201,9.919852788,9.498252045,9.006797026,8.620707063,8.628068773,7.162046097,7.137790335,7.297434572,7.936460595,9.371142751,12.02602751,12.64338773,7.875115242,9.590351301,9.814483271,12.24872342,8.528111524,8.9752171,8.714569888,9.06446803,8.557764684,0.130141175641905,1.12572402489992,6.04865467720273
"GSM672732",7.670738662,11.27676561,9.94911487,11.17905353,10.36235093,9.106116729,8.381562454,8.573867658,7.142574907,7.098571004,7.252905576,7.71755316,8.904501115,10.05462639,10.92615725,7.846815613,10.49072788,9.971773978,12.89724424,8.299976952,8.757617844,8.713237546,8.890312639,8.398508922,0.102384158865294,1.26808298326424,6.20325057451691
"GSM672733",7.68679368,12.34492491,9.630962082,9.053477323,9.052309665,8.799050186,8.526891822,8.388984758,7.05993829,7.031287732,7.403995539,7.896279926,9.46970539,12.06917695,12.72266468,8.12430632,10.01496245,9.788014126,12.1883777,8.287225279,8.505152788,8.56752974,8.739067286,8.319688104,0.166128974113016,0.96957586445875,5.87908428096828
"GSM672734",7.829472119,11.25086022,12.20774981,12.29753643,11.55933717,11.09734126,8.474837918,8.543130112,7.098571004,7.19709461,7.258772305,7.962027881,8.654175465,11.86852528,9.923634944,8.289634201,10.19320037,12.28742007,13.17062045,8.405745725,8.951537918,8.746243494,8.886296654,8.373463569,0.419927738146655,0.202078345663978,5.04561395379129
"GSM672735",7.731850929,11.8141171,11.72477063,12.00101413,11.2363461,10.49302193,8.143390706,8.34082119,7.100415613,7.064322677,7.313760595,7.644668959,8.59803829,11.67439108,9.84866803,7.873057621,10.1039619,11.56918327,13.0917539,8.216013569,8.523357993,8.467777323,8.460543123,8.163278439,0.39895589915023,0.256050558310829,5.10422552794188
"GSM672736",7.74493197,11.14480149,11.71712751,12.16032193,11.2329223,10.54747175,8.244351301,8.381562454,7.17327026,7.047502974,7.277718216,7.719550558,8.574934572,11.77697584,9.513952416,8.112798513,10.20419591,11.61993123,12.91488662,8.252212268,8.544313755,8.448307063,8.59803829,8.139266914,0.379251708052834,0.307446661475835,5.16003955453031
"GSM672737",8.856034201,12.72717732,10.71119851,11.14255428,10.68960316,10.10964312,10.23788662,9.283654275,7.144603717,7.11902119,7.133884387,7.512286617,11.84180874,10.76070037,13.60378104,10.41760929,9.816794796,10.38901375,11.57879851,10.10699257,10.31040186,9.976483271,9.986601859,8.913276952,0.101345564458589,1.27392180763725,6.20959129450796
"GSM672738",10.85929926,12.76756729,13.80827249,13.12244907,13.09676506,12.84362528,12.37136022,12.26726022,7.210253903,7.124948327,7.211249442,7.529796468,14.26946022,11.19147212,13.9254487,12.39750149,9.715221933,13.54925019,13.52354052,12.34492491,12.91223699,12.80614647,12.96701115,11.78330967,0.415908195094255,0.212372561631718,5.05679304341771
"GSM672739",11.01674572,12.91305019,13.30389257,12.80310595,12.73666097,12.48055799,12.80614647,12.62092416,7.274337546,7.180852602,7.315667658,7.706005204,14.13440409,11.25459517,13.56877881,12.3463026,9.482872862,13.54539665,13.39879777,12.59350818,13.59271896,13.06578587,13.49568401,12.13388587,0.381843969419208,0.300641425693658,5.152649352015
"GSM672740",11.8077974,12.08955204,14.44320929,13.94646394,13.7935658,13.49133829,12.57407212,12.23010929,7.344720818,7.197662082,7.295504833,7.940559851,13.92297026,12.75551227,13.34954926,12.9836684,10.02011078,14.11600446,13.40705576,12.64033755,12.89897175,12.8811052,13.05679517,11.20930781,0.392386909942735,0.273103287257926,5.12274408106648
"GSM672741",11.40524758,12.48971413,14.42039387,13.60160558,13.74743383,13.48460855,12.46005688,12.32875093,7.509637546,7.530228253,7.39422342,8.073602602,14.22564647,12.56771524,12.89724424,12.47901264,10.00747918,14.39460335,14.07618625,12.65458104,12.78130167,12.68944535,12.89065985,11.8179803,0.342748508334132,0.404973463891653,5.26594959844248
"GSM672742",11.74700781,12.61107732,14.33589145,13.48236691,13.36832156,13.33519294,12.78208439,12.76159257,7.945713755,8.064017472,7.882130855,8.318478067,14.44320929,12.62842751,13.06050818,12.56328699,9.996260595,14.20445688,13.86665948,12.96858699,13.30210743,13.05512156,13.25572045,12.23151078,0.209881257638195,0.806833327405537,5.70235266649172
"GSM672743",11.14255428,12.88597286,12.97545799,12.158871,12.39750149,12.10021896,13.02854461,12.86961896,7.47696803,7.506061338,8.123189219,8.760095167,13.50399368,12.2163461,11.23750149,10.69380223,9.777935316,13.04265836,12.69099182,13.08627212,13.42184944,13.31923978,13.44939033,12.47040149,0.158278362009345,1.00155880800433,5.91381642507069
"GSM672744",9.286335316,13.21777212,12.55260149,11.59898848,11.66706952,11.54768439,11.41994833,12.2903119,7.499016357,7.385176952,8.052826022,8.618287732,12.44432993,11.26048625,11.62122007,9.748265056,9.646335316,12.69711524,12.61394312,11.25331078,12.05809554,12.1967829,12.70550669,12.08006543,0.0832326182589766,1.38365135109878,6.32875300676142
