"","yrkN","yrkP","yrkO","yrkQ","yrkR","pval","z","inv_cof_var"
"GSM672792",9.950405576,9.125550186,9.034102602,9.151350929,9.218575465,0.434605726454061,0.164660190069511,25.0056890159325
"GSM672796",9.316182528,8.950156134,8.357856506,8.835132714,8.880273792,0.392488381614183,0.272839280458742,25.8953403761446
"GSM672797",9.7712,9.081620818,8.980534201,9.247679926,8.9676171,0.314049072423902,0.484405459153556,27.635234268518
"GSM672798",9.806930483,8.944384572,8.984360223,9.30159777,9.146624535,0.365333498882326,0.344238410897313,26.4825179285172
"GSM672799",9.715221933,9.074196283,9.012932342,9.259670632,8.974035688,0.211273322067222,0.802010915510966,30.247181967861
"GSM672800",9.699892193,9.000723048,9.143704089,9.212445725,9.046287732,0.130712423736745,1.12302977862458,32.8872010990555
"GSM672801",9.873116357,9.247679926,9.078164312,9.256607621,9.383746097,0.187172202877451,0.88836507456286,30.9573478121482
"GSM672802",9.64251487,9.15257658,8.999601115,9.188394796,9.020110409,0.0771573222820588,1.42445554659573,35.3660890571042
"GSM672803",9.555390335,9.06446803,8.83260855,9.158375465,8.840472491,0.195303859399764,0.85851578364982,30.7118709629105
"GSM672804",9.624618587,9.063879926,8.705665428,9.182578067,8.894226394,0.377179891746024,0.312895859368917,26.2247606900395
"GSM672805",9.245291078,8.813281784,8.586149442,8.922488848,8.80170855,0.0542842457495647,1.60466071674465,36.8480739227876
"GSM672806",9.009402602,8.565359108,8.241036059,8.554138662,8.404481041,0.224300015991911,0.757751049071531,29.8831943410565
"GSM672807",9.857714498,9.074196283,9.079373606,9.188394796,9.107285874,0.318815948141381,0.471012377070203,27.5250912302468
"GSM672809",9.987783271,9.058432714,9.148971747,9.257236803,9.249302416,0.426361089173174,0.185646254287589,25.1782757931917
"GSM672811",10.05217361,9.204114126,9.159348327,9.271420074,9.184917472,0.454360926708205,0.114650874639177,24.59441863701
"GSM672812",9.961820446,9.148971747,9.166081041,9.211330855,9.290828625,0.330362837005553,0.43891148566676,27.2610974991261
"GSM672813",9.788014126,9.090420074,9.110960595,9.286335316,9.224525279,0.135815750471304,1.09931314436447,32.6921584540004
"GSM672814",9.735805576,9.109746468,8.956904089,9.30159777,9.143151301,0.185163914367266,0.895859459245915,31.018980697979
"GSM672815",9.448824164,8.9701171,8.735318587,8.983071375,9.108434572,0.089971738643921,1.34092908717044,34.6791778622139
"GSM672816",9.076839777,8.714569888,8.383890706,8.784646468,8.734165056,0.0755290124885307,1.43580433841273,35.4594201069441
"GSM672817",9.173247955,8.878179926,8.317332714,8.940002974,8.786026394,0.297870697448441,0.530534500869134,28.0145937598937
