"","guaD","pucR","pucA","pucB","pucC","pucD","pucE","pucF","pucG","pucH","pucI","pval","z","inv_cof_var"
"GSM672725",8.208771747,8.814584758,7.139126022,7.261334201,7.529364684,7.738784015,7.793164312,8.505759665,9.295815242,8.518662454,7.409791264,0.44287476603066,0.143684600456339,11.6519628775722
"GSM672726",7.584669703,8.844527881,7.048875836,7.171866543,7.280539219,7.619773234,7.547315613,8.047924535,8.958167286,8.272876208,7.536569888,0.252414597751322,0.666910669241011,13.3926075925601
"GSM672727",8.148954275,8.871863197,7.112858736,7.190951301,7.34665948,7.681131227,7.776724164,8.288367658,9.287444981,8.390028625,7.475986245,0.431756338125643,0.171904414159711,11.7458432717483
"GSM672731",8.088671747,8.675730855,7.193237918,7.131196654,7.503384387,7.812289591,7.838514126,8.415459851,9.212445725,8.447001487,7.395525651,0.38975605905215,0.279954884737304,12.1053006684329
"GSM672733",8.110748699,8.672866357,7.279125651,7.314648699,7.400432342,7.724405948,7.791298513,8.311623048,9.210145725,8.397209294,7.490282156,0.299487467666516,0.525875179406741,12.9234171323524
"GSM672735",8.836514498,8.647807807,7.321295167,7.357145725,7.342844981,7.701094424,7.72549145,8.066166171,9.182578067,7.832513011,7.252905576,0.420708491799198,0.200081318538377,11.8395809171324
"GSM672737",7.83154052,9.048547212,7.014496283,7.221266543,7.32036171,7.813247212,7.808284015,8.332564684,8.919800372,8.428883643,7.654683271,0.261924989122494,0.637422036435435,13.2945061486384
"GSM672738",7.780598141,8.864891078,7.078821933,7.10982342,7.253958364,7.775827509,7.731850929,8.267149814,8.713237546,8.239889591,7.647627881,0.153701931175395,1.02068466474767,14.5695268485314
"GSM672739",7.978186617,8.942527509,7.150183271,7.137790335,7.427739777,7.815310781,7.858394796,8.42776171,8.919800372,8.402105204,7.667318959,0.229010404392228,0.742109806429258,13.6427766657915
"GSM672740",8.751308178,8.853779182,7.259303717,7.192633829,7.324245353,7.807745167,7.766921933,8.171969145,8.579858364,8.247687361,7.505216357,0.188227970216717,0.884445184784282,14.116291536075
"GSM672741",8.288367658,8.640388476,7.197662082,7.156690706,7.283242937,7.55949145,7.554816729,7.979769517,8.421766914,8.062080297,7.715651301,0.0372773457585661,1.78319422936149,17.1062090265729
"GSM672742",8.431318959,8.729819703,7.155304089,7.22019777,7.339055019,7.581318587,7.568715242,8.04244052,8.539452788,8.126315242,7.682123792,0.0829203985371539,1.38569257278137,15.7838185743306
"GSM672743",8.467777323,8.34082119,7.368476952,7.314648699,7.443756134,7.667759108,7.661118587,7.89222119,8.366150929,8.050930112,8.849630483,0.108052617851728,1.23695110448721,15.2889922150723
"GSM672744",8.082105948,8.437373606,7.279125651,7.274337546,7.511424907,7.714724907,7.72153197,8.043572119,8.419263569,8.275239405,8.836514498,0.094299007087435,1.31473787098083,15.5477696959184
"GSM672745",8.298687732,8.484646468,7.158062082,7.108245353,7.325028996,7.869624907,7.994171375,7.823384758,8.395967286,8.332564684,8.369905204,0.0979700507886555,1.29320518867782,15.4761357466824
"GSM672746",8.416739033,8.321933829,7.344720818,7.389022677,7.527991078,8.142416357,8.008884387,8.283497026,8.786026394,8.730405576,8.344507435,0.0997969606355132,1.2827093547748,15.4412186832893
"GSM672747",8.339630112,8.12430632,7.296479182,7.380567286,7.442474721,7.905511896,7.780598141,8.184210409,8.445179554,8.290675465,8.308172862,0.0189242254444518,2.07649220972437,18.0819394228453
"GSM672748",8.437373606,8.142903532,7.235772119,7.279125651,7.370159108,7.854380669,7.905511896,8.383890706,8.579858364,8.574934572,8.372318216,0.146387465240334,1.05205366152003,14.6738838018711
"GSM672749",8.038151301,8.579858364,7.243707063,7.449311524,7.441605204,7.771924164,7.848711896,8.790155019,9.131537546,8.721894796,7.885725651,0.340556608398078,0.410944519672281,12.5410710349541
"GSM672750",8.151339033,8.476170632,7.186738848,7.202439033,7.277204089,7.671643494,7.611296654,8.519863197,8.874475465,8.309239405,7.768869517,0.249156886093424,0.677145295830031,13.4266556833279
"GSM672751",8.344507435,8.639073606,7.225149071,7.18144684,7.462750558,7.648633643,7.691536431,8.652879182,8.867563197,8.442299257,7.833525279,0.272084812768147,0.606519819340986,13.191702056725
"GSM672752",8.611122677,8.760095167,7.323299257,7.333413755,7.367472119,7.625234944,7.579540892,8.461734572,8.79387881,8.218820074,8.285950558,0.206004052768907,0.82036492320134,13.9031122330665
"GSM672753",8.400856506,8.566478067,7.350038662,7.434428625,7.533924535,7.703069517,7.679235688,8.330175836,8.737856134,8.305863941,8.327762825,0.0623079689583296,1.53568384991205,16.2828027408463
"GSM672754",8.777056877,8.792524907,7.438816357,7.500678067,7.730020074,7.89677342,7.713698885,8.523357993,8.821174721,8.443499628,8.409305576,0.0992336208577744,1.28593071889889,15.4519353711078
"GSM672755",7.680215613,8.62690223,7.213489591,7.198866171,7.303552045,7.702029368,7.515874349,8.663332342,8.854895539,8.474837918,7.521367658,0.331230094889293,0.436519037573599,12.6261511792342
"GSM672756",7.857855948,8.629306691,7.16059777,7.175556134,7.185085502,7.605464312,7.721073978,8.514854647,8.700556506,8.315149071,7.524751673,0.220063183650519,0.771979840953448,13.7421469396233
"GSM672757",8.019628996,8.70175539,7.186222677,7.195415613,7.254489033,7.538505576,7.465363941,8.361323792,8.753835688,8.406797398,7.515874349,0.231984681175334,0.732326411678891,13.6102297126047
"GSM672794",8.825094796,8.334871375,7.261334201,7.58419145,7.307651301,7.567879926,7.592206877,8.438575465,8.894226394,8.387723048,7.330529368,0.372336698891669,0.325670854499197,12.2573864797179
"GSM672803",9.084210409,8.886296654,7.543907063,7.565977695,7.678755019,8.075726022,8.055470818,8.989582156,9.283654275,8.837883643,7.535639777,0.442512178384084,0.144602964167186,11.6550180482433
"GSM672816",8.630512268,8.521008922,7.255570074,7.426830669,7.464086617,7.714211896,7.74493197,8.811955762,9.287444981,8.122149442,7.348572862,0.481466519990904,0.0464732681536855,11.3285646336686
