"","fabL","spoVT","yfhP","sspE","pval","z","inv_cof_var"
"GSM672724",13.24083643,12.20653755,10.7172513,14.3392342,0.0615544482716978,1.54185473962272,17.7550023322397
"GSM672725",12.91142379,11.98320223,11.2284513,14.47455279,0.365489817296357,0.343822690841031,12.3884911284571
"GSM672726",13.12992751,12.03546171,10.51419851,14.40846283,0.163974598514086,0.978253024610466,15.2303829606961
"GSM672727",12.95488401,12.01111041,11.06557435,14.27893866,0.204671038761854,0.825051985348973,14.5441282862372
"GSM672728",12.22743866,10.61900669,11.1592223,13.78122565,0.412731709329796,0.220523569092988,11.8361802625246
"GSM672729",11.7060368,10.64203271,11.41876506,13.23309777,0.437934250864958,0.156208722306607,11.5480858445166
"GSM672730",11.96150149,10.41887398,11.61507807,13.57750632,0.4709374690803,0.0729135162513398,11.1749700693823
"GSM672731",13.05512156,12.12079071,10.92735539,14.53674944,0.302267265644565,0.517890699684616,13.1682181154181
"GSM672732",12.13388587,11.81669368,11.57506468,13.4511197,0.259699551106152,0.644271948924557,13.7343351827235
"GSM672733",12.99767955,11.90698848,11.20569219,14.24770112,0.15414694147404,1.01880851395631,15.4120487918988
"GSM672734",11.91238699,10.33478216,11.13599963,13.42601599,0.412652987384053,0.220725757126929,11.8370859514421
"GSM672736",11.99907435,10.25133606,11.29045911,13.52354052,0.4125402743528,0.221015262967009,11.8383827751256
"GSM672737",13.20690632,11.76959033,10.30466134,14.51143346,0.175594870985579,0.932284062470417,15.0244678095933
"GSM672738",13.07116617,11.75559182,10.32377435,14.18104015,0.0729401311478133,1.45423825516245,17.3625296550937
"GSM672739",13.27106394,11.96003271,10.25613717,14.5973803,0.185381003164216,0.895046920810024,14.8576663136563
"GSM672740",12.77412974,11.35768476,11.64227658,13.97082379,0.134337447084409,1.10611928139322,15.8031520283585
"GSM672741",12.8156342,11.83540297,11.77321896,14.09866691,0.186853538129999,0.889550908205871,14.8330472617316
"GSM672742",12.75551227,11.55055688,11.7644632,14.01974312,0.178411327873312,0.921436354405754,14.9758761655521
"GSM672743",13.22549963,12.4632171,11.68483494,14.64447732,0.248688805810423,0.678621665481297,13.8882026347136
"GSM672744",13.07616431,11.97911264,11.73589108,14.57238123,0.310227307381745,0.495206143072293,13.0666040331098
"GSM672745",13.60618996,10.95058736,11.4562539,14.8030119,0.0925441053883745,1.32525010816457,16.784735148909
"GSM672746",12.89065985,12.40042639,12.84514201,14.60165465,0.454371328538295,0.114624629226958,11.3618124458726
"GSM672747",12.98202045,12.16890595,12.56328699,14.33275836,0.220539445526914,0.770372618427759,14.2991954102788
"GSM672748",12.99432751,12.41861375,12.5494855,14.60551747,0.388864804368849,0.282278971220933,12.1128098049069
"GSM672750",13.05679517,12.3790316,11.03527658,14.32645576,0.16287003201356,0.982730563746377,15.2504398230836
"GSM672751",13.44939033,12.52257955,11.12871487,15.17796914,0.423684495276367,0.192476478904818,11.7105450394257
"GSM672752",13.53453569,12.85502825,11.77321896,15.12307993,0.335075841827455,0.425939839892266,12.7563298693775
"GSM672753",13.33519294,12.88276766,11.56687732,14.69494015,0.202628507535174,0.83226919379033,14.5764573295211
"GSM672754",13.58394275,12.98457584,11.86852528,15.04970037,0.254013018438942,0.661914471269707,13.8133637812693
"GSM672755",13.25773792,12.67875353,10.73348922,14.71898885,0.27409995989691,0.600459686888654,13.5380808376767
"GSM672756",13.26519851,12.45247361,11.07504796,14.5931777,0.186814320661683,0.889696932960744,14.8337013706796
"GSM672757",13.08627212,12.54013457,11.05060483,14.37000297,0.169941917676797,0.954394804114667,15.1235115228884
"GSM672759",12.42499758,11.32477955,10.46197286,13.92820372,0.364815875801347,0.345615425669935,12.3965215743492
"GSM672760",12.12529108,11.00720223,10.62261115,13.73590855,0.455080268153782,0.112836050968458,11.3538006190831
"GSM672761",12.28742007,11.03410706,10.63703123,13.94912751,0.471872463401263,0.0705637939398763,11.1644446321679
"GSM672762",12.38714758,11.07796394,10.58157807,13.73361487,0.260919194278712,0.640514156625857,13.7175023822212
"GSM672763",12.28581264,11.21184758,10.53330372,13.77875762,0.36914529278228,0.334117910182031,12.345019157745
"GSM672764",12.2190777,11.15801487,10.52397398,13.87665688,0.474739476969423,0.0633611109826564,11.1321806549008
"GSM672765",12.40349591,11.38151115,10.35697584,13.80104535,0.295272865748205,0.53804536267763,13.2584996941709
"GSM672766",12.50635242,11.48741822,10.37568922,14.08764126,0.407880737000623,0.232999912129518,11.8920672771966
"GSM672767",12.2829855,11.19886617,10.29861822,13.71375353,0.327654641924549,0.446398683185025,12.8479740051572
"GSM672768",12.35341599,11.21293494,10.7968855,13.72863755,0.283647007895115,0.572041269734163,13.4107822781695
"GSM672769",12.2344052,10.35158587,10.52397398,13.28644796,0.0796363945573364,1.4075215586504,17.1532650736574
"GSM672770",12.24872342,11.1778052,10.80278067,13.45520892,0.17328046436427,0.941280898738131,15.064768586754
"GSM672771",12.54327509,11.34454126,10.84170743,13.78840558,0.179706001682707,0.916486083360589,14.9537017295237
"GSM672772",12.19250186,11.01917918,10.84853383,13.6106,0.326185898262165,0.450469701144887,12.866209880829
"GSM672773",12.36989182,11.10790929,10.66912045,13.7109197,0.258417235465512,0.648232675460481,13.7520770147152
"GSM672774",12.28742007,11.41400037,10.73348922,13.49777063,0.17331674815787,0.941139264502876,15.0641341448698
"GSM672775",12.33753643,11.26294796,10.75600112,13.6940316,0.271760788931919,0.607496329390044,13.569601046889
"GSM672776",12.39912119,11.28217807,10.56871487,13.75689926,0.267924255378119,0.619102994496236,13.6215923925248
"GSM672777",11.86197993,10.81730223,10.17617398,13.18522751,0.285635301418614,0.566181208536372,13.3845324928613
"GSM672778",12.06496617,11.00960112,10.63088401,13.26519851,0.181505125948158,0.909644064797384,14.9230533263251
"GSM672779",12.10981524,11.04578699,10.72878178,13.42184944,0.257844407960814,0.650005272426315,13.7600172542827
"GSM672780",12.09511747,10.93087398,10.66670855,13.55877193,0.365055784482702,0.344977123581982,12.3936623392311
"GSM672781",12.31870483,11.08095762,10.68896989,13.60160558,0.221366977136675,0.767584701260935,14.2867071060417
"GSM672782",12.19107955,10.81124015,10.495429,13.79624275,0.446759837819615,0.133851913288901,11.4479398874896
"GSM672783",12.35195651,11.2284513,10.60737249,13.78122565,0.321153334427586,0.464476114060763,12.9289507498352
"GSM672785",12.46461859,11.48324349,10.48220409,13.84343978,0.277561872606668,0.590099796582427,13.491674343414
"GSM672786",12.19816729,10.43697138,10.23546394,13.10802045,0.0244928173765593,1.96871668032734,19.6671042577177
"GSM672787",12.44216766,11.39465613,10.41267844,14.06186803,0.435939120615216,0.161273186046933,11.5707717997306
