"","comFA","comK","degU","scoC","comFB","comFC","csrA","flgK","flgL","flgM","fliW","yviE","yvyF","yvyG","pval","z","inv_cof_var"
"GSM672650",13.95159331,13.37838364,12.64979145,13.04813494,14.29703011,14.11871338,11.48447993,14.84014647,14.97281599,14.9356,11.65592045,12.43999257,14.78475056,14.7149948,0.128654790064041,1.13277302987126,10.3940213642761
"GSM672660",12.7039013,12.44507026,12.98548327,12.05132193,13.29628699,13.12800297,10.19194089,13.8509658,13.9789632,14.25402268,10.70047807,11.173071,14.13102342,13.80343717,0.428136361806557,0.181120844525025,8.73646171802187
"GSM672661",12.99076729,12.46749591,13.4450803,12.30746208,13.30210743,13.22169145,10.50820223,14.09866691,14.21067918,14.52209926,11.0330539,11.61762454,14.45389294,14.01692193,0.324522421338994,0.455089512491861,9.21365224556175
"GSM672662",13.01941877,12.47901264,13.32523234,12.36369665,13.41992007,13.37237472,10.31892639,13.98155204,14.04813494,14.5439829,10.78880818,11.53286245,14.40126208,14.01974312,0.414612464231557,0.215695731772233,8.79668323461925
"GSM672663",12.65138587,11.67967361,13.27106394,12.06224721,13.38058216,12.84824535,10.01822045,13.84591078,13.87665688,14.18951673,10.69497435,11.36371152,14.19849442,13.52764833,0.421474953597744,0.198121623312776,8.76607317198309
"GSM672664",12.87464238,11.81669368,13.37838364,12.38281004,13.47196803,13.13574721,10.59704647,13.91315353,13.88073216,14.23797286,11.10436394,11.87752714,14.26946022,13.83360706,0.155292037899135,1.01399722633016,10.187141180599
"GSM672665",12.5479145,11.7148948,13.47196803,12.14741227,13.0917539,12.9632026,10.35404907,13.53453569,13.84591078,14.12791078,10.86057249,11.41145911,14.00590855,13.65857993,0.236600792064433,0.717279612853399,9.67032721221305
"GSM672666",13.5084171,12.92314349,13.55136803,13.61280632,14.23157435,13.81937602,10.76186208,14.98879926,14.94641301,15.16584238,11.29894126,11.95618216,14.99403494,14.6242052,0.47474499345812,0.0633472554175896,8.53132716182056
"GSM672667",13.72151636,13.30005502,13.50399368,13.42404535,14.13993457,14.03726022,11.10905242,14.78927807,14.89277844,15.20407138,11.47546394,12.12597342,14.8536461,14.75811599,0.304130044120181,0.512558644180716,9.31375028038953
"GSM672668",13.63389182,13.36243383,13.57313309,13.56426171,14.13691599,13.8509658,10.81497212,14.60915242,14.69494015,14.94641301,11.24592528,11.70866914,14.71080558,14.51807323,0.398535520540077,0.2571395580128,8.86886886611417
