"","azoR2","mhqR","mhqA","mhqD","mhqE","mhqN","mhqO","mhqP","pval","z","inv_cof_var"
"GSM672756",9.934946097,12.90509033,9.571112639,7.793658736,8.338381041,7.903645725,7.889139777,8.65101487,0.205229492721703,0.823086183134908,9.98374247051708
"GSM672757",10.04472379,12.74905093,9.34135316,7.903645725,8.213257249,7.928262825,7.960021933,9.025208922,0.177620964495998,0.924469490717698,10.1879023304535
"GSM672758",12.64979145,11.12936394,10.01006208,9.336265056,9.870642007,9.715221933,9.680681413,9.139572491,0.463506994948171,0.091602342922188,8.51072248405019
"GSM672759",12.48282323,11.07735651,10.09429981,9.485410037,9.942540149,9.874389219,9.918536803,9.367478067,0.25667886920315,0.653618319886002,9.64247785753959
"GSM672760",12.41094461,11.41760669,9.989074349,9.222212268,9.791836059,9.657711524,9.582884758,9.213757621,0.367639518446039,0.338111669505695,9.00712875435467
"GSM672761",12.61107732,11.18912454,10.06448922,9.25350855,10.0326223,9.763730112,9.826052045,9.241455019,0.409931286724904,0.227721736029568,8.78483187043746
"GSM672762",12.66502602,10.98158476,9.946295911,9.172110409,10.08906357,9.799172862,9.753242379,9.231700743,0.462389647687632,0.0944152585548214,8.5163869713831
"GSM672763",12.52395651,11.08555204,9.97349461,9.405123048,9.970596283,9.803089219,9.788014126,9.201721561,0.350332411312928,0.384423180258043,9.10038820479154
"GSM672764",12.35709721,11.27143494,9.991480297,9.157205948,9.950405576,9.821001487,9.719139405,9.090420074,0.34375419978467,0.402238650963572,9.13626397261428
"GSM672765",12.22743866,11.24241227,9.939437361,9.230539033,9.738382528,9.766249071,9.818199628,9.343478439,0.218529386079009,0.777169503507524,9.89127810823716
"GSM672766",12.02602751,11.34212082,10.08345186,9.277469145,10.00124461,9.846188848,9.964878439,9.404410595,0.0848195980323926,1.37336406258058,11.0918603399404
"GSM672767",11.98715093,11.2284513,9.689711524,8.705665428,9.525447955,9.412865428,9.218575465,8.935267286,0.398072175981884,0.258340215362674,8.84648959892504
"GSM672770",13.03222825,10.79915911,10.56347119,9.475285502,10.35404907,10.00124461,10.08225595,9.348395911,0.482341166450912,0.0442785959423996,8.41542465065518
"GSM672771",13.00986097,10.90396134,10.57802751,9.720425279,10.37459182,10.32126059,10.23546394,9.636028996,0.317586393657695,0.474458777304153,9.2816966994588
"GSM672772",13.18166543,11.22608885,10.39144312,9.742029368,10.28526989,10.40272268,10.28280446,9.646335316,0.401056154100814,0.250614321327681,8.83093163892477
"GSM672773",13.10592714,10.9483658,10.15888587,9.57370223,10.27803457,10.51167881,10.24135167,9.704783271,0.402410684882345,0.247112229044372,8.82387932738462
"GSM672774",12.95655428,11.13121933,10.45367881,9.678159108,10.32126059,10.09834833,10.29977138,9.689711524,0.309460938650222,0.49737890679968,9.32785193486291
"GSM672775",13.05512156,11.40904461,10.40642565,9.429528625,10.47503271,10.48458067,10.34221784,9.587273234,0.399444916412208,0.254784130593528,8.83932856042964
"GSM672776",12.77709554,11.01136989,9.938826022,9.332309294,10.03374424,10.10077323,9.987783271,9.432344238,0.40926556179093,0.229434629341631,8.78828119623886
"GSM672777",12.09898662,11.25578067,9.683063941,9.224525279,10.29722862,9.466457621,9.458850929,8.830134572,0.346063633650756,0.395969854235052,9.12364023116632
"GSM672781",12.62309201,11.05744312,10.16625242,9.290828625,10.25985874,9.933688848,10.0633171,9.499448699,0.308720709014822,0.499479794053441,9.33208258049577
"GSM672782",12.88900186,11.12637026,9.936259851,9.302164126,10.0766881,10.19257063,10.03785874,9.395199628,0.468012049536255,0.0802680116894875,8.48789806125207
"GSM672783",12.68502305,11.45388848,9.931396283,9.428277695,10.1489197,10.26046654,10.03985799,9.685733457,0.278184343567573,0.588243762460361,9.51083034272041
"GSM672785",12.69237249,11.64349257,10.02511822,9.163631227,10.16816171,10.05959888,9.846188848,9.627257249,0.373284070068503,0.323167833480642,8.97703571889816
"GSM672787",12.31169033,11.40767807,9.421905204,8.806852788,9.464062082,9.976483271,9.608845725,9.162560223,0.466702636921216,0.0835612541732254,8.4945298031063
"GSM672789",12.25859294,10.91926171,10.02884981,8.954337175,9.804423792,9.334334572,9.392488104,8.995851673,0.446804168872401,0.133739792742888,8.5955764512227
"GSM672790",12.44507026,10.4428803,10.07542639,9.129148699,9.801787361,9.709953532,9.568403717,9.430920818,0.361111882716265,0.355488357558147,9.04212092696702
"GSM672791",12.48819219,10.24510112,10.1390197,9.179131599,9.809530483,9.569909294,9.585373606,9.040090706,0.458883506241997,0.103246906896827,8.53417163565872
"GSM672792",12.52544535,10.67624981,9.972934944,9.150171375,9.765004461,9.704783271,9.652842007,9.193304461,0.43650243766477,0.159842841456068,8.64814126584807
"GSM672794",12.25010112,11.05744312,10.12423866,9.063291822,9.899647212,9.916043494,9.476631227,9.220974721,0.305568309956844,0.508451676687292,9.35014964050363
"GSM672797",12.26440558,11.13919257,10.2696368,8.983071375,9.991480297,9.487336617,9.657711524,9.192094796,0.356211260511788,0.368604526669015,9.06853351215901
"GSM672798",12.32441041,11.11460186,10.12191822,9.049861338,9.898328625,9.490528996,9.50463829,9.031537918,0.418665022027524,0.205309856065843,8.73970011863927
"GSM672799",12.26860632,10.71350892,10.27073271,9.290828625,9.919852788,9.592969888,9.793090335,9.176684015,0.267415915650071,0.620647117073465,9.57608235014657
"GSM672800",12.02317361,10.58402416,10.27073271,9.255311338,9.952976208,9.591734201,9.585373606,9.138475093,0.183216613760674,0.90317461640455,10.1450199402377
"GSM672802",12.45830409,11.16389888,10.42480074,9.139572491,9.960652788,9.669020446,9.625894424,9.160485874,0.412073152924957,0.222215272157309,8.773743270946
"GSM672803",12.33911152,11.19026506,10.39021747,9.560557621,9.94515539,9.684353532,9.861586245,9.362375836,0.198517743220256,0.846927583943011,10.031752908978
"GSM672804",12.12819442,11.24960967,10.18235576,9.112163197,9.749528253,9.663977323,9.675759108,9.245291078,0.230758924805674,0.736349794984787,9.80907773252105
"GSM672805",12.40042639,11.10133104,10.17489219,8.880969888,9.911007435,9.680681413,9.721840149,9.183775093,0.424395979089967,0.190660026715727,8.7101991368749
"GSM672807",12.34125223,10.99896283,10.1576368,9.304019331,9.964272119,9.666511896,9.589195539,9.142003346,0.318381090944464,0.472230625869171,9.27720977655474
"GSM672808",12.71352639,11.45977212,10.1390197,9.300388104,9.745832714,9.870642007,9.697269517,9.263217472,0.468893722520183,0.0780510496808334,8.48343367096966
"GSM672810",12.75551227,11.01554164,10.53918104,9.223396654,10.47381227,9.99890223,10.16753123,9.61009368,0.346810953278177,0.393944647091532,9.11956198577641
"GSM672811",12.58011896,11.04224089,10.3081487,9.286335316,10.09368364,9.859080669,9.740756506,9.277469145,0.373355702904335,0.322978657014019,8.97665476623594
"GSM672812",12.5077974,11.24358141,10.23424796,9.454427323,10.10964312,9.801787361,9.665223792,9.2174171,0.330628861140284,0.438177355616934,9.20863526413418
"GSM672813",12.18289145,11.04701784,10.38901375,9.336265056,10.07917026,9.646335316,9.652842007,9.01662119,0.263016679643521,0.634072728927245,9.60311807329449
"GSM672815",12.40194684,10.90279405,10.00255502,9.047397026,9.805604833,9.890813011,9.662597398,9.051007063,0.409290799766032,0.229369680428022,8.78815040586102
"GSM672817",12.16591599,11.29171004,9.329881041,8.795147584,9.509933457,9.568403717,9.381207807,8.899360595,0.472871091165611,0.0680545851052442,8.46330336691596
