"","bpr","degU","capA","capB","capC","capE","levB","minJ","sacB","sacX","sacY","sipT","swrA","yueB","yueC","yueD","yukB","yukC","yukD","yukE","yveA","pval","z","inv_cof_var"
"GSM672603",8.813933271,13.55558736,9.002004089,8.625594052,8.518013011,9.084210409,8.283497026,11.72986729,9.936259851,10.80522639,10.59128327,12.03685651,11.74823048,13.49977695,12.96154498,12.45830409,12.63150967,12.36067658,12.32301375,15.05480706,7.304376952,0.0387719222068381,1.76511854563033,5.19522339893327
"GSM672604",8.983071375,13.65388439,9.032881413,8.736597398,8.592207063,8.890312639,8.374791822,11.79491301,10.0326223,10.99543978,10.80522639,11.91645465,11.70109888,13.30210743,12.74905093,12.42288327,12.5479145,12.27143792,12.17600892,14.73557435,7.47327658,0.00916938606053085,2.35870612306433,5.47430442778329
"GSM672605",8.518662454,13.49333755,8.833879926,8.308172862,8.428883643,8.908124535,8.141909294,11.92944684,9.89214461,10.86752045,10.89689591,12.15447286,11.83742714,13.15779442,12.78510967,12.47040149,12.52103866,12.20240781,12.19392119,14.84014647,7.289504089,0.0521269522775255,1.6245714501164,5.12914380173639
"GSM672606",7.844722677,12.92409052,7.937997212,8.010395911,7.472380669,8.582377695,7.688649814,12.83418104,8.197505948,11.9387881,12.06771041,11.66081524,13.58176394,12.62237993,12.31733383,12.07589257,11.83344498,10.79103494,10.69258996,14.69906245,7.055417844,0.475226238313466,0.0621385766360327,4.39455064241699
"GSM672607",7.825569888,12.87794796,8.239366914,8.00069777,7.475986245,8.906299257,7.78546171,13.05679517,7.927261338,12.03148699,12.05132193,11.82570149,13.44091413,12.50635242,12.23710446,12.08289703,11.7644632,10.87672565,10.88695465,14.48566134,7.083947212,0.403673120789852,0.243850972147303,4.47998450967094
"GSM672609",8.30718513,13.7109197,8.262543494,7.877609665,7.919985874,8.737856134,7.454666543,13.08627212,7.774867658,9.866851301,9.893404089,12.18015093,13.33925093,10.43697138,10.62021264,11.0609684,9.684353532,9.199481413,9.276871004,14.81200037,7.106628996,0.312380562662665,0.489113809389613,4.59529724120105
"GSM672610",11.77321896,14.5076632,8.530658364,7.826556877,8.065120818,8.908124535,7.435354647,12.53718401,8.131836431,8.910728996,9.017775465,12.27877435,12.58472156,13.06665372,12.53408699,11.94797546,12.34201004,11.18467807,11.2520632,16.0724342,7.97460632,0.406179908550756,0.237382819267723,4.47694344407419
"GSM672611",11.78707844,14.37361413,8.388984758,7.770922305,7.951738662,8.799050186,7.312733086,12.35779405,8.110748699,8.839163941,8.992026022,12.02317361,12.54404182,13.11699257,12.75065836,11.81170372,12.26860632,10.89689591,11.10549071,16.35571933,8.065120818,0.499792115860529,0.000521088285427873,4.36558057515518
"GSM672620",13.01695428,12.39153123,7.345710781,7.270249071,7.267130483,7.426362454,7.170605948,9.479197398,7.186222677,7.512286617,7.597465056,9.366164684,9.571112639,9.55144052,9.427001859,9.658863569,9.004359108,7.862260595,8.325435688,13.63843383,8.540665428,0.147952762150741,1.04525414594141,4.85677208200014
"GSM672621",13.0917539,12.55092639,7.335327509,7.294394796,7.241677695,7.369321561,7.18144684,9.748265056,7.257305576,7.578592565,7.618860967,9.500806691,9.629740892,9.469037546,9.433663197,9.602318959,9.062107435,8.295108922,8.882200743,13.86138401,8.835823606,0.156300666882751,1.00977868631474,4.84009294627035
"GSM672622",12.92992751,12.60065019,7.305377323,7.231006691,7.162046097,7.426362454,7.05895,9.438747212,7.170605948,7.394654461,7.545562825,10.6237948,9.674375465,9.502714126,9.623286617,10.15506803,8.590889591,7.907455762,8.125321561,13.70641859,8.34812974,0.268428683892676,0.617572210310295,4.65569321991804
"GSM672623",12.1883777,12.65605019,7.237405204,7.271315613,7.266283271,7.263282528,7.015959108,9.601017844,7.106628996,7.370159108,7.622386245,10.71228216,9.769912639,8.727996283,9.07303197,9.727094424,8.094953903,8.361323792,8.985678439,13.30973011,7.87012342,0.096891773752427,1.2994674778213,4.97629297648233
"GSM672649",9.989074349,12.74445799,7.452099257,7.365495911,7.334923048,7.430656506,7.112858736,12.43612565,7.241677695,9.199481413,9.031537918,11.10959368,12.79665613,11.00480892,10.77818476,10.11462639,10.35812435,10.09135651,10.34033606,15.5469539,9.272632342,0.425990294036824,0.18659193825917,4.4530636125768
"GSM672650",10.27428959,12.64979145,7.426362454,7.477835316,7.305377323,7.567879926,7.11902119,12.24615948,7.450236803,9.342381784,9.661409665,10.8927461,12.94463234,11.15429703,11.02368327,10.32256357,10.45853197,10.03374424,10.43080074,15.6989948,9.10020223,0.390414524049517,0.278238805361145,4.49615228716171
"GSM672674",11.1778052,13.76680818,7.934310781,7.995139033,7.877147584,8.140407807,7.310266543,11.545929,7.991175093,9.306008922,9.623286617,12.60212045,12.9736632,11.38992602,11.21533234,11.10905242,10.97806617,11.6998658,12.38124796,16.07966952,7.204681041,0.464784280195001,0.0883876705848536,4.40689191171593
"GSM672676",12.70631673,13.47410706,7.938524535,7.956737175,7.759936803,8.511865613,7.34665948,11.11935985,7.779686989,9.334962454,9.508453903,11.66844684,12.31454387,11.48741822,11.50890743,11.06789331,10.63199814,11.25268699,11.86403996,16.19371115,7.187255019,0.430620228191586,0.17479533201524,4.44751732230279
"GSM672677",13.12800297,13.68413234,8.069449814,7.923060595,7.59084052,8.321933829,7.301054461,11.10790929,7.848711896,9.248775836,9.374982156,11.61993123,12.19544498,11.58383606,11.50759814,11.15065874,10.6408119,11.11823309,11.77964126,16.10096283,7.112858736,0.480119615147563,0.0498533776776778,4.38877463548008
"GSM672698",11.48741822,13.34303457,7.556651301,7.627140892,7.482725836,7.505216357,7.11902119,10.88007955,7.397816729,8.225892565,7.762834201,11.40274498,11.23750149,8.545669888,9.198179926,9.148971747,8.114809665,8.508939033,8.811955762,12.58602528,8.291892937,0.0128883899501902,2.22955831402186,5.41358431706752
"GSM672699",11.38151115,12.88900186,7.60192119,7.605464312,7.444192193,7.478656877,7.148817472,10.40910855,7.400432342,7.905511896,7.513250186,11.16389888,11.25146171,7.999137918,8.981168401,9.071826022,7.942710037,8.242130112,8.508939033,12.54013457,8.381562454,0.0140387421935089,2.19620205462798,5.39790154413875
"GSM672700",11.23750149,12.85326877,7.575073978,7.674563941,7.484089591,7.535639777,7.095104089,10.61440372,7.372210409,7.99810855,7.71755316,10.67985911,11.21668625,8.406271561,9.003201487,9.035304089,8.04300632,8.487209294,8.867563197,12.4776539,9.119518959,0.00204118999318774,2.87172504028098,5.71550530980859
"GSM672701",11.93608848,14.41200297,8.281063941,8.229425651,8.104676952,8.470127138,7.426830669,12.05132193,8.369905204,10.51542156,10.2065,12.08541747,12.74756208,12.84362528,12.80000632,12.04223755,12.2903119,12.29753643,12.4688316,16.29536729,7.43247658,0.383682573200657,0.295823145145488,4.50441973719811
"GSM672702",11.93752491,14.32986134,8.110748699,8.171969145,8.08659145,8.39470223,7.329580297,12.08541747,8.234660037,10.45007435,10.03850483,12.30886543,12.98548327,12.85762007,12.80614647,12.37705167,12.2190777,12.04472491,12.35341599,16.19371115,7.462750558,0.447905125133774,0.130955828349553,4.42690574912907
"GSM672703",12.12371933,14.37000297,8.39470223,8.283497026,8.267149814,8.710594424,7.48490632,12.02449777,8.41797881,10.64325093,10.31645688,12.20240781,13.03394164,13.09337732,13.05512156,12.39001859,12.4934342,12.36989182,12.54170929,16.13797361,7.327780297,0.362079503209286,0.352905874779432,4.53125774311575
"GSM672713",9.392488104,12.86639294,8.249947584,8.546823048,8.009399628,9.239005576,7.526581784,11.05172937,7.748886989,7.314648699,7.97259145,13.30389257,11.62253309,9.18317658,9.089297398,11.91107807,8.819794796,10.47046803,11.00480892,15.99737658,8.320828996,0.457810342531219,0.105951686323312,4.41514980620257
"GSM672715",9.59959145,12.85326877,8.341881784,8.393543866,8.003266543,9.403698141,7.548252045,10.95058736,7.791298513,7.302020074,7.737322862,13.61520669,11.74700781,9.134895911,9.127955762,11.8678974,9.168436059,10.75245725,11.13001301,15.61343941,8.171969145,0.426282669221444,0.18584624436467,4.45271301726922
"GSM672722",8.223567658,13.17423792,8.883541264,8.594514498,8.533185874,9.145479182,7.662205576,11.9151855,9.170989591,9.475285502,9.51122342,12.29166617,12.21031896,12.05292342,11.64227658,11.63374164,11.41994833,11.18032528,11.03873829,14.99403494,7.031287732,0.0402947109096537,1.74727630152424,5.18683469264726
"GSM672723",8.740119703,14.09040223,9.571783086,9.265559851,9.063291822,9.708602974,7.261334201,12.65458104,7.694331227,8.159645911,8.668460967,12.10715093,12.63887881,11.08918216,11.26785613,11.10790929,10.14274461,10.25008439,10.3979829,16.00569294,7.03734461,0.237259552924981,0.715145557339636,4.70156828724173
"GSM672724",8.392362082,13.60618996,9.38253829,9.051007063,9.138475093,9.369944238,8.5885829,11.95198364,10.56517138,9.853855762,9.655317472,11.36612639,11.67574201,12.95315316,12.31318253,11.93222788,12.52835316,12.41698625,12.43023309,15.53897138,7.169377323,0.0172049262811822,2.11523583017638,5.35983447858504
"GSM672725",8.521008922,13.5984355,8.643419703,8.392362082,8.302290706,8.990778439,7.385687175,13.31340074,7.547315613,8.568848327,8.805447212,12.80753569,13.80343717,11.34514888,11.29289665,11.45388848,10.57447881,10.45256691,10.29861822,15.25573643,7.129661338,0.48598380988075,0.0351406094191371,4.38185728299677
"GSM672726",8.107589591,13.31737249,8.629306691,8.282275836,8.265997026,8.764030483,7.415719331,12.78051896,8.62690223,9.282447212,9.293330483,11.33226952,13.56203011,12.35640037,12.03001301,11.70165056,11.67967361,11.15429703,10.98158476,14.99943048,7.206927881,0.263440677972905,0.632773819080244,4.66284040556844
"GSM672727",8.605861896,13.55765056,8.790155019,8.327762825,8.346910409,8.930201115,7.450236803,13.09676506,7.801209294,8.671066914,8.882200743,11.96003271,13.62222788,11.98045539,11.77446952,11.59762937,11.22378216,11.10790929,11.05971004,15.60525576,7.283749814,0.418958177819166,0.204559429469927,4.46151120501906
"GSM672728",10.40642565,13.89249665,9.623286617,9.314887361,9.139572491,9.775313755,7.311718959,12.91488662,7.530228253,7.544768401,8.401480855,12.46005688,14.27893866,11.16899052,11.173071,11.01321561,10.31773494,10.4428803,10.43819554,16.05140074,7.042702602,0.461167415870606,0.097493077068199,4.41117290799361
"GSM672731",8.493020818,13.70641859,8.650404461,8.459275093,8.320828996,8.767733086,7.47327658,13.16865353,7.631891822,8.543130112,8.852436803,11.77196952,13.55765056,11.51852045,11.36371152,11.38512714,10.7172513,10.37802602,10.30981766,15.17796914,7.089604089,0.362224859674663,0.352518136518947,4.5310754441648
"GSM672732",8.586149442,14.08764126,9.247679926,8.985678439,8.960276766,9.455064684,7.323299257,12.75389331,7.60192119,8.016636059,8.449340892,12.22879703,12.39445725,10.99196914,11.16270446,11.13976989,10.06085762,10.23788662,10.29473086,15.92557398,7.050248699,0.299292197291329,0.526437315443393,4.61284525410726
"GSM672734",10.33356431,13.7497,9.215022305,8.966280669,8.84164461,9.39121487,7.245731599,12.72872639,7.574571747,7.833019145,8.208771747,11.78707844,13.25970781,10.97143346,11.01554164,10.88695465,10.23297993,10.14274461,10.16996877,16.00569294,7.103652416,0.342362255944721,0.406024618348864,4.55623204205688
"GSM672735",10.56290074,14.03156208,8.906881413,8.688081413,8.693485874,9.09434684,7.35901487,13.14143123,7.586930855,8.033117472,8.17870632,12.04866431,13.85909405,11.36244796,11.17064349,11.05850781,10.44625204,10.68896989,10.8178684,15.82913494,7.166906691,0.443142924825413,0.143005484576563,4.4325710133377
"GSM672736",10.59358662,14.2572026,9.048547212,8.792524907,8.711276952,9.311478439,7.459166171,12.71656803,7.667759108,7.797280669,8.17870632,11.65407881,13.19629331,11.38636171,11.1778052,11.05971004,10.63444684,10.67985911,10.86867993,16.21444944,7.176684387,0.369011167335568,0.334473433510087,4.52259154983741
"GSM672737",8.335963569,13.13379517,9.136124535,8.777056877,8.882200743,9.363718587,7.65925316,12.16308104,8.950156134,9.371142751,9.254644238,11.37323197,12.72122491,11.7202026,11.37684758,11.44184461,11.14584424,10.74212844,10.75888086,14.63629591,7.448477695,0.00474880745173244,2.5936027709679,5.58474339359476
"GSM672738",8.298687732,13.19436877,9.108434572,8.730405576,8.806852788,9.237713383,7.410212639,12.02055242,8.329036803,9.305324535,9.338898513,11.20221599,12.51518699,11.63001524,11.18032528,11.1518223,11.16270446,10.90396134,11.01321561,14.73557435,7.364559851,0.0124507530809876,2.24292725063044,5.41986985390352
"GSM672739",8.467777323,13.14873532,8.819794796,8.516163569,8.415459851,8.957535688,7.489437175,11.88011524,8.131836431,9.45124052,9.38253829,11.37801599,12.81874535,11.8217948,11.24836134,11.04224089,11.14142193,10.91210632,10.77360446,14.79863755,7.205772862,0.0407233681942204,1.74235276147904,5.18451984194344
"GSM672740",8.35422974,12.82026617,8.839163941,8.796410037,8.441049442,9.258460595,7.504303346,11.81549405,8.462952416,8.252772491,8.12430632,12.22607175,11.58755948,10.90512491,10.93087398,12.06917695,9.837497398,9.853855762,9.965484758,14.77594758,7.174337918,0.0575612461291092,1.57558058999013,5.10611026773389
"GSM672741",8.216581041,12.79327175,8.966280669,8.71819145,8.652879182,9.437442007,7.383236059,11.94402528,7.968440892,8.092948327,8.186486989,12.37705167,11.96963309,10.59704647,10.74508104,12.10715093,9.717949814,10.1611948,10.29585874,14.74947249,7.133884387,0.102534897801837,1.26723913707275,4.96114050558138
"GSM672742",8.289634201,12.66355688,8.97135948,8.822447584,8.606457249,9.560557621,7.381439405,11.69475316,7.743396283,8.397209294,8.224694424,12.2758855,12.0286052,10.20170595,10.56761375,11.97978401,9.530714498,10.1083052,10.1464539,14.64447732,7.262255019,0.0576369698308329,1.57492421006159,5.10580166426452
"GSM672743",8.099323048,12.34349182,8.962276952,8.1188829,7.686313383,10.12073346,7.630018959,11.66334796,7.844722677,9.70122342,9.210145725,12.22177807,12.01857677,11.6064513,11.37569814,12.34049442,11.10790929,11.15065874,11.24241227,14.35627175,7.516815242,0.0493054222112489,1.65162586262342,5.14186369946409
"GSM672744",8.169930112,12.56087937,8.162204833,7.653642379,7.646154275,10.00012416,7.581318587,11.78707844,7.554816729,9.924944238,9.575063197,12.5479145,12.06562639,11.68098401,11.62253309,12.37568327,11.173071,11.04117175,11.01321561,14.36846654,7.534707435,0.141023069023504,1.07573422108969,4.8711025886603
"GSM672745",9.151350929,13.04626283,8.020653532,7.879058736,7.845779182,9.591734201,7.417009294,11.73846877,7.722443123,9.110353532,8.779644238,12.33152714,12.42003234,11.12277175,11.10549071,12.66937435,10.29722862,10.77651115,10.74038885,15.01592007,7.467951301,0.198528508323612,0.846888959895477,4.7635087417378
