"","mta","ydfK","ymfD","ymfF","ymfH","pval","z","inv_cof_var"
"GSM672678",9.464062082,8.310448699,8.047924535,11.89014201,11.65105948,0.37428456553129,0.320526650389353,5.44093274072124
"GSM672679",9.437442007,8.368715242,8.047924535,12.02055242,11.82885539,0.441816961843965,0.146364153748569,5.27636100407612
"GSM672680",9.195828996,8.478445725,8.202060967,12.22743866,11.95198364,0.484115304905576,0.039827552655455,5.1756911480719
"GSM672681",9.02275948,8.476170632,8.730405576,12.43612565,12.16812268,0.48065562599526,0.0485081717561445,5.18389374385521
"GSM672683",9.145479182,8.125321561,9.260887361,11.39101301,11.56299777,0.0667300492433534,1.50059595392505,6.55601812586603
"GSM672684",9.162560223,8.104676952,9.333706691,11.37801599,11.4039948,0.0427707746548577,1.71940007110179,6.76277316350854
"GSM672685",8.924918587,7.969496654,9.443779926,11.08792416,11.4645171,0.0557971362947347,1.59106800263857,6.64150807038225
"GSM672686",9.005653532,8.128590706,9.385126394,11.47189517,11.55183606,0.0804305966721924,1.40218103525626,6.46302270842829
"GSM672687",9.002004089,8.288367658,9.689711524,11.5727223,11.56802119,0.0490638287133979,1.65399928773094,6.70097386282735
"GSM672688",9.02908513,8.272876208,9.725816729,11.45127844,11.45513903,0.0265860100523128,1.93352123206853,6.96510312542592
"GSM672689",9.843672491,7.914788104,8.490633829,11.27676561,11.6834855,0.198743529172348,0.846117752370688,5.93758065336971
"GSM672690",9.824746468,7.965228625,8.804210781,11.46694833,12.04472491,0.241040191972185,0.702960471236226,5.80230674064965
"GSM672691",9.828678067,8.025824907,8.854895539,11.5375197,12.09641227,0.235367653601598,0.721283173922579,5.81962045088742
"GSM672696",9.346052788,8.241036059,8.565359108,12.20841747,12.14592454,0.467766060031202,0.0808866209149748,5.21448918036261
"GSM672697",9.331000743,8.202060967,8.474837918,12.16890595,12.02669201,0.466197902318836,0.0848309286664994,5.21821628343619
"GSM672701",9.246527881,7.526581784,9.538414498,11.64349257,11.6089539,0.280416628206081,0.581604284362114,5.68763338208099
"GSM672702",9.133810409,7.413545725,9.696065428,11.68223941,11.69219926,0.365294711326535,0.344341573437153,5.46343622637194
"GSM672703",9.219752416,7.565977695,9.579008178,11.67184201,11.63312955,0.276146916440169,0.594326387517299,5.69965490594755
"GSM672704",8.692872119,8.135449071,9.400000372,11.78955725,11.52583048,0.190480287937572,0.876127773117092,5.9659380858035
"GSM672705",8.671066914,8.102525651,9.305324535,11.81549405,11.53860669,0.227504207693643,0.747091359673599,5.84400743448393
"GSM672706",8.500448327,8.091864684,9.311478439,12.21495725,11.97239591,0.496525255236055,0.00871000360069999,5.14628717656911
"GSM672710",8.488292565,8.263677323,10.61555799,11.17905353,11.07385093,0.0286745591262961,1.90064048970305,6.93403305593543
"GSM672711",8.56395316,8.272876208,10.40642565,11.27385204,11.08451636,0.0229398140660433,1.99649905853095,7.02461289630634
"GSM672712",8.437373606,8.388984758,10.5828145,11.43328625,11.03469182,0.0355420012558666,1.80494044119848,6.84360300650921
"GSM672716",8.940002974,7.910605948,9.265559851,12.0542368,11.83474164,0.382351099163611,0.299311739229445,5.42088608980787
"GSM672717",8.819794796,7.702029368,9.223396654,12.04866431,11.84897658,0.494960758878215,0.0126318402003772,5.1499930459296
"GSM672718",8.928771375,7.753662454,9.183775093,12.02055242,11.89681338,0.463786335872729,0.0908992177756817,5.22395040471043
"GSM672724",9.02275948,8.80037881,9.265559851,12.50036468,12.49265874,0.364706705050806,0.345905932455761,5.46491443945107
"GSM672738",9.000723048,8.602324349,9.009402602,12.43176617,12.35640037,0.428895127123518,0.179187785524096,5.30737710793595
"GSM672739",9.095472862,8.587512268,8.9752171,12.48666022,12.27727844,0.414771914174367,0.215286661562783,5.34148809529092
"GSM672747",9.570510967,8.767733086,9.247679926,12.98548327,12.78510967,0.463396531217535,0.0918804021146795,5.224877557305
"GSM672749",8.767733086,8.601725651,9.82232974,12.20380818,12.10151896,0.220467280225952,0.770616023889084,5.86623664524175
"GSM672750",8.819794796,8.460543123,9.745832714,12.25553011,12.08812974,0.268625842876929,0.61697428723791,5.72105563377515
"GSM672751",8.760095167,8.983071375,9.632133457,12.72569926,12.10452751,0.288880989702346,0.556656739384198,5.66405964559215
"GSM672755",8.983071375,8.526891822,9.565701487,12.2758855,11.90566059,0.196116711388639,0.855574060877234,5.94651622298539
"GSM672756",8.889076208,8.272876208,9.324801487,12.09833792,11.89274275,0.281244425677493,0.579148686210374,5.68531300852107
"GSM672757",8.780972862,8.464214126,9.602318959,12.21330186,12.17875688,0.308226318784997,0.500884179032941,5.61135836207138
"GSM672758",9.015346097,7.72153197,9.204114126,11.73973234,11.70220223,0.329332952353537,0.441755829713969,5.55548608577729
"GSM672759",9.10020223,7.487576952,9.101403346,11.80505465,11.75807658,0.459463716067837,0.101784873940455,5.23423661083466
"GSM672760",8.811955762,7.779686989,9.138475093,11.91238699,11.81669368,0.435832424005571,0.161544141464818,5.2907050620042
"GSM672761",9.116951673,7.728157621,9.246527881,11.74823048,11.73408234,0.312230960540294,0.489536498668761,5.60063557444232
"GSM672762",8.990778439,7.890224164,9.132136803,11.50417435,11.5763197,0.18821092080175,0.884508378446335,5.97385718893864
