"","acpK","codY","abrB","pksC","pksD","pksE","pksF","pksG","pksH","pksI","pksJ","pksL","pksM","pksN","pksR","pval","z","inv_cof_var"
"GSM672644",10.53672193,13.26519851,12.9836684,12.24675985,11.51608104,10.79346208,10.09368364,9.403698141,9.625256506,9.533196654,9.765004461,10.21655725,9.913620818,10.25371375,10.42730372,0.461679711834995,0.0962029049904424,12.7312304652207
"GSM672645",9.451895167,13.13379517,14.5076632,11.55567323,10.18716803,9.881884387,9.283654275,9.07303197,8.922488848,8.942527509,8.999601115,9.430920818,9.239005576,9.765004461,10.03493197,0.406776227072359,0.235845636376067,13.2715904341612
"GSM672646",11.5263777,13.57750632,13.9054052,12.23849145,11.80505465,11.32028439,11.05226171,10.07806877,10.19194089,9.992781041,10.08164275,10.55173271,10.13419145,10.62021264,11.01078959,0.280569818832218,0.58114959194712,14.607774801625
"GSM672647",11.35058922,13.54925019,13.82848513,12.40194684,11.80914981,11.42728327,10.90626022,10.09603011,10.15011822,10.17489219,10.1464539,10.6756632,10.12797993,10.47985502,10.8556171,0.282468098370654,0.575525134816915,14.5860104645197
"GSM672649",11.00848364,13.35045167,12.92150372,11.9097197,11.7049197,11.26113309,10.74634201,9.913620818,9.924944238,9.864209294,9.655317472,9.956937546,9.348395911,9.720425279,10.15257063,0.488569077387235,0.0286569956423894,12.4698555614559
"GSM672651",10.23424796,13.36649851,15.08894944,11.43575836,10.45131152,10.31281784,9.933688848,9.557981784,9.403698141,8.8751171,10.34696877,10.99543978,10.42367732,10.97806617,11.35625651,0.371806834705276,0.327071682024179,13.6245977314537
"GSM672652",10.65360335,13.54925019,14.66569628,11.4235684,10.50016952,10.36235093,10.49302193,9.744597026,9.781756506,9.35100632,10.40642565,10.98158476,10.37684833,10.89585316,11.22437714,0.0861357081526409,1.36494156700745,17.6407275596876
"GSM672653",10.18235576,13.59952639,15.10096468,11.48022454,10.7172513,10.05844498,9.656692193,9.314887361,9.359849442,8.950847026,10.11089517,10.69380223,10.21271413,10.74508104,11.09389405,0.36148271731976,0.354498357639072,13.7307276920779
"GSM672654",10.8015829,12.90673086,14.05925799,12.20653755,11.49942454,11.07273717,10.21397621,9.621913755,9.70606803,9.529263569,9.629740892,10.17127509,9.646335316,10.09716097,10.41267844,0.486269011455984,0.0344252824819805,12.4921764604139
"GSM672655",10.87084572,12.97704498,14.53294684,12.26996654,11.50949926,10.96004981,10.1489197,9.689711524,9.950405576,9.775313755,9.516484387,9.961820446,9.538414498,9.968082528,10.23892602,0.492664710166008,0.0183878810484682,12.4301183091983
"GSM672656",10.43080074,12.90673086,13.77175465,12.28581264,11.34637639,10.78880818,10.15506803,9.873116357,9.933119331,9.750860223,9.865482528,10.38541896,9.992130669,10.39292119,10.60167435,0.271157674011684,0.60931548050704,14.7167652124856
"GSM672658",9.515833829,13.25572045,11.62122007,11.19638364,10.31223234,9.704783271,9.124426394,8.976527138,9.106116729,8.906881413,8.950156134,9.166081041,9.018973606,9.267866914,9.606279554,0.300388537527428,0.523283365565653,14.3838562920117
"GSM672659",8.99140223,13.3702461,11.99250855,10.92505576,9.890813011,9.460184387,8.899360595,8.570050929,8.589718216,8.611122677,8.668460967,8.995851673,8.923778439,9.159348327,9.438747212,0.344884593771971,0.399168315776784,13.903582068044
"GSM672660",11.25813941,13.78840558,11.37569814,12.2163461,12.19392119,11.88637695,10.9214461,10.36854833,10.2729855,10.23603513,10.1576368,10.34221784,10.03135093,10.03985799,10.21397621,0.435294471682851,0.162910449332049,12.9893612410288
"GSM672661",11.49468773,13.64935428,11.3258513,12.87633978,12.64033755,12.28023792,11.29894126,10.91574907,10.97578959,10.92320428,10.82198364,11.07857138,10.75245725,10.75712379,10.87328067,0.229418605807866,0.74076290335134,15.2254127061336
"GSM672662",11.85025242,13.71904721,11.40649405,12.65911338,12.3046145,12.27279517,11.59268067,10.96685353,10.94154387,11.00720223,10.73825836,11.07857138,10.64806134,10.67379851,10.80278067,0.162608589055145,0.98379325156085,16.1658402536831
"GSM672664",11.72986729,13.91054387,11.72854535,12.44648699,12.44507026,12.20380818,11.22378216,10.68896989,10.54045279,10.72124554,10.49189926,10.85192937,10.53229405,10.57621078,10.76314907,0.274960011874461,0.59787997298958,14.6725144990712
"GSM672665",11.31913494,13.82056989,11.32936877,12.10308439,12.1154171,11.99250855,11.14480149,10.52881636,10.49302193,10.58034275,10.20419591,10.56871487,10.21153717,10.25681506,10.45615651,0.25429424381426,0.661037152791542,14.9169068235232
"GSM672666",11.58882602,12.25148216,13.37838364,12.58745911,11.93222788,11.89014201,11.24358141,10.80032714,10.8312829,10.89157584,10.93698327,11.38574442,10.86401599,11.02599331,11.21293494,0.0139694533310637,2.19814314633364,20.8648751759539
"GSM672667",11.53286245,12.43328327,13.34303457,12.43023309,11.79090335,11.59898848,11.39696357,10.75712379,10.97028662,10.87208662,10.86634126,11.30483197,10.83819963,11.05850781,11.20453309,0.00170967897694133,2.92728462656927,23.6863529836698
