"","spoIIID","cotF","cotJA","cotJB","cotJC","cwlJ","gerE","gerR","spoIVCA","spoVK","spoVM","yesJ","yesK","yheC","yheD","yknT","pval","z","inv_cof_var"
"GSM672672",7.688649814,7.451171004,8.132902602,7.941649071,7.802120446,7.911144796,9.691046468,8.30718513,9.926298885,7.87012342,9.838756506,10.16502825,7.505216357,8.164482156,9.266752045,8.257919703,0.0836265867451101,1.38108387325502,9.03103347104121
"GSM672673",7.552445725,7.421246097,7.816307063,7.749934201,7.683043494,7.822368401,9.750860223,8.227065428,9.942540149,7.846815613,9.796913383,10.15634833,7.928262825,8.045720074,8.974035688,8.155705948,0.101354669658546,1.27387043067491,8.88829595426456
"GSM672674",7.889139777,7.359909665,8.208771747,8.246547955,7.964062082,8.000223048,9.557981784,8.368715242,9.076839777,7.475075093,8.9057171,11.67439108,8.450677695,8.631756506,10.10210855,8.536673606,0.280391363322787,0.581679285818808,7.96675437539288
"GSM672675",8.028432528,7.413969517,8.590889591,8.253332714,8.122149442,7.905992937,10.59812825,8.470127138,9.03881487,7.361277138,9.112163197,11.39931487,8.760095167,8.562611152,9.89214461,8.442299257,0.289955703643977,0.553514130645926,7.92925698502598
"GSM672676",8.176603717,7.251828625,8.38646803,8.379783271,8.055976952,7.707991078,10.0326223,8.778329368,9.287444981,7.421697026,8.910728996,11.30602491,8.414241264,8.608751673,9.864209294,8.622026766,0.215282625506065,0.788224756035189,8.24173656802346
"GSM672677",8.30718513,7.17612026,9.046287732,8.77573197,8.618287732,7.888650743,10.18850149,9.768651673,9.703006691,7.467078439,8.830134572,11.30249071,8.305863941,8.402698885,9.494378067,8.529390335,0.202426784623763,0.832984325854209,8.30132676207197
"GSM672692",12.52685316,12.48971413,12.41698625,12.09641227,11.90440112,11.2352461,11.02488141,10.75363569,10.65138476,10.10699257,12.01920743,11.5350052,7.544768401,10.8617461,10.59704647,10.45615651,0.0847894379690418,1.37355821721512,9.02101426608519
"GSM672693",11.86338253,12.16032193,11.73589108,11.55567323,11.50417435,10.77255948,10.90279405,10.4428803,10.48458067,9.576361338,11.67439108,11.25086022,7.567879926,10.5060777,10.08403457,10.17751747,0.0418958486272915,1.72909721655916,9.49435746505673
"GSM672694",11.35451468,12.36989182,11.06557435,10.89029628,10.96685353,10.27181115,11.54879591,9.805604833,10.34454164,9.156086245,11.6064513,11.15552937,7.751708178,9.796913383,9.461452788,9.503286989,0.104950003063412,1.25384044251313,8.86162923503165
"GSM672701",10.85690223,8.285950558,10.98499331,10.46088141,10.33593941,9.264464312,9.890813011,10.78880818,10.89925799,8.462952416,11.1896948,11.25086022,7.708865056,9.270202602,9.020110409,10.00507361,0.129577295180639,1.12839156060445,8.69461415319924
"GSM672702",11.24299684,8.952978439,11.35058922,10.83640539,10.81843457,9.826052045,10.20057955,11.10905242,10.9382052,8.592207063,11.42249628,11.48142862,7.649154647,9.527310781,9.344704833,10.33111822,0.111054931686906,1.22093702810506,8.81782361184618
