"","fabF","fapR","fabHA","fabHB","fabI","plsC","yhdN","pval","z","inv_cof_var"
"GSM672785",13.6246145,14.17513717,13.79624275,9.338898513,13.87415316,12.19040353,10.79461747,0.446866290769279,0.133582679045456,6.55622005628303
"GSM672786",13.41359628,13.84591078,13.46367286,8.994675465,12.74905093,11.57750409,10.28659294,0.468554718173017,0.0789034283134653,6.47358123284749
"GSM672789",13.28071041,13.94112825,13.27671636,9.194586989,13.44308773,12.12819442,11.36968216,0.253357174424232,0.663962443257918,7.35780309009916
"GSM672790",13.09337732,13.75962305,12.80000632,9.22933197,12.95401859,12.03291822,11.49768086,0.113852880088389,1.20628982336171,8.17744300850866
"GSM672791",13.17966803,13.51702342,12.91991375,9.043852416,12.97032825,11.7631513,11.59519071,0.193825410446183,0.863885449215633,7.65995430411311
"GSM672792",13.09848885,13.58176394,13.05331524,9.040090706,13.07797286,11.95198364,11.51240149,0.210345582244772,0.80522272580731,7.57129510748749
"GSM672793",13.53453569,13.51702342,13.32318773,8.946330112,13.08627212,11.79619814,11.29404387,0.361041717885079,0.35567571252417,6.89187767291484
"GSM672794",13.66292007,14.08497249,13.24606989,9.585373606,13.33142937,12.31733383,10.44341747,0.30348112884212,0.514414451368665,7.13178554356306
"GSM672795",14.06484089,14.66993086,14.16357621,10.6382342,14.51807323,12.5312223,9.995141264,0.459297759553535,0.10220303460172,6.5087948106562
"GSM672797",13.13379517,13.63515911,13.24257695,9.246527881,13.16590056,12.08955204,11.40524758,0.179909688530637,0.915709316860446,7.73827767889815
"GSM672798",13.24435279,13.73361487,13.18693197,9.201721561,13.29824572,12.09219442,11.30249071,0.226177511554543,0.751494643710193,7.49009382124974
"GSM672799",13.4450803,13.62914721,12.98548327,9.537186989,13.33719963,11.89151413,11.70422732,0.106342962386932,1.24621377074172,8.2377815829079
"GSM672800",13.1136368,13.52142082,13.02672268,9.193304461,13.12422305,11.83088699,11.59397472,0.160137029151841,0.993894857354406,7.8564424487075
"GSM672801",13.20505651,13.79624275,13.36243383,9.305324535,12.9836684,11.56299777,11.66456952,0.168168758697672,0.961426993118207,7.80737253527551
"GSM672802",13.3970368,13.92068736,13.24788216,9.319698513,13.29444201,12.02192007,11.36968216,0.20513632736874,0.823413911384636,7.59878813551702
"GSM672803",13.87415316,14.00730093,13.65857993,9.960652788,13.8912448,12.33457361,11.07735651,0.215906629750923,0.78609256549072,7.54238297135664
"GSM672804",13.79092788,13.93621227,13.64726729,9.697269517,13.66069851,12.20097844,10.71350892,0.323003518616521,0.459316309737872,7.04851363444032
"GSM672805",13.39100595,13.6744539,13.2904829,9.337545725,13.63642639,11.97502342,10.39021747,0.404717215545826,0.24115571665588,6.71879926398078
"GSM672806",13.88486654,14.3002197,13.83479257,10.16502825,14.09040223,12.34049442,10.31709591,0.369487762925181,0.333210323648764,6.85792487949078
"GSM672807",13.37430892,13.75689926,13.20315836,9.475285502,13.30781115,12.22038662,10.43927658,0.288392345131217,0.558087420316681,7.19779015630897
"GSM672808",13.36438513,13.66069851,13.07116617,9.38873197,13.32523234,12.25010112,10.40392714,0.309844437016606,0.496291341831818,7.10439540143292
"GSM672809",13.12605204,13.46987881,13.15971115,9.652842007,13.42601599,11.93357212,10.66550706,0.175945951772841,0.930925885227614,7.76127505522931
"GSM672810",13.2786855,13.6106,13.12063532,9.415497026,12.98028141,12.20653755,10.9214461,0.165402547336061,0.972493504670642,7.82409777349635
"GSM672811",13.34507323,13.69896357,13.12422305,9.453789963,13.33519294,12.24009331,10.72997732,0.23111878402533,0.735167371035714,7.4654177954142
"GSM672812",13.50399368,13.75689926,13.44308773,9.396359108,13.32734535,12.07309777,10.45730818,0.362184532494777,0.352625703926018,6.88726807935521
"GSM672813",13.80104535,14.00590855,13.6081974,9.869347584,13.73822305,12.41698625,10.09491599,0.41351918645605,0.21850152157784,6.68456112058879
"GSM672814",13.62670483,13.83597807,13.41777658,9.707454275,13.77427435,12.30957063,10.18109182,0.398854815284411,0.256312390431271,6.74170611934597
"GSM672816",13.02025465,13.6722223,13.20505651,9.389882528,13.21045353,11.96415093,9.606279554,0.450124733018758,0.125346215440799,6.54377197675658
