"","phrI","comA","rapI","ycxA","ywhH","pval","z","inv_cof_var"
"GSM672667",12.59489368,12.31592825,9.986601859,11.08918216,10.32988178,0.0747415029300183,1.44135999555073,9.49361703368456
"GSM672668",12.92673643,12.13241078,10.23660632,11.01436617,10.35158587,0.133726116576921,1.10894888545196,8.94584227401907
"GSM672669",12.76756729,12.33601004,10.35981673,10.91080595,10.32988178,0.0616675882757267,1.54092444117722,9.65768763366562
"GSM672670",12.74905093,12.27279517,10.28464126,10.64447546,10.0484855,0.14758680280345,1.04683950747853,8.8434932593238
"GSM672671",12.62092416,12.26289851,10.19560706,10.62021264,10.02511822,0.117060169059536,1.18981188273676,9.07909506719543
"GSM672672",12.69021859,11.98584164,10.30587918,10.20304461,10.02391561,0.190099165219467,0.877530922885309,8.56449244852872
"GSM672673",12.74445799,12.02449777,10.50016952,10.08658401,9.913620818,0.248148747146529,0.680326901862333,8.23952321031995
"GSM672674",12.55092639,11.53286245,10.46812714,10.11830706,9.598244981,0.246089012212738,0.686848783625601,8.25027051119801
"GSM672675",12.5494855,12.21031896,10.42599777,10.34221784,9.319698513,0.327106879148982,0.447916086451047,7.85653727908032
"GSM672676",12.85326877,12.37427993,10.67379851,10.34696877,9.378848327,0.439067621001706,0.153333553068476,7.37109960409606
"GSM672677",12.86008625,12.43925799,10.41887398,10.30759257,9.356207435,0.484138527444994,0.0397692962632244,7.18395894727625
"GSM672678",12.69099182,12.3842197,10.6261316,10.36110929,9.595648699,0.259778659058301,0.644027937142369,8.17970674789884
"GSM672679",12.85840781,12.43471264,10.51903086,10.09368364,9.447581784,0.475240342016442,0.0621031556163759,7.22076254399099
"GSM672680",12.72426729,12.45247361,10.51903086,10.18109182,9.671730855,0.295385231443253,0.537719864756123,8.00452343713472
"GSM672681",12.86480892,12.50924944,10.53918104,10.22599703,9.675759108,0.360787191948918,0.356355455560577,7.70565603276474
"GSM672682",12.78829182,12.62237993,10.63088401,9.729136803,9.932549814,0.363302407979118,0.349645424852679,7.69459868435881
"GSM672687",12.43471264,12.23710446,9.602318959,10.3481119,9.992781041,0.221733747954221,0.766350973495385,8.38128085238625
"GSM672688",12.34125223,12.10151896,9.411591822,10.0693658,9.852501115,0.307016584129108,0.504324778003805,7.94949222709387
"GSM672691",12.58674219,11.46395186,10.31645688,9.796913383,9.699892193,0.330522427282746,0.438471046067922,7.84097295355474
"GSM672692",13.14508736,12.55874387,10.28659294,11.06917918,11.00960112,0.0985637924456716,1.28977847118181,9.24382835166295
"GSM672693",13.24435279,12.30338885,10.37459182,10.92041933,10.61090149,0.196106793568348,0.855609908975692,8.52836917297876
"GSM672694",13.57959368,12.45414126,10.51055874,10.69941338,10.73348922,0.351564729055648,0.381099446498134,7.7464312453771
"GSM672695",13.19436877,12.14299442,10.1464539,10.20304461,10.66433346,0.37619663315795,0.315485226513926,7.63830665961398
"GSM672696",13.12992751,12.76007472,9.730959851,10.28401264,10.40780558,0.49277990504451,0.0180990822522414,7.14824896072303
"GSM672698",13.27297993,11.68223941,11.85088364,10.20901524,10.66314126,0.2199272914006,0.772438796999215,8.39131287585172
"GSM672700",13.34118773,11.64539052,11.86596059,9.842369888,10.39021747,0.475193871125892,0.0622198661347978,7.22095486932019
