"","dnaJ","hrcA","dnaK","groEL","groES","grpE","yqeT","yqeU","yqeV","pval","z","inv_cof_var"
"GSM672797",12.91142379,13.29824572,14.60915242,14.6741539,15.15316729,14.67824238,13.29238922,13.08473941,12.99767955,0.38620290929527,0.289229421284685,15.4332769197216
"GSM672798",13.36020558,13.10225725,14.62074498,14.76273346,15.11720743,14.52939071,13.34303457,13.1376223,12.92992751,0.328293622125879,0.444629888548611,16.163814123287
"GSM672799",13.51044907,13.20863941,14.74487584,14.78927807,15.190129,14.39777584,13.60160558,13.02354647,12.92992751,0.316822098129057,0.476603913327999,16.3141239329055
"GSM672800",13.39879777,13.17966803,14.6281855,14.58155874,15.10096468,14.51807323,13.47812268,13.17062045,12.98548327,0.243496035208162,0.695100900599767,17.3412777174427
"GSM672801",13.34118773,13.37838364,14.6281855,14.54011041,15.45057695,14.5931777,13.38058216,13.32938104,12.89897175,0.331128989796108,0.436797820748879,16.1269955923695
"GSM672802",13.57313309,13.28071041,14.6741539,14.55602639,15.16584238,14.74947249,13.39496283,13.40495093,13.05163569,0.221138106983696,0.768355157050769,17.6856457917425
"GSM672803",13.61981078,13.45721859,14.71898885,14.78475056,15.25573643,14.74027026,13.39879777,13.37626729,13.05860929,0.250820114322262,0.671911201824047,17.2322630021499
"GSM672804",13.18066673,13.54925019,14.98879926,14.961471,15.26197249,14.94091933,13.6081974,13.08473941,13.05331524,0.427120071129028,0.18371104687546,14.9372353085033
"GSM672805",13.55765056,13.35442714,14.8357223,15.10096468,15.50683643,14.60551747,13.53224944,13.15971115,12.90142658,0.441694484306677,0.14667447254225,14.7631264662366
"GSM672807",13.32938104,13.21968216,14.58155874,14.75811599,15.41281338,14.45026283,13.33142937,13.12422305,13.02672268,0.362905200238706,0.350704031844078,15.7222689084784
"GSM672808",13.12992751,13.23309777,14.37361413,14.68241227,15.34516989,14.38725613,13.41130855,12.99432751,13.01324461,0.343856681331294,0.401960138378548,15.9632237356588
"GSM672809",13.07284758,13.30585762,14.4894368,14.961471,15.21045093,14.35301933,13.48916357,13.15065688,13.03394164,0.328416774911472,0.444289142862178,16.1622122786769
"GSM672810",13.44091413,13.57959368,14.5931777,14.70303309,15.10096468,14.89745725,13.10414349,13.24435279,13.16865353,0.267177295487491,0.62137245534955,16.994680482797
"GSM672811",13.33142937,13.53453569,14.62074498,14.63204387,15.3676855,14.69077807,13.35817584,13.2291658,12.90749572,0.329712392127319,0.440707475140612,16.1453748677767
"GSM672812",13.29444201,13.55136803,14.74947249,14.58155874,15.1469052,14.47455279,13.79859108,13.17595502,13.22169145,0.160498404035955,0.992411547799437,18.7389343179636
"GSM672813",13.48023494,13.59734461,14.95131636,14.71898885,15.22980632,14.88755316,13.61745502,13.22356468,13.2139171,0.258396820908662,0.648295812652877,17.1212471173848
"GSM672814",13.7109197,13.68882788,14.79444089,15.22980632,15.4277855,14.77594758,13.54736245,13.28452677,13.05163569,0.346359855121488,0.395166911726822,15.9312887943507
"GSM672815",13.28644796,13.4751184,14.82635502,14.88755316,15.50683643,14.85846468,13.47196803,12.99944721,12.82483383,0.499086714115279,0.00228927022104745,14.0843719953069
"GSM672817",12.94134015,12.89381004,14.18383309,14.15506134,14.92148885,14.12176357,12.94970781,12.79503234,12.53577732,0.342946240044238,0.404435526317717,15.9748605281001
