"","guaB","codY","metN","metP","metQ","pval","z","inv_cof_var"
"GSM672773",14.72779442,12.98724424,13.87933941,14.09313569,15.04970037,0.202871284850218,0.831409082883012,26.5188735727109
"GSM672774",14.35976208,13.14049257,13.83597807,13.7405171,14.78927807,0.147703778966442,1.04633247258316,29.0482041313757
"GSM672775",14.5076632,13.17966803,13.76919963,13.57313309,14.6281855,0.19541715856534,0.85810530708641,26.8330486644625
"GSM672776",14.71080558,13.22169145,13.81311004,13.66754238,14.8357223,0.276890415801265,0.592104174666619,23.7026085862212
"GSM672778",14.12176357,12.85840781,13.02507807,13.10592714,14.35627175,0.393031933369321,0.27142540248566,19.9286935222347
"GSM672779",14.15506134,12.89065985,13.0950171,13.15065688,14.24448885,0.329762293657501,0.4405696382037,21.9192711174445
"GSM672780",14.12176357,12.81230186,12.94134015,12.75551227,14.00300297,0.422291640982883,0.196034347704351,19.0414522639688
"GSM672781",14.32986134,13.00544758,13.53679182,13.30210743,14.32645576,0.215200826768812,0.788504523770909,26.0139503411366
"GSM672782",14.51807323,12.90826059,13.55765056,13.24606989,14.5973803,0.372734332087302,0.324620032161561,20.5547156717264
"GSM672783",14.5931777,12.89065985,13.82289926,13.56426171,14.90230818,0.310428039341003,0.494637426148899,22.5555690489074
"GSM672784",14.37361413,12.96237379,13.75962305,13.30389257,14.94091933,0.399657121566065,0.254234701580945,19.7263843869479
"GSM672785",14.55987026,12.92150372,13.68176245,13.42601599,14.66569628,0.307520934568611,0.502889634609847,22.6526853426057
"GSM672786",14.5149171,12.85683234,13.59734461,13.4345881,14.52588253,0.268068251726707,0.618665862391654,24.0152003825183
"GSM672787",14.65334089,13.39100595,13.63642639,13.3702461,14.79863755,0.400697519650521,0.251542071348668,19.6946961098404
"GSM672788",14.56330743,12.97873309,13.39879777,13.37838364,14.5439829,0.365914604149579,0.342693293857885,20.7674112427717
"GSM672789",14.8074855,13.35817584,13.79624275,13.49133829,14.76273346,0.352526050969377,0.378509548343862,21.1889156080931
"GSM672790",14.88252156,13.27106394,14.41869665,14.21958662,15.61343941,0.271841688397222,0.607252468587844,23.8808816107628
"GSM672791",14.89745725,13.24435279,14.42209108,14.5076632,15.52257435,0.137323851514928,1.09242189623797,29.5906085101825
"GSM672792",14.66569628,13.24435279,13.87933941,13.85909405,15.15962193,0.307574755640373,0.502736546429905,22.65088372105
"GSM672793",14.60551747,13.43237621,13.70401115,13.68668848,14.82635502,0.273290184136464,0.602892255568841,23.8295683495741
"GSM672796",14.42209108,12.56771524,13.08807955,12.75695279,14.14860818,0.495213528044061,0.0119981938042435,16.8756188076469
"GSM672797",14.82197844,13.2291658,13.82289926,13.70143383,14.90736059,0.315551766201798,0.480174197573933,22.3853582307054
"GSM672798",14.8169052,13.24257695,13.88999294,13.69285669,14.76762156,0.255150731999478,0.658368355796405,24.4824400345819
"GSM672799",14.90736059,13.19436877,14.53294684,14.29400892,15.45057695,0.141726377128466,1.07259525585914,29.3572782642014
"GSM672800",14.84428699,13.18522751,14.37361413,14.3002197,15.49940186,0.197962716564467,0.84892067575374,26.7249591320379
"GSM672801",14.74487584,13.22169145,13.89516245,13.96823197,14.98346506,0.20870956426258,0.810906915639521,26.277593374217
"GSM672802",14.68655279,13.42601599,13.72863755,13.63642639,14.88755316,0.324165041307476,0.456083294406646,22.1018439158983
"GSM672803",14.82197844,13.34303457,13.47196803,13.23109554,14.58946431,0.468148581723999,0.0799246766902348,17.6750130901671
"GSM672804",14.90230818,13.21222714,13.86665948,13.61981078,14.66993086,0.294609927024424,0.539966908030534,23.0890300365255
"GSM672805",14.68655279,13.25369033,13.83597807,13.62914721,14.82635502,0.275652295547791,0.595806365046094,23.7461778937491
"GSM672807",14.82197844,13.39100595,13.7935658,13.78598662,14.71080558,0.234906789134273,0.722782405921931,25.2404981762163
"GSM672808",14.87743532,13.44724164,13.79624275,13.57645651,14.82635502,0.358232416421145,0.363187488967164,21.0085976210316
"GSM672809",15.02109257,13.71644461,14.52588253,14.21958662,15.4060026,0.165828938686667,0.970779933141755,28.1590624373958
"GSM672810",15.1469052,13.25369033,14.52209926,14.29703011,15.49940186,0.195842954049153,0.856563964624173,26.8149093423694
"GSM672811",14.75366506,13.4511197,13.88212491,13.95716766,15.11720743,0.273604929670985,0.601946335996886,23.8184362746393
"GSM672812",14.78045019,13.49333755,13.83099145,13.75962305,14.70303309,0.214749843765662,0.790048083845612,26.03211576125
"GSM672813",14.99403494,13.36832156,13.66292007,13.66754238,14.51143346,0.339882975476497,0.412782531554721,21.5922579520454
"GSM672814",14.85846468,13.29628699,13.92820372,13.76680818,15.09480297,0.334646112647283,0.427119589592065,21.7609839295474
"GSM672815",14.78475056,13.06405353,13.77427435,13.77660149,14.77223197,0.250540480574307,0.672789904763745,24.6521603454204
"GSM672817",14.36156766,12.66937435,13.08133792,12.95834721,14.36156766,0.469450007483064,0.0766524721526174,17.636504080316
